long,lat
-122.3593725,37.61214179
-122.3595798,37.61222676
-122.3598217,37.61232437
-122.3601815,37.612471
-122.3606241,37.61265575
-122.3610681,37.61284586
-122.3616588,37.6131071
-122.3623111,37.61340813
-122.3630554,37.61374831
-122.3637666,37.61405209
-122.36482,37.61446938
-122.3656876,37.6147898
-122.3668006,37.61518003
-122.367782,37.61551383
-122.3688606,37.61588118
-122.3701524,37.61632332
-122.3713122,37.6167217
-122.3727352,37.61721272
-122.3740061,37.61765291
-122.3753263,37.61810551
-122.3769344,37.61865369
-122.3785957,37.61922307
-122.3800343,37.61971889
-122.3815152,37.62023209
-122.383196,37.62081811
-122.3847279,37.62135555
-122.3864648,37.62196888
-122.3879574,37.62249925
-122.3896761,37.6231139
-122.3910992,37.62362441
-122.392839,37.62424049
-122.3942697,37.62473661
-122.3957383,37.62523719
-122.3973987,37.62579817
-122.3990911,37.62636744
-122.400543,37.62685607
-122.4020262,37.62735771
-122.40369,37.62792835
-122.4051437,37.62842822
-122.4068738,37.62902209
-122.4083148,37.62951411
-122.4097814,37.63001066
-122.4115003,37.63058508
-122.4129812,37.63107162
-122.4147188,37.63163052
-122.4162171,37.63210075
-122.4179865,37.63264077
-122.4195038,37.6330899
-122.4210301,37.63352816
-122.422822,37.63402506
-122.4243245,37.63442682
-122.4261814,37.63490471
-122.4277344,37.63528864
-122.4293282,37.63566806
-122.4311499,37.63608406
-122.4330258,37.63649333
-122.4346224,37.63682696
-122.4362258,37.63714891
-122.4378356,37.63745947
-122.4396876,37.63780179
-122.4415811,37.63813608
-122.4432101,37.63841165
-122.4451398,37.63872456
-122.446757,37.63897614
-122.4484018,37.6392226
-122.4501199,37.63947054
-122.4525447,37.63980509
-122.4544818,37.64006036
-122.4561466,37.64027179
-122.4580939,37.64051028
-122.4597672,37.64070801
-122.4614444,37.6408998
-122.4633707,37.64111252
-122.4651028,37.64129712
-122.4670266,37.64149503
-122.4687668,37.64166777
-122.4704635,37.64183062
-122.4724594,37.64201529
-122.4741638,37.64216723
-122.4761567,37.6423383
-122.4778686,37.64247968
-122.4798701,37.64263857
-122.4815894,37.64276962
-122.4833116,37.64289594
-122.4852755,37.64303411
-122.4870128,37.64315129
-122.4890253,37.64328132
-122.4907487,37.64338802
-122.49247,37.64349048
-122.4944744,37.64360486
