long,lat
-122.3591019,37.61202862
-122.3591124,37.61203306
-122.3591193,37.61203595
-122.3591303,37.61204062
-122.3591552,37.61205116
-122.3592247,37.61208063
-122.3593305,37.61212492
-122.359468,37.61218199
-122.3597348,37.61229109
-122.3600112,37.61240198
-122.3604087,37.61256284
-122.3608899,37.61276259
-122.3614456,37.61300021
-122.3620776,37.61328056
-122.3628091,37.61361887
-122.3635955,37.61397012
-122.3644898,37.61433898
-122.365478,37.61471475
-122.3663967,37.61504348
-122.3677191,37.61549479
-122.3689608,37.61591001
-122.3700902,37.61629047
-122.3714809,37.61675785
-122.3729235,37.61724067
-122.3744176,37.61773138
-122.3759964,37.61824329
-122.377632,37.61824329
-122.377632,37.61877625
-122.3798101,37.61949169
-122.3812632,37.61997279
-122.383018,37.62055803
-122.385005,37.62122645
-122.3866972,37.6218005
-122.3884605,37.62240337
-122.3901791,37.62299548
-122.3918723,37.62358318
-122.3935502,37.62416924
-122.3952184,37.62474614
-122.3968729,37.62531657
-122.3985464,37.62589588
-122.4001797,37.62646627
-122.4018415,37.62705494
-122.4035023,37.62765256
-122.4051747,37.6282581
-122.4068316,37.62885857
-122.4082651,37.62937636
-122.4101956,37.62937636
-122.4101956,37.63006789
-122.4118864,37.63066499
-122.4135982,37.63125841
-122.4153016,37.63183531
-122.4170279,37.632404
-122.4187672,37.63295919
-122.4205409,37.63350575
-122.4222965,37.63402652
-122.4240757,37.6345334
-122.4258675,37.63502259
-122.4276716,37.63549375
-122.4294982,37.63594931
-122.4313251,37.63638397
-122.4331624,37.63680062
-122.4350097,37.63719967
-122.4366005,37.637528
-122.4384646,37.63789559
-122.4405716,37.63828992
-122.4421836,37.63857734
-122.4440936,37.63890283
-122.4459656,37.63920698
-122.4478667,37.63950178
-122.4495013,37.63974466
-122.451414,37.64001727
-122.4536186,37.6403171
-122.4552683,37.64053211
-122.4571981,37.64077412
-122.4591333,37.6410071
-122.4610968,37.64123411
-122.4630193,37.64144767
-122.4649816,37.64165716
-122.4669374,37.64165716
-122.4669374,37.64185777
-122.4688981,37.64205097
-122.4705826,37.64221083
-122.4722707,37.64236551
-122.4742446,37.64253954
-122.4765181,37.64273107
-122.4782184,37.64286821
-122.4802063,37.64302206
-122.4819133,37.64314869
-122.4841921,37.64331008
-122.4859018,37.64342561
-122.4878601,37.64342561
-122.4878601,37.64355231
-122.4901242,37.64369169
-122.4921241,37.64380876
-122.4941084,37.64391961
-122.4960884,37.6440252
-122.4980169,37.64412345
-122.499765,37.64420878
-122.5020237,37.64431406
-122.5039731,37.64440068
-122.5056504,37.64447228
-122.507882,37.64456356
-122.5095522,37.64462913
-122.5115087,37.64470319
-122.5134505,37.64477408
-122.5153897,37.64484258
-122.517281,37.64490752
-122.5198163,37.64499224
-122.5217636,37.64505596
-122.5242532,37.6451364
-122.526191,37.6451987
-122.5281306,37.64526124
-122.5300724,37.64532443
-122.5320167,37.6453887
-122.5336507,37.64544378
-122.5356004,37.64551112
-122.5375531,37.64558072
-122.5397885,37.64566351
-122.5414677,37.64572821
-122.5434295,37.64580685
-122.5454058,37.64588969
-122.5473732,37.64588969
-122.5473732,37.64597607
-122.549625,37.64608007
-122.5515982,37.64617598
-122.5535739,37.64627673
-122.5555518,37.64638255
-122.5575436,37.6464943
-122.5598087,37.64662793
-122.5620755,37.64676884
-122.5640601,37.64689822
-122.565998,37.64703007
-122.5677472,37.64715366
-122.5700283,37.64732131
-122.5720136,37.64747314
-122.573715,37.64760762
-122.5756992,37.64776957
-122.5776824,37.64793694
-122.5796646,37.6481097
-122.5816102,37.64828461
-122.5835897,37.64846801
-122.5855678,37.64865675
-122.5875442,37.64885082
-122.5898244,37.64908152
-122.591492,37.64925486
-122.5934751,37.64946608
-122.5954447,37.64946608
-122.5954447,37.64968135
-122.5974128,37.6499019
-122.5996601,37.65016043
-122.6016249,37.6503923
-122.6038803,37.6503923
-122.6038803,37.65066521
-122.6058421,37.65090847
-122.6080828,37.65119299
-122.6097622,37.65141094
-122.6117206,37.65167017
-122.6136779,37.65193475
-122.6156459,37.65220631
