long,lat
-122.3590718,37.61201675
-122.3590717,37.61201671
-122.3590718,37.61201678
-122.3590783,37.61201951
-122.3591061,37.6120313
-122.3591668,37.61205717
-122.3592631,37.61205717
-122.3592631,37.6120977
-122.3594721,37.61218538
-122.3597145,37.6122861
-122.3600897,37.61243854
-122.3605101,37.61260471
-122.3610805,37.61283163
-122.3616909,37.61308195
-122.3624644,37.61341033
-122.3632325,37.61375102
-122.3641802,37.61419107
-122.3651053,37.61460044
-122.3661315,37.61501548
-122.3673976,37.61548176
-122.3686108,37.6158967
-122.3700868,37.61638363
-122.3714637,37.61683171
-122.3731221,37.61736759
-122.3746472,37.61785191
-122.3762385,37.61835093
-122.3781351,37.61835093
-122.3781351,37.61894912
-122.3798326,37.61948862
-122.3820674,37.62020511
-122.3838237,37.62077331
-122.3857989,37.62141796
-122.3875582,37.62199706
-122.3895185,37.62264786
-122.3912365,37.6232229
-122.3931586,37.62387136
-122.3948329,37.62444044
-122.3967362,37.62509161
-122.3986474,37.62574961
-122.4003115,37.62632584
-122.401977,37.62690523
-122.4038887,37.62756109
-122.4038887,37.62756109
