long,lat
-122.3591225,37.61203729
-122.3591224,37.61203725
-122.3591226,37.61203733
-122.3591343,37.61204229
-122.3591631,37.61205426
-122.3592183,37.61207736
-122.3593251,37.61212164
-122.3594982,37.61219266
-122.3597493,37.61229395
-122.3600299,37.61240805
-122.3603738,37.61255087
-122.3608482,37.61275337
-122.3613245,37.61296378
-122.3619195,37.61323756
-122.3626314,37.61356726
-122.3634171,37.61391024
-122.3641726,37.6142114
-122.365136,37.61456407
-122.3661899,37.6149221
-122.3671612,37.61523708
-122.3681895,37.61556776
-122.3694586,37.61597368
-122.3708088,37.61639781
-122.3722225,37.61683155
-122.373492,37.61720944
-122.3748143,37.61759339
-122.3764189,37.6180534
-122.3780816,37.6185326
-122.3797595,37.61902131
-122.3812509,37.61946058
-122.3830102,37.61998556
-122.3845251,37.62044416
-122.3862909,37.62098706
-122.3878183,37.62146431
-122.3895417,37.62201172
-122.3912795,37.62257335
-122.3929893,37.62313539
-122.3946815,37.62370073
-122.3961191,37.62418786
-122.3977868,37.62476019
-122.3994514,37.62533831
-122.4011249,37.62592673
-122.4025525,37.62643108
-122.4039853,37.62693137
-122.4058996,37.62760146
-122.4073368,37.62811065
-122.4090139,37.62871604
-122.4104645,37.62924476
-122.4121512,37.62985898
-122.4138467,37.63047037
-122.4153089,37.63098893
-122.4167809,37.63149938
-122.4185121,37.63208093
-122.4202386,37.63263702
-122.4217391,37.63309881
-122.4235178,37.63361839
-122.425335,37.63411681
-122.426866,37.63451071
-122.4286919,37.63494954
-122.4305656,37.63536531
-122.4321324,37.63568699
-122.4339977,37.63604023
-122.4356057,37.63632015
-122.4377616,37.63666194
-122.4393977,37.63689756
-122.4415623,37.63718031
-122.4437593,37.6374366
-122.4456788,37.63763802
-122.4475584,37.63781716
-122.4495353,37.63798824
-122.4517485,37.63798824
-122.4517485,37.63816082
-122.4537019,37.63829817
-122.4556484,37.63842263
-122.4578787,37.63855204
-122.4598348,37.6386556
-122.4620757,37.6386556
-122.4620757,37.63876472
-122.4637599,37.63884123
-122.4665387,37.63895946
-122.4685134,37.63903904
-122.4704922,37.63911644
-122.4727587,37.63920387
-122.4747698,37.63928185
-122.4770342,37.63937192
-122.4790538,37.63945588
-122.4813155,37.63955581
-122.4833192,37.63965111
-122.485624,37.63977039
-122.4876189,37.63988322
-122.4899345,37.64002645
-122.4919244,37.6401606
-122.4936367,37.64028444
-122.4959132,37.64046116
-122.4984171,37.64067134
-122.5007345,37.64088021
-122.5027039,37.64106818
-122.5049237,37.6412911
-122.5069033,37.64149923
-122.5091085,37.64174093
-122.5110753,37.64196488
-122.5132553,37.64222201
-122.5151878,37.64245748
-122.5173913,37.64273432
-122.5193158,37.64298319
-122.5215121,37.64327512
-122.5234319,37.64353708
-122.5256363,37.64384541
-122.5274179,37.64410024
-122.5297485,37.6444407
-122.5319436,37.64476819
-122.5338663,37.64505996
-122.5360779,37.64540058
-122.5380058,37.64570119
-122.5402128,37.64604863
-122.5424238,37.64639922
-122.544639,37.64675183
-122.5465923,37.64706293
