long,lat
-122.3591249,37.61203828
-122.3591248,37.61203824
-122.3591262,37.61203885
-122.3591402,37.61204479
-122.3591817,37.61206242
-122.3592465,37.61208963
-122.359368,37.6121403
-122.3595248,37.61220493
-122.3597805,37.6123086
-122.360177,37.61246549
-122.3605586,37.6126124
-122.3609923,37.61277516
-122.361588,37.61299259
-122.3622727,37.6132353
-122.3629295,37.61346259
-122.3637759,37.61374991
-122.3647121,37.61406319
-122.3657229,37.61439785
-122.3666247,37.6146947
-122.3678035,37.61508206
-122.3688485,37.61542584
-122.370133,37.61584884
-122.371296,37.616232
-122.3727056,37.6166962
-122.3741818,37.61718104
-122.3754646,37.6175962
-122.3771015,37.61812206
-122.3787548,37.61865633
-122.3801652,37.61911494
-122.3819064,37.61968487
-122.3838834,37.62033721
-122.3856371,37.62092069
-122.3873959,37.62151039
-122.3890916,37.6220833
-122.3910572,37.62275264
-122.3927714,37.62334089
-122.3946682,37.62399658
-122.3965668,37.62465771
-122.3982207,37.62523715
-122.399864,37.62581585
-122.4015381,37.62640837
-122.4034308,37.62708319
-122.4050836,37.62768867
-122.4067386,37.62830165
-122.4086337,37.62900957
-122.4103097,37.62963236
-122.4119863,37.63024659
-122.413676,37.63085151
-122.4156259,37.63152554
-122.4173297,37.63208874
-122.4193431,37.63271908
-122.4210747,37.63322835
-122.4228558,37.63371919
-122.4249126,37.63424395
-122.4267298,37.63467049
-122.428825,37.63512035
-122.430673,37.63548118
-122.4328112,37.63585879
-122.4346953,37.63615838
-122.4365668,37.63642749
-122.4387513,37.63670885
-122.4406284,37.63692521
-122.4425461,37.63712463
-122.444732,37.63732831
-122.4466505,37.63748856
-122.4485512,37.63763202
-122.4505025,37.637765
-122.4527119,37.63790024
-122.4546614,37.63800785
-122.4568814,37.63811902
-122.4588284,37.63811902
-122.4588284,37.63820823
-122.4613376,37.63831419
-122.4632939,37.63839139
-122.4652542,37.63846542
-122.4674643,37.63854642
-122.4697147,37.63862809
-122.471688,37.63870068
-122.473948,37.63878683
-122.4759296,37.63886665
-122.4779268,37.63895268
-122.4799158,37.63904536
-122.4821932,37.63916176
-122.4841886,37.63927402
-122.48647,37.63941519
-122.488465,37.63955043
-122.4913219,37.63976377
-122.4931312,37.63991084
-122.4955725,37.64012369
-122.4981108,37.64036182
-122.5003592,37.64058642
-122.5023319,37.64079343
-122.5042869,37.64100715
-122.5064904,37.64125771
-122.5084553,37.64148934
-122.5106444,37.64175617
-122.5125625,37.64199737
-122.5147616,37.64228217
-122.5169548,37.64257479
-122.5188699,37.64283715
-122.5207821,37.6431053
-122.5229649,37.64341861
-122.5251689,37.64374229
-122.5276111,37.64410888
-122.5297929,37.64444272
-122.5317035,37.64473938
-122.5338893,37.64508292
-122.5360897,37.64543224
-122.5380081,37.64573878
-122.5396549,37.64600279
-122.5415793,37.64631156
-122.5432315,37.64657631
-122.5451624,37.64688453
-122.5468318,37.64714939
-122.5487695,37.64745417
-122.5507111,37.64775596
-122.5529348,37.64809622
-122.5548383,37.64838214
-122.5570949,37.6487138
-122.5593214,37.64903251
-122.5612836,37.64930577
-122.56353,37.64960942
-122.5654987,37.64986731
-122.5677516,37.650153
-122.5691141,37.65032096
-122.5717122,37.65063153
-122.5739713,37.65089156
-122.5759609,37.65111313
-122.5779276,37.65132552
-122.5799066,37.65153273
-122.5816031,37.65170525
-122.5835941,37.65190183
-122.5852906,37.65206435
-122.5872696,37.65224824
-122.5889657,37.652401
-122.590944,37.65257372
-122.5929219,37.65274076
-122.5946287,37.6528806
-122.5966057,37.65303792
-122.5985822,37.65319065
-122.600276,37.65331831
-122.6022517,37.65346398
-122.6038979,37.6535831
-122.6054145,37.65369141
-122.6075773,37.65384412
-122.6095519,37.65398247
-122.6115262,37.65412058
-122.6132184,37.65423936
-122.6151925,37.65437909
-122.6171664,37.65452082
-122.61887,37.65464535
-122.6205618,37.65477153
-122.6225354,37.65477153
-122.6225354,37.65492251
-122.6245088,37.65507821
-122.626482,37.65523924
-122.6281849,37.65538295
-122.6298757,37.65553036
-122.6321296,37.65573463
-122.6341013,37.65592098
-122.6357909,37.6560865
-122.63748,37.6562574
-122.6394501,37.6564635
-122.6417125,37.65670903
-122.6436576,37.65692748
-122.6456489,37.65715793
-122.6478969,37.65742622
-122.6504246,37.65773794
