long,lat
-122.3593394,37.61212841
-122.3595215,37.6122041
-122.3597429,37.61229545
-122.3600157,37.61240688
-122.3603688,37.61254943
-122.3608542,37.61254943
-122.3608542,37.61274244
-122.3613371,37.61293127
-122.3618836,37.6131414
-122.3625918,37.6134087
-122.3632834,37.61366483
-122.3640008,37.61392616
-122.3648329,37.61422438
-122.3655314,37.61447117
-122.3665432,37.61482366
-122.3677725,37.61482366
-122.3677725,37.61524541
-122.3687959,37.61559171
-122.3700893,37.61602464
-122.3712386,37.61640541
-122.372463,37.61680772
-122.3739352,37.61680772
-122.3739352,37.61728759
-122.3752425,37.61770768
-122.3766163,37.61814486
-122.3782109,37.61865457
-122.3796959,37.61913227
-122.3811665,37.61960824
-122.3826639,37.62009602
-122.3844086,37.62066841
-122.3859044,37.62116271
-122.3873951,37.6216586
-122.388877,37.62215483
-122.3905926,37.62273325
-122.3920104,37.62321447
-122.3937471,37.62380784
-122.3951809,37.62429984
-122.3970861,37.62495154
-122.3985158,37.62543755
-122.4001474,37.62598698
-122.4016243,37.62647787
-122.4030366,37.62694015
-122.4044848,37.62740554
-122.4062024,37.62794716
-122.4076428,37.62839627
-122.4091102,37.6288462
-122.4105853,37.62928967
-122.4123478,37.62980694
-122.4138206,37.63022792
-122.4153227,37.63022792
-122.4153227,37.6306462
-122.4170862,37.63112245
-122.4186072,37.63152011
-122.4201367,37.63152011
-122.4201367,37.63190769
-122.4219316,37.6323468
-122.4234788,37.63271182
-122.4255428,37.63317968
-122.4271292,37.6335248
-122.4289745,37.63391094
-122.4305428,37.63422667
-122.4323932,37.63458503
-122.4339856,37.63488171
-122.4358616,37.635218
-122.4374657,37.63549482
-122.43903,37.63575574
-122.4409579,37.63606574
-122.4425657,37.63631508
-122.4447311,37.63663857
-122.4466091,37.63690843
-122.4482539,37.63713709
-122.4498798,37.63713709
-122.4498798,37.63735642
-122.4512928,37.63754181
-122.4534404,37.63781471
-122.4550896,37.63801728
-122.4570413,37.63824945
-122.458687,37.63843906
-122.460625,37.6386553
-122.4625215,37.63885976
-122.4645155,37.63906726
-122.4662121,37.63923792
-122.4681455,37.63942593
-122.4697913,37.63958066
-122.4718036,37.63976336
-122.473492,37.63991133
-122.4757486,37.64010178
-122.4776809,37.64025847
-122.479381,37.64039167
-122.4817122,37.64056755
-122.4833959,37.64068994
-122.4856993,37.64085147
-122.4874098,37.64096731
-122.4896897,37.64111671
-122.4913977,37.64122526
-122.4936594,37.64136504
-122.4959273,37.64150131
-122.4976007,37.64150131
-122.4976007,37.64159974
-122.4995759,37.64171401
-122.5015809,37.64182835
-122.5032301,37.64192148
-122.5052255,37.64203345
-122.5068789,37.64212595
-122.5091095,37.64225087
-122.5107789,37.64234483
-122.5127231,37.64245519
-122.5146756,37.64256749
-122.5163371,37.64266456
-122.5179971,37.64266456
-122.5179971,37.64276324
-122.5201627,37.64289499
-122.5218668,37.64300144
-122.5235248,37.64310763
-122.5254594,37.64310763
-122.5254594,37.64323521
-122.5271299,37.64334882
-122.5287437,37.64346185
-122.530451,37.64358517
-122.5321137,37.64370917
-122.5340556,37.64385911
-122.5357219,37.64399237
-122.5379466,37.64417715
-122.5395823,37.64431816
-122.5418355,37.64451971
-122.5434866,37.64467285
-122.5457215,37.64467285
-122.5457215,37.64488743
-122.5473994,37.64505398
-122.5493587,37.64525429
-122.5510513,37.64543229
-122.5532947,37.64567518
-122.555002,37.64586531
-122.5569446,37.64608714
-122.5589118,37.6463177
-122.5605988,37.64652013
-122.5622512,37.64672262
-122.5639859,37.64672262
-122.5639859,37.6469397
-122.5656739,37.64715534
-122.567643,37.64741243
-122.5693305,37.64763748
-122.5710176,37.64786682
-122.5729849,37.6481398
-122.5746352,37.64837336
-122.5766471,37.64866375
-122.5782835,37.64866375
-122.5782835,37.64890453
-122.5802924,37.64920575
-122.5819263,37.6494553
-122.5839317,37.64976725
-122.5855742,37.65002732
-122.5872502,37.65029692
-122.5892035,37.65061642
-122.5908878,37.65089636
-122.5928257,37.65122342
-122.5944951,37.65150927
-122.596441,37.65184704
-122.5981306,37.65214411
-122.6000616,37.6524877
-122.6017139,37.65278491
-122.6036654,37.65313941
-122.6056041,37.65349499
-122.607265,37.65380201
-122.60949,37.65421628
-122.6111496,37.65452712
-122.6133617,37.65494336
-122.6150206,37.65494336
-122.6150206,37.65525654
-122.6172322,37.65567488
-122.6188909,37.65598885
-122.6211143,37.65640936
-122.6227274,37.65671383
-122.6252629,37.65719059
-122.6269231,37.65750109
-122.6285608,37.65780576
-122.6307761,37.65821481
-122.6324268,37.65851695
-122.6340899,37.65881877
-122.6357538,37.65911788
-122.6376962,37.65946312
-122.6393622,37.65975562
-122.641307,37.66009258
-122.6429752,37.66037752
-122.6449344,37.66070714
-122.6466049,37.66098373
-122.6482881,37.66125816
-122.650228,37.66156901
-122.6519019,37.66183248
-122.6538561,37.66213442
-122.6555555,37.66239202
-122.6575006,37.66268119
-122.6594586,37.6629662
-122.6611379,37.66320579
-122.6633783,37.6635185
-122.6650479,37.66374641
-122.6670338,37.66401184
-122.6687168,37.664232
-122.6706812,37.66448346
-122.6726466,37.66448346
-122.6726466,37.66472909
-122.674332,37.66493499
-122.6765802,37.66520286
-122.6785131,37.66542698
-122.680482,37.66564938
-122.6821703,37.66583536
-122.6841406,37.66604692
-122.68583,37.66622359
-122.6875199,37.66639597
-122.6895273,37.66659508
-122.6911948,37.66659508
-122.6911948,37.66675582
-122.6928861,37.66691455
-122.6948599,37.66709431
-122.6965522,37.66724376
-122.698527,37.66741281
-122.7002201,37.66755323
-122.7019253,37.66769055
-122.7039015,37.6678447
-122.7055956,37.66797275
-122.7072666,37.66809551
-122.7089848,37.66821826
-122.7106799,37.66833609
-122.7126577,37.66846975
-122.7143649,37.66858209
-122.7160606,37.66869113
-122.7177565,37.66879792
-122.7197352,37.66892
-122.7214314,37.66902281
-122.7234104,37.66914102
-122.7250833,37.66923979
-122.7270508,37.66935503
-122.7287709,37.6694553
-122.7304439,37.66955272
-122.7324232,37.66966824
-122.7341434,37.6697692
-122.7358164,37.66986824
-122.7378074,37.66998756
-122.7395037,37.67009081
-122.7412,37.67019582
-122.7428962,37.67030284
-122.7448748,37.67043061
-122.7465705,37.6705429
-122.7482896,37.67065961
-122.7502557,37.67079694
-122.7519036,37.67091544
-122.7536454,37.67104426
-122.7553397,37.67117327
-122.7570337,37.67130604
-122.7590096,37.67146588
-122.7607144,37.67160823
-122.7624071,37.67175372
-122.7640758,37.67190127
-122.765791,37.67205725
-122.7677641,37.67205725
-122.7677641,37.67224211
-122.7694546,37.67240514
-122.7711447,37.67257239
-122.772799,37.67274025
-122.7747694,37.67294553
-122.7767389,37.67315654
-122.7784265,37.67334197
-122.7801134,37.67353162
-122.7820806,37.67375819
-122.7837779,37.67395836
-122.7854627,37.67395836
-122.7854627,37.67416136
-122.7871468,37.67436857
-122.7891108,37.67461563
-122.7907933,37.67483195
-122.7927554,37.67508963
-122.7947165,37.67535302
-122.7964082,37.67558494
-122.7983672,37.67585897
-122.8000455,37.6760984
-122.8022818,37.67642414
-122.8039348,37.67666985
-122.8056335,37.67692671
-122.8056335,37.67692671
