long,lat
-122.3594233,37.61216635
-122.3596298,37.61225569
-122.3598755,37.6123609
-122.3601742,37.61248726
-122.3606077,37.61266773
-122.3610491,37.61284817
-122.3615589,37.61305268
-122.3622352,37.61331832
-122.3628762,37.6135647
-122.3637088,37.61387784
-122.3644789,37.61416119
-122.3653329,37.6144697
-122.3663923,37.61484526
-122.3673714,37.61484526
-122.3673714,37.61518641
-122.3683938,37.61553757
-122.3694861,37.6159081
-122.3706233,37.61628931
-122.3720146,37.61675058
-122.3732442,37.61715424
-122.3745603,37.61757981
-122.3761375,37.61808332
-122.3774963,37.61851872
-122.3789386,37.61898357
-122.380419,37.6194637
-122.3821253,37.62002101
-122.383616,37.62051138
-122.3851088,37.62100582
-122.3866087,37.62150598
-122.3883471,37.62208995
-122.3898076,37.62258406
-122.39151,37.62316395
-122.392957,37.62366016
-122.3944029,37.62415889
-122.3960583,37.62473488
-122.3974799,37.6252404
-122.3989107,37.62575373
-122.4003321,37.62626638
-122.4019527,37.62685245
-122.4034181,37.62738181
-122.4048461,37.62789777
-122.4065142,37.62850384
-122.4079182,37.62901309
-122.4093968,37.62954676
-122.4108413,37.63006403
-122.4125349,37.63066339
-122.4139944,37.63117207
-122.4154618,37.63167467
-122.4169375,37.63217003
-122.418639,37.63272745
-122.4201334,37.6332041
-122.4216576,37.63367725
-122.4234018,37.63420207
-122.4249455,37.6346516
-122.4264553,37.63507768
-122.428252,37.63556735
-122.4298116,37.63597733
-122.4313682,37.63637289
-122.4331937,37.63681988
-122.4347661,37.63719075
-122.4363454,37.63755057
-122.4381961,37.63795675
-122.4398002,37.63829589
-122.4416218,37.63866722
-122.4432719,37.6389916
-122.4448829,37.6392979
-122.4467689,37.6396442
-122.4483908,37.63993207
-122.4500062,37.64021022
-122.4519325,37.64053148
-122.4535463,37.64079239
-122.4552099,37.64105398
-122.4571296,37.64134697
-122.4587796,37.64159157
-122.4604336,37.64183037
-122.4623338,37.64209709
-122.4639964,37.64232401
-122.465941,37.64258206
-122.467612,37.64279765
-122.4695663,37.64304276
-122.4712806,37.64325169
-122.4732094,37.64348013
-122.4749201,37.64367699
-122.4765993,37.64386512
-122.4782938,37.64404999
-122.4805586,37.64428953
-122.4822607,37.64446412
-122.4842728,37.64466478
-122.4859664,37.64482912
-122.4876713,37.64499061
-122.4896584,37.64517413
-122.4913591,37.64532743
-122.4933394,37.64550191
-122.4953152,37.645672
-122.4970049,37.64581457
-122.4987027,37.64595541
-122.5006651,37.64611551
-122.5026227,37.64627274
-122.5045757,37.64642752
-122.5065245,37.64658032
-122.5081802,37.64670915
-122.5100987,37.64685768
-122.5117602,37.64698597
-122.5136959,37.64713546
-122.5159053,37.64730668
-122.5175609,37.64743582
-122.5192158,37.64756595
-122.5211577,37.64772037
-122.5230883,37.6478762
-122.5247437,37.6478762
-122.5247437,37.648012
-122.5264,37.64815018
-122.5283338,37.64831482
-122.5299931,37.64845919
-122.5319425,37.64863286
-122.5336055,37.64878473
-122.5352704,37.64894043
-122.5372152,37.64912721
-122.5388842,37.64929192
-122.5405551,37.64946105
-122.5425065,37.64966415
-122.5441925,37.64984456
-122.5458685,37.65002849
-122.5478256,37.65024914
-122.5495047,37.65044347
-122.5514653,37.65067624
-122.5531471,37.65088087
-122.5550755,37.6511211
-122.5567595,37.65133571
-122.5584675,37.65155795
-122.5601292,37.65177854
-122.5621189,37.65204834
-122.5640619,37.65204834
-122.5640619,37.65231771
-122.5657705,37.65255942
-122.5674436,37.65280047
-122.5694201,37.65309083
-122.5713722,37.65338353
-122.5733346,37.65368374
-122.5753188,37.65399335
-122.5772546,37.65430129
-122.578944,37.65457481
-122.5805738,37.65484288
-122.5825277,37.6551697
-122.584247,37.65546224
-122.5859182,37.65575101
-122.5875414,37.65603568
-122.5895333,37.65639066
-122.5911644,37.65668599
-122.5928748,37.65700013
-122.5945373,37.65730981
-122.5961982,37.65762341
-122.598134,37.65799414
-122.5997916,37.65831596
-122.6014134,37.65863461
-122.6033441,37.65901867
-122.6049977,37.65901867
-122.6049977,37.65935153
-122.6066503,37.65968761
-122.6083018,37.66002677
-122.6102274,37.66042611
-122.6121519,37.66082912
-122.6138236,37.66118207
-122.6154603,37.66153001
-122.6168792,37.66183334
-122.6190297,37.66229575
-122.6206308,37.66264181
-122.6223231,37.66300895
-122.6242325,37.66342449
-122.6259017,37.66378859
-122.627548,37.66414817
-122.6291944,37.66450795
-122.6313899,37.66498755
-122.6330368,37.66498755
-122.6330368,37.66534683
-122.6346841,37.66570547
-122.6366179,37.66612523
-122.6382663,37.66648164
-122.6399152,37.66683664
-122.6421148,37.6673074
-122.6437654,37.66765825
-122.645692,37.66806487
-122.6473099,37.66840362
-122.6473099,37.66840362
