long,lat
-122.3590853,37.61202162
-122.3590963,37.61202625
-122.3591105,37.61203223
-122.3591342,37.61204222
-122.359179,37.61204222
-122.359179,37.6120611
-122.3592508,37.61209134
-122.3593824,37.61214682
-122.3595493,37.61221713
-122.3597738,37.61231169
-122.3600597,37.61243202
-122.3604726,37.61260577
-122.3608886,37.61278071
-122.3613692,37.61278071
-122.3613692,37.61298266
-122.3619229,37.61321523
-122.3625218,37.61346665
-122.3631891,37.61374644
-122.3639156,37.61405076
-122.3647004,37.61437909
-122.3655486,37.61473339
-122.3666025,37.61517287
-122.3675655,37.61557364
-122.3685824,37.61599595
-122.3696673,37.61644547
-122.3709335,37.61696852
-122.3721548,37.61747121
-122.3733869,37.61747121
-122.3733869,37.61797387
-122.3748967,37.61858163
-122.3762207,37.61911466
-122.3775986,37.61967211
-122.378985,37.62023588
-122.3804106,37.62081867
-122.3820364,37.62148726
-122.3835073,37.62209585
-122.384936,37.62269035
-122.3863583,37.6232855
-122.3879971,37.62397526
-122.3894097,37.62457323
-122.3907639,37.62457323
-122.3907639,37.62514938
-122.3923858,37.62584311
-122.3937578,37.62643259
-122.3951233,37.62702503
-122.3965016,37.62763607
-122.3978417,37.62823562
-122.3992021,37.62884582
-122.4005655,37.62945619
-122.4019426,37.63006878
-122.4033166,37.63067319
-122.4046988,37.63067319
-122.4046988,37.63127172
-122.406324,37.63195992
-122.4077294,37.63253898
-122.4091475,37.6331061
-122.4107887,37.6331061
-122.4107887,37.63373921
-122.4122761,37.63429003
-122.4139418,37.63487949
-122.4154608,37.635391
-122.4169532,37.63586891
-122.4184594,37.63586891
-122.4184594,37.63632631
-122.4202337,37.63683295
-122.4217793,37.63724607
-122.4233266,37.63763364
-122.4248857,37.63799823
-122.4267076,37.63799823
-122.4267076,37.63839195
-122.4283007,37.63870832
-122.4298924,37.63899908
-122.4314484,37.63925947
-122.4333369,37.63954529
-122.4349765,37.63976767
-122.4365777,37.63996264
-122.4382074,37.64013938
-122.4398655,37.64029743
-122.4414831,37.64043114
-122.4434371,37.64056649
-122.4450641,37.64065797
-122.4467179,37.64073172
-122.4483981,37.64078727
-122.4503123,37.64082759
-122.4519644,37.64084382
-122.453642,37.64084375
-122.455322,37.64082802
-122.4569693,37.64082802
-122.4569693,37.64079838
-122.4589441,37.64074569
-122.4606306,37.64068721
-122.4622958,37.64061846
-122.4642428,37.64052538
-122.4659355,37.64043438
-122.4676301,37.64033473
-122.4692917,37.64022944
-122.471002,37.64011381
-122.4726911,37.63999321
-122.4743704,37.63986777
-122.4760755,37.6397358
-122.4780541,37.63957832
-122.4800007,37.63942092
-122.4817023,37.63928228
-122.4836903,37.63928228
-122.4836903,37.63912147
-122.4853958,37.63898618
-122.4873863,37.63898618
-122.4873863,37.63883411
-122.4890921,37.63871048
-122.491117,37.6385792
-122.4927976,37.63848633
-122.4945007,37.63841287
-122.4962263,37.63836245
-122.4979029,37.63833914
-122.499883,37.63835073
-122.5015765,37.6383979
-122.5032778,37.63848227
-122.5052438,37.63862024
-122.5072018,37.63879877
-122.5088731,37.63897896
-122.5108155,37.63921374
-122.5127512,37.63946834
-122.5144173,37.63969991
-122.5162978,37.63997181
-122.5179918,37.6402243
-122.5196379,37.64047526
-122.5215564,37.64077364
-122.5231996,37.64077364
-122.5231996,37.64103364
-122.5248078,37.64129176
-122.5267459,37.64160744
-122.5283871,37.64187866
-122.5300055,37.64214961
-122.5319201,37.64247472
-122.5335615,37.64275737
-122.5354768,37.64309184
-122.5371305,37.64338465
-122.539047,37.64372872
-122.5406903,37.64402779
-122.5423341,37.6443307
-122.543967,37.64463532
-122.5458973,37.64500023
-122.5475083,37.64530874
-122.5491996,37.64563656
-122.5508457,37.64595943
-122.5527666,37.64634099
-122.5544135,37.64667219
-122.5560608,37.64700711
-122.5579832,37.64740241
-122.5596429,37.64774736
-122.5612916,37.64809319
-122.5629407,37.64844206
-122.5645903,37.64879371
-122.5661943,37.649138
-122.5678902,37.64950423
-122.5695406,37.64986244
-122.5714319,37.6502747
-122.5730827,37.65063561
-122.5747337,37.65099714
-122.5764078,37.65136385
-122.5780363,37.65172021
-122.5799862,37.65214579
-122.5816154,37.65249981
-122.5832795,37.65285938
-122.5849442,37.65321642
-122.5865981,37.65356792
-122.5885173,37.65397093
-122.5901733,37.65431374
-122.5920607,37.65431374
-122.5920607,37.65469801
-122.5937769,37.65504066
-122.5956678,37.65504066
-122.5956678,37.65540976
-122.597376,37.65573478
-122.5992711,37.65608505
-122.6009835,37.65639139
-122.6026517,37.65667976
-122.6045542,37.65699578
-122.6062851,37.65699578
-122.6062851,37.65727089
-122.6079602,37.65752565
-122.609614,37.65776599
-122.6113164,37.65800173
-122.6129975,37.6582229
-122.614961,37.65846676
-122.6168918,37.65869153
-122.6185785,37.65887593
-122.6202667,37.65904951
-122.621968,37.6592135
-122.623929,37.65938918
-122.6256447,37.65953136
-122.6273144,37.65953136
-122.6273144,37.65965958
-122.6293263,37.65980099
-122.6309979,37.65990776
-122.6326938,37.66000627
-122.6343903,37.66009507
-122.6363703,37.66018651
-122.6380678,37.6602546
-122.6397658,37.66031331
-122.6417589,37.66037042
-122.6434574,37.66040917
-122.6454391,37.66044313
-122.6470906,37.6604628
-122.6488365,37.66047563
-122.6505352,37.66047563
-122.6505352,37.66048089
-122.6525287,37.66047877
-122.6542273,37.66047055
-122.6559258,37.66045702
-122.6576242,37.66045702
-122.6576242,37.6604387
-122.6596055,37.66041182
-122.6612801,37.66038512
-122.6630018,37.66035472
-122.6646645,37.66035472
-122.6646645,37.66032411
-122.6666456,37.66032411
-122.6666456,37.66028682
-122.6683438,37.6602555
-122.6700421,37.66022521
-122.6717523,37.66019816
-122.6737223,37.66019816
-122.6737223,37.66017529
-122.6754448,37.66016645
-122.6774151,37.66016645
-122.6774151,37.66017492
-122.6791257,37.66020438
-122.6808125,37.6602523
-122.6827936,37.6603332
-122.6844909,37.66042378
-122.6864696,37.66055363
-122.6881759,37.66055363
-122.6881759,37.66068543
-122.6898687,37.660833
-122.6915599,37.66099541
-122.6932493,37.66117094
-122.6952183,37.66117094
-122.6952183,37.66139009
-122.6969044,37.66158828
-122.6985542,37.66179001
-122.7002847,37.66200857
-122.7019675,37.66222681
-122.7039298,37.66248721
-122.705611,37.66271465
