long,lat
-122.3591236,37.6120377
-122.359125,37.6120383
-122.3591261,37.61203875
-122.3591349,37.61204248
-122.3591677,37.61205631
-122.3592243,37.61208012
-122.3593091,37.61211584
-122.3594369,37.61216964
-122.3596488,37.61225885
-122.3598876,37.61235931
-122.3601922,37.61235931
-122.3601922,37.61248741
-122.3605593,37.61264178
-122.3609892,37.61282247
-122.3614814,37.61302924
-122.3621335,37.61330295
-122.3627719,37.61357065
-122.3634476,37.61357065
-122.3634476,37.61385375
-122.364202,37.61416949
-122.3649926,37.61450008
-122.3659991,37.61492029
-122.366922,37.6153049
-122.3678993,37.61571143
-122.3691143,37.61621566
-122.3701909,37.61666125
-122.3713497,37.61713947
-122.3725516,37.61763379
-122.3737869,37.61813742
-122.3750801,37.61813742
-122.3750801,37.61865854
-122.3766514,37.61929256
-122.3780274,37.61985063
-122.3794295,37.62042222
-122.3810679,37.62109386
-122.3825189,37.62169221
-122.383952,37.62228645
-122.3853819,37.62288263
-122.3868048,37.62347913
-122.3884244,37.62416195
-122.3898565,37.62476912
-122.3912199,37.62535009
-122.392602,37.62594185
-122.3942057,37.62594185
-122.3942057,37.62663174
-122.3956067,37.627237
-122.3969596,37.62782372
-122.3983319,37.62782372
-122.3983319,37.62842105
-122.3999341,37.62912131
-122.4013085,37.62972449
-122.4026839,37.63033037
-122.4042903,37.63104087
-122.4056691,37.63165319
-122.4070596,37.63227298
-122.4086351,37.63297802
-122.4100597,37.63361802
-122.4114482,37.63361802
-122.4114482,37.63424414
-122.4128487,37.63487801
-122.4142322,37.63550648
-122.4158605,37.63624905
-122.4172683,37.63689362
-122.4186685,37.63753708
-122.4200707,37.63818382
-122.4214749,37.63883382
-122.4228809,37.63948703
-122.4245235,37.63948703
-122.4245235,37.64025314
-122.4261389,37.64100974
-122.4275503,37.64167339
-122.4289632,37.64234011
-122.4303775,37.64300989
-122.4320587,37.64380918
-122.4334463,37.64447144
-122.4351307,37.64527845
-122.4365307,37.64595178
-122.4379515,37.64663754
-122.4393932,37.64733584
-122.4407965,37.64801792
-122.442458,37.64882858
-122.4438834,37.64882858
-122.4438834,37.64952664
-122.4455576,37.65034965
-122.4469854,37.65105413
-122.4469854,37.65105413
