long,lat
-122.359055,37.61200991
-122.359055,37.61200987
-122.3590572,37.61201082
-122.3590744,37.61201082
-122.3590744,37.61201806
-122.3591113,37.61203361
-122.3591766,37.61206111
-122.3592764,37.61206111
-122.3592764,37.61210314
-122.3594595,37.61218024
-122.3596772,37.61227193
-122.36001,37.61241201
-122.3603582,37.61241201
-122.3603582,37.61255849
-122.3607799,37.61273583
-122.3613297,37.61296698
-122.3618749,37.61319601
-122.3624847,37.61345194
-122.3631498,37.61373079
-122.3639994,37.61408657
-122.3647898,37.61441707
-122.3656487,37.61477567
-122.3665385,37.61514661
-122.3676594,37.61561297
-122.3686924,37.61604178
-122.3697561,37.61648232
-122.3710703,37.61702496
-122.372251,37.61751082
-122.373482,37.61801303
-122.3749814,37.61861603
-122.3763234,37.61915485
-122.3776919,37.61970705
-122.3793239,37.61970705
-122.3793239,37.62036926
-122.3809821,37.62104635
-122.3826535,37.6217333
-122.3840882,37.62232665
-122.3855095,37.62291779
-122.3871502,37.62360436
-122.3885634,37.62419923
-122.3899665,37.62479298
-122.3915898,37.62548387
-122.39297,37.62607437
-122.3945704,37.62676425
-122.3959548,37.62737226
-122.3975379,37.62807189
-122.3989049,37.62867605
-122.4002754,37.6292791
-122.401651,37.62987894
-122.403033,37.63047336
-122.4044135,37.63105642
-122.4060675,37.63173779
-122.4074806,37.63230308
-122.4089058,37.63285588
-122.4105847,37.63285588
-122.4105847,37.63348306
-122.4120382,37.63400372
-122.4134944,37.6345059
-122.4152412,37.63508262
-122.4169847,37.63562868
-122.4184927,37.63607689
-122.4199919,37.63650009
-122.421802,37.63698118
-122.4233479,37.63736622
-122.424905,37.63773017
-122.4267021,37.63812079
-122.4282812,37.63812079
-122.4282812,37.6384384
-122.4298697,37.63873418
-122.4317339,37.63905167
-122.4336092,37.63933957
-122.4352246,37.63956299
-122.4374003,37.6398291
-122.4390535,37.64000546
-122.44094,37.64018043
-122.4426047,37.64031236
-122.4445032,37.64043807
-122.4461774,37.64052787
-122.4478094,37.64059715
-122.449756,37.64065735
-122.4514182,37.64069227
-122.4530831,37.64071499
-122.4550288,37.64072842
-122.4566993,37.64073134
-122.4586516,37.64072762
-122.4603397,37.64072762
-122.4603397,37.6407221
-122.4622991,37.64071613
-122.4639819,37.64071559
-122.4662302,37.64071559
-122.4662302,37.64072277
-122.4682019,37.6407472
-122.4698484,37.6407823
-122.4718395,37.64084195
-122.4735619,37.64091433
-122.4755233,37.64102093
-122.477251,37.64113257
-122.4792176,37.64127753
-122.4809366,37.64141782
-122.4832135,37.64162017
-122.4849205,37.64178237
-122.486626,37.64195201
-122.4886125,37.64215774
-122.4905945,37.64237026
-122.4922891,37.64255674
-122.4942609,37.64277831
-122.4959579,37.64297228
-122.4979183,37.64319944
-122.4998842,37.64342978
-122.5018213,37.64365846
-122.5034991,37.64385729
-122.5051503,37.64405317
-122.5068213,37.64425108
-122.5089833,37.64450582
-122.5106822,37.64470424
-122.5123333,37.64489501
-122.5145327,37.64514502
-122.5161816,37.64532868
-122.518071,37.64553439
-122.5197434,37.64571164
-122.5213712,37.64587925
-122.5233105,37.64607193
-122.5249536,37.64622872
-122.5266104,37.64638043
-122.5285466,37.64654917
-122.5304982,37.64670958
-122.5321643,37.64683868
-122.5341118,37.6469803
-122.5357843,37.64709393
-122.5374596,37.64720039
-122.5394177,37.64731559
-122.5411106,37.64740737
-122.5430752,37.64750504
-122.5447617,37.64758156
-122.5469672,37.64767183
-122.5492588,37.64775485
-122.5509652,37.64781529
-122.5535219,37.64791406
-122.5551726,37.64799136
-122.5569188,37.64808334
-122.5586187,37.64818269
-122.5606027,37.6483103
-122.5623038,37.64842885
-122.5642886,37.64857682
-122.5662379,37.64873136
-122.5679388,37.64887308
-122.5696392,37.64902073
-122.5713391,37.64902073
-122.5713391,37.64917397
-122.5730382,37.64933251
-122.5750194,37.64952385
-122.57674,37.64969547
-122.5787068,37.64989764
-122.5804015,37.65007685
-122.5820949,37.65026048
-122.583787,37.65044843
-122.5855013,37.65064335
-122.5871673,37.65083707
-122.588867,37.65103907
-122.5908347,37.65127834
-122.5928123,37.65152468
-122.5944842,37.65173754
-122.5961665,37.65195599
-122.5978009,37.65195599
-122.5978009,37.6521723
-122.599819,37.65244498
-122.6014509,37.65266999
-122.603175,37.6529121
-122.6050841,37.65318548
-122.6068059,37.6534368
-122.6084801,37.65368553
-122.6101534,37.65393842
-122.611791,37.65419007
-122.613741,37.65449511
-122.6153999,37.65475917
-122.6170811,37.65475917
-122.6170811,37.65503104
-122.6187499,37.65530505
-122.6204179,37.65558301
-122.6220851,37.6558648
-122.6237631,37.65615233
-122.6254288,37.65644149
-122.6273713,37.65678319
-122.6290355,37.65707963
-122.630699,37.65737915
-122.632362,37.65768156
-122.6343014,37.65803772
-122.6359748,37.65834777
-122.6376363,37.65865782
-122.6392974,37.65865782
-122.6392974,37.65896973
-122.6392974,37.65896973
