long,lat
-122.3592986,37.61211288
-122.3594855,37.61219158
-122.3596986,37.61228131
-122.359985,37.6124019
-122.3603888,37.61257176
-122.3607925,37.61274154
-122.3612728,37.61294335
-122.3619069,37.61320958
-122.3624993,37.61345809
-122.3631774,37.61374225
-122.3639898,37.61408229
-122.3648055,37.61442325
-122.3657974,37.61483722
-122.3667073,37.61521635
-122.3676714,37.6156173
-122.3686886,37.61603949
-122.3699412,37.61655808
-122.3710702,37.61702413
-122.3722576,37.61751269
-122.3734878,37.61801358
-122.3749954,37.61861844
-122.3763186,37.61861844
-122.3763186,37.61914808
-122.3776868,37.61969853
-122.379319,37.62035888
-122.3809878,37.62103842
-122.3823814,37.62160934
-122.3838577,37.62221766
-122.3852915,37.62281198
-122.3869262,37.62349373
-122.3883727,37.62349373
-122.3883727,37.62410069
-122.3897797,37.62469432
-122.3913788,37.62537286
-122.3927629,37.62596343
-122.394368,37.62665281
-122.3957294,37.62724528
-122.3971103,37.62784729
-122.398723,37.62854764
-122.4000539,37.62912075
-122.4017182,37.62982728
-122.4027624,37.63026293
-122.4045238,37.63098135
-122.4061239,37.63161357
-122.4075893,37.63217374
-122.4090274,37.63217374
-122.4090274,37.63270474
-122.4107314,37.63330848
-122.412197,37.63380636
-122.4136851,37.63429151
-122.4154145,37.63482851
-122.4169295,37.635275
-122.4186897,37.635275
-122.4186897,37.63576555
-122.4202309,37.63617007
-122.4217728,37.63655269
-122.4235849,37.63697466
-122.4251491,37.63731481
-122.426723,37.63763488
-122.428284,37.63793072
-122.4301639,37.6382589
-122.4317428,37.63851133
-122.4336089,37.63878309
-122.4354956,37.63902939
-122.4371197,37.63921915
-122.4387496,37.63938953
-122.4403849,37.63954091
-122.4422989,37.63969402
-122.4439558,37.63980633
-122.4456053,37.6399002
-122.4475345,37.63998821
-122.4491919,37.64004584
-122.4508639,37.64008785
-122.4527935,37.64011953
-122.4544718,37.64013597
-122.4564197,37.64014587
-122.4580922,37.64015134
-122.4597674,37.64015683
-122.4614454,37.64016566
-122.4634068,37.64018405
-122.4650913,37.6402119
-122.466767,37.64025142
-122.4684804,37.64030801
-122.4704432,37.64039456
-122.4724323,37.64050774
-122.4744124,37.640642
-122.4761113,37.64077216
-122.4780598,37.64093617
-122.479762,37.64109061
-122.4820335,37.64131052
-122.4837496,37.64131052
-122.4837496,37.6414856
-122.4854414,37.64166461
-122.4874507,37.64188424
-122.4891266,37.64207235
-122.4911172,37.6423006
-122.4928096,37.64249805
-122.4948027,37.64273382
-122.4964633,37.64293237
-122.4987027,37.64320225
-122.5003779,37.64340509
-122.5023396,37.64364292
-122.5040077,37.64384484
-122.5056732,37.64404559
-122.5076131,37.64427769
-122.5092619,37.64447288
-122.5109317,37.64466803
-122.512876,37.64489134
-122.5145315,37.64507755
-122.5161863,37.64525949
-122.5181167,37.64546573
-122.5197257,37.64563212
-122.5214274,37.64580211
-122.523349,37.64598612
-122.5252611,37.64616032
-122.5269448,37.64630605
-122.5288617,37.64646297
-122.5308047,37.64661211
-122.5324726,37.64673213
-122.5344216,37.64686303
-122.5361064,37.64696812
-122.5377936,37.647066
-122.5394598,37.64715556
-122.5411398,37.6472389
-122.5431025,37.6473277
-122.5447871,37.64739683
-122.5464736,37.64745944
-122.5481736,37.64745944
-122.5481736,37.64751825
-122.5498636,37.6475785
-122.5515548,37.6475785
-122.5515548,37.64764539
-122.5531997,37.64772311
-122.5549392,37.64782134
-122.5566323,37.64793086
-122.5586081,37.64807613
-122.5603136,37.64821582
-122.5619604,37.64836209
-122.563654,37.64852295
-122.5653945,37.64869797
-122.5673697,37.64890696
-122.5690623,37.64909369
-122.5710011,37.6493151
-122.5726924,37.64951409
-122.5743832,37.64971788
-122.5760731,37.64971788
-122.5760731,37.64992611
-122.5777858,37.65014147
-122.5797319,37.65039129
-122.5814426,37.65061522
-122.583398,37.65087612
-122.5851064,37.65110832
-122.5867669,37.65133784
-122.5887299,37.65161405
-122.5904111,37.65185483
-122.5920911,37.6520993
-122.5937931,37.65235093
-122.5957384,37.65264341
-122.5974259,37.65290137
-122.599089,37.65315943
-122.6007624,37.65342297
-122.6029919,37.65377985
-122.6046512,37.65404953
-122.6066225,37.65437422
-122.6082797,37.65465055
-122.6102371,37.65498065
-122.6124598,37.65535989
-122.6144037,37.655695
-122.6160694,37.65598438
-122.618255,37.65636669
-122.6199198,37.65636669
-122.6199198,37.65665953
-122.6221739,37.65705763
-122.6240811,37.65739534
-122.6257456,37.65769027
-122.6274218,37.65798706
-122.6290866,37.65828124
-122.6307517,37.65857446
-122.6324172,37.65886632
-122.6340832,37.65886632
-122.6340832,37.65915638
-122.6359814,37.65948398
-122.6376953,37.65977659
-122.6393637,37.65977659
-122.6393637,37.66005801
-122.6410446,37.66033765
-122.6427267,37.66061305
-122.6443867,37.66088
-122.6463268,37.66118527
-122.6480129,37.66118527
-122.6480129,37.66144406
-122.6496887,37.66169476
-122.6513661,37.66193865
-122.6533366,37.66221549
-122.6550174,37.66244279
-122.6569336,37.66269145
-122.6586647,37.66290604
-122.6606317,37.66313793
-122.6623193,37.66332653
-122.6639732,37.66332653
-122.6639732,37.66350194
-122.6656636,37.66350194
-122.6656636,37.66367154
-122.6673317,37.66382932
-122.6693303,37.66382932
-122.6693303,37.66400594
-122.6710244,37.6641452
-122.6727194,37.66427512
-122.6744152,37.66439591
-122.6761236,37.66450856
-122.6781273,37.6646295
-122.6798016,37.66472165
-122.6814999,37.66480716
-122.6831986,37.66488497
-122.6851809,37.66496645
-122.6874585,37.66504829
-122.689158,37.66510157
-122.691141,37.66510157
-122.691141,37.66515576
-122.6928289,37.66519546
-122.6945404,37.66523494
-122.6962398,37.66527987
-122.6982216,37.66534754
-122.7002134,37.66544154
-122.7019082,37.6655495
-122.7036001,37.66568432
-122.705288,37.66585178
-122.7069717,37.6660489
-122.7089301,37.6663156
-122.7105799,37.6665699
-122.7125138,37.66689914
-122.714199,37.66689914
-122.714199,37.66720987
-122.7158338,37.66752866
-122.717488,37.66786486
-122.7191397,37.6682107
-122.7208009,37.66856569
-122.7227242,37.66856569
-122.7227242,37.66898217
-122.7243724,37.66934124
-122.7262949,37.66976168
-122.7279661,37.67012656
-122.7295922,37.67012656
-122.7295922,37.67048014
-122.731471,37.67088612
-122.7331786,37.67125366
-122.7348294,37.67160732
-122.7370316,37.67207584
-122.7386841,37.67242444
-122.740613,37.67282817
-122.742267,37.67317198
-122.7439333,37.67351536
-122.7458651,37.67390902
-122.7474991,37.67423769
-122.7491803,37.67457115
-122.7511166,37.67494849
-122.753055,37.67531811
-122.7549724,37.6756748
-122.7569037,37.67602413
-122.7585941,37.67632091
-122.7605186,37.67632091
-122.7605186,37.67664772
-122.7622019,37.67692325
-122.7638639,37.67718539
-122.7655396,37.67743929
-122.7672173,37.67768272
-122.7689204,37.67791852
-122.7705905,37.67813853
-122.772274,37.67834899
-122.7742404,37.67858033
-122.7759277,37.67876643
-122.7776165,37.67894127
-122.7795887,37.67913112
-122.7812922,37.67928286
-122.782997,37.6794235
-122.7849618,37.67957194
-122.7866098,37.67968538
-122.788353,37.67979461
-122.7900497,37.67989055
-122.7920418,37.67999044
-122.7937397,37.68006498
-122.7957211,37.68013999
-122.7974198,37.68019431
-122.7991187,37.6802397
