long,lat
-122.3590851,37.61202213
-122.359085,37.61202209
-122.359085,37.6120221
-122.3590882,37.61202345
-122.359104,37.6120301
-122.3591412,37.61204578
-122.3592177,37.61204578
-122.3592177,37.61207802
-122.3593212,37.61212166
-122.359504,37.61219877
-122.3596792,37.61227264
-122.3599939,37.61240528
-122.3603843,37.61256973
-122.3607943,37.61256973
-122.3607943,37.61274237
-122.3613545,37.6129781
-122.3619915,37.61324601
-122.3626024,37.61350276
-122.3632628,37.61350276
-122.3632628,37.61377999
-122.3641171,37.61413826
-122.3649112,37.61447113
-122.3657614,37.61482702
-122.3666797,37.6152108
-122.3677983,37.61567737
-122.3688129,37.6160996
-122.3700858,37.61662791
-122.3712034,37.61709039
-122.3723949,37.6175817
-122.3736289,37.61808529
-122.3751315,37.6186899
-122.3764758,37.61923034
-122.3778172,37.61923034
-122.3778172,37.61977233
-122.3796661,37.62052389
-122.3811187,37.62111811
-122.3827603,37.62179383
-122.3842346,37.62240453
-122.3856753,37.62300479
-122.3873152,37.62369226
-122.3887372,37.62429196
-122.390139,37.62488635
-122.3915395,37.62548337
-122.3929198,37.62607469
-122.3945023,37.62675745
-122.3958864,37.6273684
-122.3974601,37.62806703
-122.3988296,37.62867012
-122.4002251,37.62927501
-122.4016012,37.62927501
-122.4016012,37.62985738
-122.4032227,37.63051977
-122.4048828,37.63116623
-122.4063141,37.63116623
-122.4063141,37.63169504
-122.4077518,37.63219756
-122.4094622,37.63275701
-122.4109464,37.63320785
-122.4126986,37.63369865
-122.4142172,37.63408846
-122.4162644,37.63456359
-122.4178153,37.63488658
-122.4196289,37.63488658
-122.4196289,37.63522608
-122.4212153,37.63549103
-122.4228114,37.63572912
-122.4246716,37.63597276
-122.4262742,37.63615528
-122.4278723,37.63631358
-122.4294987,37.63645193
-122.4311304,37.63656914
-122.4327442,37.63666511
-122.4346454,37.63675442
-122.436279,37.6368121
-122.437859,37.63685231
-122.4395444,37.63687997
-122.4414269,37.63689396
-122.4431297,37.6368926
-122.444984,37.63687769
-122.4466921,37.63685313
-122.4486211,37.63681436
-122.4502655,37.63677358
-122.4519468,37.63672575
-122.4538846,37.63666517
-122.4558258,37.63660004
-122.457481,37.63654248
-122.4594407,37.63647404
-122.4610555,37.63642008
-122.4630694,37.63635787
-122.4647494,37.63631386
-122.4667021,37.63627415
-122.468366,37.63625367
-122.4700801,37.63625367
-122.4700801,37.6362494
-122.4720567,37.63627227
-122.4737666,37.63631773
-122.4754556,37.63638378
-122.4774294,37.63649435
-122.4791561,37.63662473
-122.4814061,37.63683436
-122.4831118,37.63702008
-122.4848395,37.63722925
-122.4868238,37.63749266
-122.4887906,37.6377753
-122.4904929,37.63803536
-122.4921794,37.63829877
-122.4941423,37.63860387
-122.4958102,37.63885537
-122.4974762,37.63909406
-122.4991759,37.63931969
-122.5013868,37.63957883
-122.5030853,37.63957883
-122.5030853,37.63974659
-122.5050279,37.63990068
-122.506981,37.64002294
-122.5086641,37.64009756
-122.5103328,37.64014858
-122.5128188,37.64019703
-122.5144803,37.64019703
-122.5144803,37.64022201
-122.5164272,37.64025443
-122.5183485,37.64029905
-122.5202798,37.64035836
-122.5219454,37.64042514
-122.5238734,37.6405283
-122.5260738,37.64068863
-122.5279835,37.64087212
-122.5279835,37.64087212
