long,lat
-122.3591066,37.61203092
-122.3591066,37.61203088
-122.359107,37.61203088
-122.359107,37.61203105
-122.3591157,37.61203474
-122.3591418,37.61204572
-122.3591918,37.61206682
-122.3592689,37.61209931
-122.3593835,37.61214756
-122.3595731,37.61222744
-122.3597988,37.61232243
-122.3601359,37.61246425
-122.3604939,37.61261483
-122.3609084,37.61278901
-122.3613835,37.61298854
-122.3620304,37.61326
-122.3626364,37.61351405
-122.3633105,37.61379633
-122.3640279,37.61409642
-122.3649314,37.61447385
-122.3657986,37.61483554
-122.3667104,37.61521521
-122.3676703,37.61561419
-122.3686834,37.61561419
-122.3686834,37.61603447
-122.3699236,37.61654784
-122.3710561,37.61701544
-122.3724402,37.61758492
-122.3736741,37.61808808
-122.3751491,37.61808808
-122.3751491,37.61868132
-122.3765017,37.61922479
-122.3780737,37.61985976
-122.3795141,37.6204449
-122.3809349,37.62102519
-122.3825953,37.62102519
-122.3825953,37.6217075
-122.3842489,37.62239153
-122.3857094,37.62299944
-122.3871327,37.62359522
-122.388527,37.62418206
-122.3899404,37.62478018
-122.3915645,37.62478018
-122.3915645,37.62547133
-122.3929548,37.62606622
-122.3943295,37.62665652
-122.39568,37.6272442
-122.3970553,37.62785182
-122.3984333,37.62845905
-122.4000083,37.62914408
-122.4014206,37.62974485
-122.4027858,37.6303086
-122.4042126,37.63087606
-122.4056349,37.63141667
-122.4070833,37.63193937
-122.4087827,37.63251505
-122.410237,37.63297456
-122.4117178,37.6334107
-122.4132565,37.6338302
-122.4147792,37.63421224
-122.4165523,37.63461698
-122.4181046,37.63493732
-122.4199415,37.63527748
-122.4215293,37.63527748
-122.4215293,37.63553931
-122.4233588,37.63580624
-122.4249548,37.63601056
-122.4265807,37.63619304
-122.4281909,37.6363499
-122.429807,37.63648494
-122.4314169,37.63659859
-122.4333142,37.63670756
-122.4349561,37.63678159
-122.4365904,37.63683791
-122.438228,37.63687813
-122.4398459,37.63690345
-122.4417862,37.63691672
-122.4434211,37.63691472
-122.4450699,37.63690172
-122.446985,37.63687438
-122.4486504,37.636842
-122.4503181,37.63680249
-122.4522305,37.63675088
-122.4539151,37.63670072
-122.4555678,37.63664861
-122.4575011,37.63658583
-122.4591945,37.63653216
-122.4611468,37.6364734
-122.4628121,37.63642899
-122.464761,37.63638561
-122.4664685,37.63635856
-122.468156,37.63634403
-122.4698233,37.63634459
-122.4718115,37.63636814
-122.4737917,37.63642157
-122.4755033,37.63649353
-122.4774881,37.63661327
-122.4794644,37.63676518
-122.4811578,37.63676518
-122.4811578,37.63691886
-122.4834195,37.63715424
-122.4851349,37.63735299
-122.4874142,37.63764029
-122.4896873,37.63794992
-122.4913666,37.63819171
-122.4936137,37.6385306
-122.4953043,37.63879556
-122.4972329,37.63910675
-122.4991888,37.63943066
-122.5014133,37.63980755
-122.5030673,37.64009265
-122.5047053,37.6403784
-122.5069099,37.64076736
-122.5085389,37.64105736
-122.5107318,37.64145027
-122.5123417,37.64173983
-122.5139944,37.64203742
-122.5158823,37.64237699
-122.5177684,37.64271492
-122.5194167,37.6430084
-122.521562,37.64338666
-122.5232114,37.64367382
-122.5247945,37.64394577
-122.5264474,37.64422527
-122.5286364,37.64458744
-122.5302845,37.64485336
-122.5319019,37.64510815
-122.5338314,37.64540368
-122.5354681,37.64564685
-122.5371202,37.64588512
-122.539064,37.64615607
-122.5407129,37.64637791
-122.5423887,37.64659587
-122.5443232,37.64683823
-122.5460183,37.64704262
-122.5479497,37.64726668
-122.5496404,37.64745546
-122.5516031,37.64766655
-122.5530075,37.64781255
-122.5549885,37.64801172
-122.5569612,37.64820254
-122.5589134,37.64838436
-122.5608917,37.64856177
-122.5625893,37.64870869
-122.5648667,37.64889828
-122.5665554,37.64903344
-122.5688359,37.6492088
-122.5708102,37.64935408
-122.5728088,37.64949513
-122.5748077,37.64949513
-122.5748077,37.64963028
-122.576783,37.64975833
-122.5787702,37.64988194
-122.580757,37.65000083
-122.5827316,37.65011452
-122.5847292,37.65022589
-122.5867261,37.65033444
-122.5887104,37.65044067
-122.5906936,37.65054678
-122.592369,37.65063853
-122.5940789,37.65073589
-122.5957756,37.65084091
-122.5977524,37.65098151
