long,lat
-122.3593929,37.61215112
-122.3595965,37.61223685
-122.3598374,37.61233825
-122.3601326,37.61246247
-122.3605026,37.61261806
-122.3609191,37.61279309
-122.3614062,37.61299767
-122.3620565,37.61327061
-122.3626767,37.61353065
-122.3633568,37.61381549
-122.3640957,37.61412462
-122.3650423,37.61452013
-122.3658936,37.61487522
-122.366812,37.61525772
-122.367792,37.61566507
-122.3689951,37.61616405
-122.3700829,37.61661407
-122.3712221,37.61708395
-122.3724115,37.61757293
-122.3736514,37.61807811
-122.3751695,37.61868888
-122.376509,37.61922837
-122.3778442,37.61976873
-122.3792836,37.62035421
-122.3807035,37.62093489
-122.3821343,37.62152326
-122.3838079,37.62221565
-122.38521,37.62279921
-122.3866553,37.62340405
-122.3882878,37.62409129
-122.3896937,37.62468646
-122.3910891,37.62528027
-122.3924932,37.62588082
-122.394082,37.62656367
-122.3954687,37.62716034
-122.3968479,37.62775101
-122.3982313,37.62833792
-122.3996208,37.6289193
-122.4010372,37.62950106
-122.4026581,37.62950106
-122.4026581,37.63015022
-122.4040744,37.63070104
-122.4055111,37.63124284
-122.4069491,37.63176704
-122.4083988,37.63227641
-122.4098606,37.63277
-122.4115814,37.63277
-122.4115814,37.63332477
-122.4133189,37.63385566
-122.4148317,37.63429387
-122.4163036,37.63469885
-122.4178716,37.63510721
-122.4194084,37.63548466
-122.421215,37.63589989
-122.4227746,37.6362341
-122.424322,37.63654397
-122.4258893,37.63683624
-122.4274762,37.63711056
-122.4293379,37.63740545
-122.4309417,37.63740545
-122.4309417,37.63763693
-122.4325525,37.63784903
-122.4341697,37.63804213
-122.4360641,37.63824387
-122.4377051,37.63839808
-122.4396127,37.63855433
-122.4412528,37.63855433
-122.4412528,37.63866967
-122.4428971,37.63876841
-122.4448203,37.63886346
-122.4464726,37.63892881
-122.4481396,37.63898003
-122.450075,37.63902186
-122.4517369,37.63904344
-122.4534016,37.63905245
-122.4550688,37.63904951
-122.4570169,37.63903182
-122.4586428,37.63900601
-122.4606549,37.63896117
-122.4623088,37.63891443
-122.4640115,37.63885766
-122.4659503,37.6387834
-122.4676579,37.6387103
-122.4693445,37.6386328
-122.47128,37.6385387
-122.472972,37.63845462
-122.4746902,37.63836792
-122.4763644,37.63828605
-122.478373,37.63819507
-122.4800547,37.63812907
-122.4817636,37.63807386
-122.4837723,37.63802881
-122.4854854,37.63801038
-122.4874839,37.63801538
-122.4891956,37.63804459
-122.4911892,37.63810982
-122.4928936,37.63819374
-122.4948872,37.63832654
-122.4965331,37.63832654
-122.4965331,37.6384625
-122.4982668,37.63862835
-122.4998071,37.63879322
-122.5016208,37.63900555
-122.5032889,37.63921618
-122.5049517,37.63943981
-122.5066212,37.63943981
-122.5066212,37.63967727
-122.5085497,37.63996714
-122.510175,37.64022415
-122.511842,37.64049904
-122.5134831,37.64077697
-122.5151103,37.64105877
-122.5167581,37.64134911
-122.5186321,37.64168177
-122.5202674,37.64197243
-122.5219028,37.64226322
-122.523539,37.64255319
-122.5251765,37.6428416
-122.5268499,37.64313361
-122.5287307,37.64313361
-122.5287307,37.64345744
-122.5303862,37.64373765
-122.5320331,37.64401101
-122.5336828,37.64427864
-122.5353473,37.6445415
-122.5369919,37.64479354
-122.5389397,37.64508102
-122.5406031,37.64531629
-122.5422697,37.64554202
-122.5439514,37.64575917
-122.5456131,37.64596294
-122.5472896,37.64615738
-122.5489694,37.64634082
-122.5506522,37.64651309
-122.5526309,37.64670086
-122.55432,37.64684853
-122.5560116,37.64698582
-122.5577055,37.64711348
-122.5594013,37.64723232
-122.561382,37.64736094
-122.5633645,37.64748004
-122.5650296,37.64748004
-122.5650296,37.64757359
-122.5667428,37.64766445
-122.5687168,37.64776316
-122.5704312,37.64784412
-122.5721223,37.64792182
-122.5738252,37.64800058
-122.5755397,37.64808206
-122.5772302,37.64808206
-122.5772302,37.64816563
-122.5789438,37.64825682
-122.5806565,37.64835708
-122.5826277,37.64848472
-122.584338,37.64860703
-122.5860233,37.64860703
-122.5860233,37.64873901
-122.5880129,37.64891059
-122.5897062,37.64906996
-122.5916909,37.64927308
-122.5933679,37.6494587
-122.5953351,37.64969288
-122.5970069,37.64990562
-122.5986997,37.65013275
-122.6006462,37.65040855
-122.6023453,37.65066181
-122.6040185,37.6509224
-122.6059674,37.65123963
-122.6076351,37.65152259
-122.6092542,37.65152259
-122.6092542,37.65180651
-122.6092542,37.65180651
