long,lat
-122.3591302,37.61204409
-122.3592767,37.61210582
-122.3595216,37.61220906
-122.3598297,37.61233881
-122.360172,37.61248292
-122.3605793,37.61265431
-122.3611576,37.61289748
-122.3616827,37.61311807
-122.3622909,37.61337335
-122.3629553,37.61365193
-122.3638043,37.61400749
-122.3645844,37.61433373
-122.3653959,37.61467264
-122.3663039,37.61505124
-122.367261,37.61505124
-122.367261,37.61544961
-122.3682721,37.61586977
-122.3695099,37.61638305
-122.3706344,37.61638305
-122.3706344,37.61684801
-122.3718015,37.61732923
-122.3730265,37.61783255
-122.3742573,37.61833296
-122.3755792,37.618866
-122.3771411,37.61949831
-122.3785787,37.62008326
-122.3799921,37.62066122
-122.3816301,37.62133468
-122.3830571,37.6219247
-122.3845344,37.62253877
-122.3859376,37.62312516
-122.3873435,37.62371567
-122.3887896,37.62432623
-122.3902061,37.62492732
-122.3917955,37.62560539
-122.3932187,37.6262156
-122.3946068,37.62681338
-122.3959555,37.62739569
-122.397327,37.62798186
-122.3987054,37.62855936
-122.4001323,37.62914073
-122.4015619,37.62970231
-122.4031743,37.63030666
-122.4046348,37.63082505
-122.4061219,37.63132291
-122.4075643,37.63132291
-122.4075643,37.63177617
-122.4090846,37.63222216
-122.4105793,37.63262911
-122.412333,37.63306778
-122.4138695,37.63341849
-122.41543,37.63374392
-122.4169703,37.63403604
-122.4185434,37.63430593
-122.4204354,37.63459465
-122.4220181,37.63480782
-122.4235976,37.63499636
-122.425229,37.63516725
-122.4268443,37.63531432
-122.4284089,37.63543711
-122.4300461,37.63554632
-122.4317219,37.63563909
-122.4331065,37.63570224
-122.4352681,37.63577823
-122.4368875,37.63581851
-122.43883,37.63584965
-122.440467,37.63586251
-122.4424049,37.63586251
-122.4424049,37.63586331
-122.4437715,37.63585519
-122.4456805,37.63583291
-122.4473505,37.63580374
-122.4490229,37.63576608
-122.4506398,37.63572291
-122.4526177,37.63566216
-122.4542976,37.6356078
-122.4559918,37.63555088
-122.4579449,37.63548858
-122.4596108,37.63543945
-122.4612448,37.6353985
-122.4629874,37.63536654
-122.4645814,37.63535094
-122.4663313,37.63535186
-122.4680493,37.63537386
-122.4700178,37.63542785
-122.4716585,37.63542785
-122.4716585,37.63549841
-122.4736909,37.6356199
-122.4754182,37.63574903
-122.477099,37.63589539
-122.4791238,37.63609587
-122.4807465,37.6362734
-122.4824642,37.63647674
-122.4841814,37.63669517
-122.4862282,37.63697446
-122.4879054,37.63721814
-122.4893202,37.63743303
-122.4913075,37.63774797
-122.492984,37.63802436
-122.4946324,37.63830462
-122.496602,37.63864919
-122.4985424,37.63899588
-122.5002578,37.63930557
-122.5018777,37.63959746
-122.5035528,37.63989854
-122.5055254,37.64025074
-122.5071498,37.64053788
-122.5087613,37.64081926
-122.5104753,37.64111379
-122.5121196,37.64139078
-122.5140507,37.64170788
-122.5157518,37.64197878
-122.5174073,37.64223394
-122.5189716,37.6424667
-122.5206865,37.64271197
-122.5223109,37.64271197
-122.5223109,37.64293425
-122.5242369,37.64318465
-122.525946,37.64339456
-122.5275996,37.64358643
-122.5295221,37.64379562
-122.5312273,37.64396867
-122.5332143,37.64415564
-122.5348786,37.64415564
-122.5348786,37.64430121
-122.5365452,37.64443774
-122.5382258,37.64456687
-122.5401541,37.64456687
-122.5401541,37.64470555
-122.5418742,37.64482178
-122.5435259,37.64492776
-122.5452614,37.64503348
-122.5472217,37.64514754
-122.5489373,37.6452433
-122.5506192,37.64533316
-122.5523144,37.64542143
-122.5542466,37.64552177
-122.5559917,37.64561539
-122.5577023,37.64571273
-122.5596384,37.64582864
-122.561363,37.64593743
-122.5630057,37.64604668
-122.5647908,37.64617241
-122.5664226,37.6462944
-122.5681491,37.6464315
-122.5698519,37.64657549
-122.5716015,37.6467332
-122.5735512,37.64692133
-122.5752635,37.64709787
-122.5769627,37.64728395
-122.578684,37.64748379
-122.5803093,37.64768323
-122.5820738,37.64791173
-122.5840354,37.64818057
-122.5857126,37.64842286
-122.5874106,37.64867991
-122.5893862,37.64899387
-122.5910431,37.64926954
-122.5927204,37.64956012
-122.5944064,37.6498631
-122.596078,37.65017339
-122.5980017,37.65054161
-122.5997025,37.65054161
-122.5997025,37.65087606
-122.6013663,37.65121043
-122.6030282,37.65155054
-122.6046883,37.65155054
-122.6046883,37.65189545
-122.606589,37.65229465
-122.6085117,37.65270124
-122.6101693,37.65305176
-122.6118737,37.65340915
-122.6135332,37.65375216
-122.6151599,37.65408215
-122.6171008,37.65446474
-122.6187678,37.65478051
-122.6204384,37.65508233
-122.6223919,37.65541598
-122.6243506,37.65572814
-122.6260333,37.65597756
-122.6276844,37.65620494
-122.6297025,37.65645953
-122.6313952,37.65665359
-122.6330905,37.6568307
-122.6350709,37.65701664
-122.6367704,37.65715911
-122.6387668,37.65715911
-122.6387668,37.65730752
-122.6404692,37.6574189
-122.6424685,37.65753427
-122.6441728,37.65762121
-122.6458777,37.65769949
-122.6478081,37.65778004
-122.6495139,37.65778004
-122.6495139,37.65784597
-122.6512791,37.65790926
-122.6529854,37.65796808
-122.6546443,37.65802653
-122.656635,37.65810216
-122.658341,37.65817505
-122.6603781,37.65827576
-122.6603781,37.65827576
