long,lat
-122.3591147,37.61203414
-122.3591146,37.6120341
-122.3591154,37.61203443
-122.3591238,37.61203797
-122.3591496,37.61204883
-122.3592104,37.61207448
-122.3592945,37.61210989
-122.3594189,37.61216224
-122.3596266,37.6122496
-122.3599122,37.61236967
-122.3602226,37.61250011
-122.3605948,37.61265641
-122.3610287,37.61283855
-122.3616125,37.61308342
-122.3621703,37.61331721
-122.3627909,37.61357706
-122.3635942,37.61357706
-122.3635942,37.61391306
-122.3643455,37.61422693
-122.3651537,37.61422693
-122.3651537,37.61456415
-122.3661673,37.61498641
-122.3671022,37.6153752
-122.3680846,37.61578302
-122.3692974,37.61628533
-122.3703852,37.61673469
-122.3715393,37.61721005
-122.3727354,37.61770099
-122.3739819,37.61820736
-122.375507,37.61881951
-122.3768514,37.61936016
-122.3782294,37.61991703
-122.3796335,37.62048744
-122.3810559,37.62106836
-122.3827274,37.6217552
-122.3841626,37.62234856
-122.3856044,37.62294808
-122.3870294,37.62354389
-122.3884163,37.62412695
-122.3900664,37.62482465
-122.3914611,37.62482465
-122.3914611,37.62541769
-122.3928645,37.62601749
-122.3942139,37.6265966
-122.3955902,37.62718939
-122.3971954,37.62788334
-122.3985718,37.62848053
-122.3999497,37.62907963
-122.4013332,37.62967406
-122.4029575,37.63035584
-122.4043716,37.63092997
-122.406027,37.6315739
-122.4074623,37.63210423
-122.4089139,37.63261198
-122.410382,37.63309504
-122.4118667,37.63355144
-122.413326,37.63396826
-122.4148954,37.63438193
-122.4164272,37.63475198
-122.4182315,37.63514665
-122.4197916,37.63545355
-122.4216261,37.63577587
-122.4232094,37.63602243
-122.4248018,37.63624259
-122.4266808,37.63646877
-122.4282895,37.63663534
-122.4299044,37.63677911
-122.4315248,37.63690124
-122.4331501,37.63700273
-122.4347798,37.63708449
-122.4366748,37.6371562
-122.4382897,37.63719884
-122.4399305,37.637226
-122.441597,37.63723808
-122.4432204,37.63723591
-122.4451784,37.63721645
-122.4467953,37.63718763
-122.4490119,37.63713116
-122.4506682,37.63707725
-122.4523496,37.63701313
-122.4542641,37.63693056
-122.455927,37.63685119
-122.45787,37.63675207
-122.4598277,37.63664597
-122.4617773,37.63653759
-122.4634515,37.63644446
-122.4651288,37.63635547
-122.4667864,37.63627513
-122.4687759,37.63619357
-122.4704305,37.63614037
-122.4721713,37.63610239
-122.4738689,37.63608607
-122.4758539,37.63609619
-122.4775585,37.63613247
-122.4792417,37.63619526
-122.4809738,37.63628962
-122.4826474,37.63640889
-122.4846409,37.63658336
-122.4863471,37.63675832
-122.48805,37.63695368
-122.4897488,37.63716668
-122.4914546,37.63716668
-122.4914546,37.63739635
-122.4934127,37.63767696
-122.495387,37.63797583
-122.4970869,37.63824433
-122.4990134,37.63855955
-122.5007023,37.63884431
-122.5023404,37.63912714
-122.5042844,37.63912714
-122.5042844,37.63947018
-122.5059367,37.63976721
-122.5075854,37.64006743
-122.5092311,37.64037012
-122.5106575,37.64063428
-122.5127879,37.6410307
-122.5144259,37.64133662
-122.5160735,37.64164539
-122.5177084,37.64195274
-122.5195919,37.64230794
-122.5212478,37.64262112
-122.5228807,37.64293068
-122.5247858,37.64329264
-122.526419,37.64360352
-122.52803,37.64391061
-122.5299256,37.64427235
-122.5315839,37.64458904
-122.5331979,37.64489735
-122.5351088,37.64526238
-122.5367482,37.64557538
-122.538389,37.64588839
-122.5400425,37.64620346
-122.5416861,37.64651612
-122.5433311,37.64682845
-122.545252,37.64719224
-122.5469231,37.64750775
-122.5485499,37.64781392
-122.5502011,37.6481236
-122.5521411,37.64848587
-122.5535201,37.64874224
-122.5554065,37.64909132
-122.5571108,37.64940494
-122.5587708,37.64970869
-122.5604325,37.65001094
-122.5621073,37.65031365
-122.5637722,37.65061254
-122.5654385,37.65090956
-122.5673843,37.65090956
-122.5673843,37.6512536
-122.5690534,37.65154621
-122.5706772,37.65182858
-122.5723948,37.65212471
-122.5743108,37.65245186
-122.5759838,37.65273469
-122.5776575,37.65301492
-122.5793551,37.65329633
-122.5810067,37.65356734
-122.5829613,37.65356734
-122.5829613,37.65388446
-122.5849166,37.65419771
-122.5866046,37.6544649
-122.5882813,37.65472729
-122.5899817,37.65499031
-122.5916358,37.65524317
-122.5933135,37.6554966
-122.5952712,37.6554966
-122.5952712,37.65578846
-122.5969612,37.65603706
-122.5986398,37.65628093
-122.6005985,37.65656166
-122.6022777,37.65679904
-122.6039339,37.65703018
-122.6059172,37.65730309
-122.6076092,37.65753257
-122.6092899,37.65775747
-122.6109711,37.65797939
-122.6129329,37.65823452
-122.6146149,37.65844997
-122.6162974,37.65866244
-122.6182608,37.65890656
-122.6199443,37.65911257
-122.6216282,37.65911257
-122.6216282,37.65931559
-122.6235583,37.65954456
-122.6252784,37.65974525
-122.6269287,37.65993482
-122.6286146,37.66012547
-122.6305821,37.66034412
-122.6322807,37.66052956
-122.6339681,37.66071072
-122.6356794,37.66089134
-122.6376257,37.661093
-122.6393028,37.66126361
-122.6410038,37.66143369
-122.6426934,37.66159976
-122.6446769,37.66179109
-122.6463674,37.66179109
-122.6463674,37.66195113
-122.6480583,37.66210848
-122.6497496,37.66226316
-122.6517233,37.66244034
-122.6534153,37.66258944
-122.6553899,37.66276025
-122.6570945,37.66290502
-122.6590698,37.66306976
-122.6607516,37.66320753
-122.6624572,37.66334502
-122.6641513,37.66347953
-122.6658457,37.66361207
-122.6677875,37.66376161
-122.6694825,37.66389017
-122.6711894,37.66401791
-122.6731556,37.66416299
-122.6748747,37.66428815
-122.6765469,37.66440847
-122.678549,37.66455085
-122.6802332,37.66455085
-122.6802332,37.66466935
-122.6819294,37.66478759
-122.6839083,37.66478759
-122.6839083,37.66492436
-122.6856047,37.66504075
-122.6875838,37.66517567
-122.6892802,37.66529078
-122.6912829,37.66542626
-122.6929676,37.6655398
-122.6946641,37.66565392
-122.6966432,37.66578703
-122.6983396,37.6659013
-122.700036,37.6659013
-122.700036,37.66601596
-122.7016851,37.66612791
-122.7037228,37.66626716
-122.7054188,37.66638413
-122.7073973,37.66652215
-122.7090929,37.66664247
-122.7107882,37.66676475
-122.7124833,37.66688922
-122.714178,37.66701608
-122.7158607,37.66701608
-122.7158607,37.66714475
-122.7178136,37.66729784
-122.7197894,37.66745745
-122.7217647,37.66762215
-122.7234572,37.66776788
-122.7251491,37.66791821
-122.7268521,37.66807509
-122.7288243,37.66807509
-122.7288243,37.668264
-122.7305139,37.66843275
-122.7322143,37.66860938
-122.7338902,37.66879085
-122.7358459,37.66901214
-122.7375427,37.669213
-122.7392381,37.66942209
-122.7412006,37.66967507
-122.7428811,37.66990114
-122.7445599,37.67013579
-122.7462371,37.67037872
-122.7479127,37.67062943
-122.7498773,37.67062943
-122.7498773,37.67093294
-122.7515497,37.67119887
-122.7532207,37.67147074
-122.7551688,37.67179448
-122.7568375,37.67207678
-122.7585052,37.67236275
-122.7604501,37.67270015
-122.7620818,37.67298577
-122.7637478,37.67327922
-122.7656911,37.67362322
-122.7673566,37.67391903
-122.769022,37.67421532
-122.7706874,37.6745117
-122.7723529,37.6748078
-122.7743078,37.6751544
-122.7759738,37.67544852
-122.7776403,37.67574109
-122.7795851,37.67607995
-122.7812527,37.67636782
-122.7829094,37.67665092
-122.7846017,37.67693672
-122.7865036,37.67693672
-122.7865036,37.67725335
-122.7882211,37.67753463
-122.7898931,37.67780386
-122.7915662,37.67780386
-122.7915662,37.67806832
-122.7932404,37.67832765
