long,lat
-122.3594824,37.6121888
-122.3597003,37.61228056
-122.3600299,37.61241921
-122.3603782,37.61256569
-122.3607921,37.61273965
-122.3612689,37.61293992
-122.361808,37.61316616
-122.3625145,37.61346235
-122.3631805,37.61374131
-122.3640377,37.61409988
-122.364847,37.61443794
-122.3658507,37.61485657
-122.3667651,37.61523722
-122.3677474,37.61564539
-122.3689536,37.61614543
-122.3700367,37.61659323
-122.3711624,37.61705733
-122.3725578,37.6176302
-122.373818,37.61814131
-122.3753302,37.61874867
-122.3766775,37.61929177
-122.3780574,37.61985068
-122.379472,37.62042665
-122.3811318,37.6211063
-122.3825231,37.62167938
-122.3842331,37.62238802
-122.3856599,37.6229829
-122.3870787,37.62357767
-122.3885077,37.6241799
-122.3900907,37.62485078
-122.3915165,37.62545831
-122.3928938,37.62604798
-122.3942654,37.62663772
-122.3958542,37.62732375
-122.3972335,37.62792206
-122.3985766,37.62850418
-122.4002222,37.62920839
-122.4016082,37.62978986
-122.4030038,37.63036081
-122.4044013,37.63091483
-122.40607,37.63154955
-122.4074676,37.63205682
-122.4089301,37.6325629
-122.4106441,37.6331221
-122.41213,37.63357688
-122.4136521,37.63357688
-122.4136521,37.63401355
-122.415401,37.63447896
-122.4169438,37.6348585
-122.4184887,37.63521114
-122.4200452,37.63553888
-122.4218755,37.63588918
-122.4234557,37.63616251
-122.4250453,37.63641125
-122.4269104,37.63641125
-122.4269104,37.63667084
-122.4287858,37.63689864
-122.4303668,37.63706614
-122.4320324,37.63721972
-122.4336584,37.63734826
-122.4355613,37.63747321
-122.4371969,37.6375598
-122.4388477,37.63762894
-122.4407645,37.63768764
-122.4424107,37.63772073
-122.4440597,37.63773888
-122.4457112,37.63774302
-122.4476409,37.6377313
-122.4492974,37.63770809
-122.4509329,37.63770809
-122.4509329,37.63767416
-122.452859,37.63767416
-122.452859,37.63762129
-122.4545337,37.63756482
-122.4564649,37.63748843
-122.4581324,37.63741372
-122.4600805,37.63731755
-122.4617642,37.63722734
-122.4634387,37.63713314
-122.4651156,37.63703535
-122.4670754,37.63691935
-122.4687582,37.63681988
-122.4707256,37.63670779
-122.4724159,37.63661958
-122.4743929,37.63653092
-122.4761039,37.63647072
-122.4778073,37.63647072
-122.4778073,37.63642918
-122.4798115,37.63640727
-122.4815108,37.63641405
-122.4835093,37.63645448
-122.4855074,37.63653228
-122.4875146,37.6366491
-122.4892211,37.63677556
-122.4909226,37.63692447
-122.4931819,37.63715378
-122.4948691,37.63715378
-122.4948691,37.63734598
-122.4968297,37.63758897
-122.4993033,37.63792209
-122.5009683,37.63816101
-122.5031799,37.63849458
-122.5048327,37.63875488
-122.5070288,37.63911412
-122.5092164,37.63948605
-122.5111357,37.63948605
-122.5111357,37.63982297
-122.5130386,37.64016574
-122.5149374,37.64016574
-122.5149374,37.64051501
-122.5165735,37.64051501
-122.5165735,37.64082099
-122.5184557,37.64117742
-122.5200774,37.64148772
-122.521935,37.64184577
-122.5238715,37.64222082
-122.5257641,37.6425879
-122.5276584,37.64295552
-122.5295549,37.64332319
-122.5314542,37.64369052
-122.533096,37.64400685
-122.5352285,37.64441554
-122.5374341,37.64483466
-122.5390974,37.64514808
-122.5412892,37.64555699
-122.5429365,37.64586055
-122.5448278,37.64620483
-122.5464816,37.6465017
-122.5486915,37.64689187
-122.5503642,37.64718169
-122.5522946,37.64751018
-122.5542406,37.64783425
-122.5562139,37.64815549
-122.5581559,37.6484643
-122.5598566,37.6487287
-122.5615128,37.64898074
-122.5634983,37.64927588
-122.5651587,37.64951693
-122.5676988,37.64987582
-122.5696673,37.64987582
-122.5696673,37.65014596
-122.5716371,37.65040951
-122.5733264,37.65063028
-122.5750163,37.65084636
-122.5767067,37.65105782
-122.5786793,37.65129875
-122.5803822,37.65150175
-122.5823553,37.65173124
-122.5843284,37.65195466
-122.5863015,37.65217206
-122.5879926,37.65235363
-122.5899655,37.65255993
-122.5919029,37.65275674
-122.5935937,37.65292381
-122.5953079,37.65308875
-122.5972568,37.65308875
-122.5972568,37.65327084
-122.5989709,37.65342622
-122.6009199,37.65359749
-122.6026342,37.65374347
-122.6043134,37.65388227
-122.6061455,37.65402914
-122.6079778,37.65417137
-122.6099514,37.65431995
-122.6116434,37.6544437
-122.6133357,37.65456423
-122.61504,37.65468275
-122.6170151,37.65481705
-122.6187085,37.65492972
-122.6204021,37.65504052
-122.6220725,37.6551485
-122.6240727,37.65527722
-122.6260613,37.65540517
-122.6277559,37.6555152
-122.6294506,37.65562682
-122.6314278,37.65576012
-122.6331225,37.65587792
-122.6348171,37.65599981
-122.6365114,37.65612656
-122.6381701,37.65625617
-122.6401459,37.65641787
-122.641839,37.65656317
-122.6435315,37.65671496
-122.6455053,37.65689998
-122.6471965,37.65706537
-122.648887,37.65723679
-122.6505885,37.65741528
-122.652559,37.65762936
-122.6542471,37.65781882
-122.6564968,37.65807962
-122.6581831,37.65828112
-122.6604303,37.65855735
-122.662407,37.6588074
-122.6640905,37.65902543
-122.6663338,37.65932309
-122.6680152,37.65955146
-122.6702091,37.65985614
-122.6719351,37.66010113
-122.6739049,37.66038637
-122.6755822,37.66063399
-122.6775378,37.66092815
-122.679213,37.66118472
-122.6811662,37.66148894
-122.6828162,37.6617498
-122.6844189,37.66200602
-122.6864272,37.66233092
-122.6883766,37.66264963
-122.6900469,37.6629248
-122.6917168,37.66320108
-122.6933982,37.66347956
-122.6953348,37.66379964
-122.6970166,37.66407607
-122.6986872,37.66434837
-122.7006487,37.66466446
-122.702309,37.66492889
-122.7039817,37.66519215
-122.705655,37.6654523
-122.7076198,37.66575334
-122.7092948,37.66600615
-122.7109705,37.6662554
-122.7128799,37.66653477
-122.7146039,37.66678266
-122.7162822,37.66702004
-122.7182411,37.66702004
-122.7182411,37.66729215
-122.7199326,37.66752282
-122.7218935,37.66778524
-122.7238553,37.66804246
-122.7255377,37.6682588
-122.7272207,37.66847132
-122.7294658,37.66874873
-122.7313962,37.6689817
-122.7336435,37.66924646
-122.7356342,37.6694752
-122.7372977,37.66966218
-122.7389853,37.66966218
-122.7389853,37.66984798
-122.7409548,37.67005995
-122.7426435,37.67023754
-122.7446261,37.67044117
-122.7465977,37.67063866
-122.7483116,37.67080646
-122.7499789,37.67096668
-122.7519636,37.67096668
-122.7519636,37.67115399
-122.7536433,37.67131002
-122.7553467,37.67146633
-122.7570385,37.67162055
-122.7590123,37.67180024
-122.7609859,37.67198088
-122.7626773,37.67213746
-122.7646503,37.67232295
-122.7663529,37.67248563
-122.7683251,37.67267733
-122.7700152,37.67284465
-122.7717049,37.6730148
-122.7733707,37.67318549
-122.7750831,37.67336402
-122.7770411,37.67357212
-122.7787056,37.67375241
-122.7803931,37.67393848
-122.7823612,37.67415962
-122.7840476,37.67435267
-122.7857335,37.67454893
-122.7876997,37.67478194
-122.7893845,37.67498514
-122.7910337,37.67518721
-122.7930448,37.67543787
-122.7947513,37.67565422
-122.7966908,37.67590421
-122.7983961,37.67612759
-122.8000541,37.67634801
-122.8019799,37.67660804
-122.8037066,37.67660804
-122.8037066,37.67684484
-122.805386,37.67707849
-122.8070648,37.67731533
-122.8090227,37.67759568
-122.8107001,37.67783939
-122.8126564,37.67812763
-122.8143442,37.6783797
-122.8160197,37.67863295
-122.8176947,37.67888872
-122.8196483,37.6791897
-122.8212759,37.67944238
-122.8229962,37.67971087
-122.8249139,37.68001134
-122.8265875,37.68027382
-122.8282612,37.68053568
-122.8299352,37.68079613
-122.8318888,37.68109737
-122.8335638,37.68135323
-122.8355186,37.68164889
-122.8372064,37.68164889
-122.8372064,37.68190146
-122.838883,37.68214987
-122.8408397,37.68243649
-122.8425175,37.68267946
-122.844219,37.6829232
-122.8458745,37.6831577
-122.8478454,37.68343349
-122.8495253,37.68366567
-122.8512057,37.68389527
-122.8528866,37.68412228
-122.8548482,37.68438385
-122.8565301,37.68460525
-122.8582125,37.68482407
-122.8599071,37.68504179
-122.861871,37.68529076
-122.8635548,37.68550135
-122.8652391,37.68570936
-122.8669004,37.68591194
-122.8686089,37.6861176
-122.8705638,37.68634958
-122.8722264,37.68654408
-122.8739129,37.68673874
-122.8755998,37.68693081
-122.8772987,37.68712161
-122.879256,37.68733816
-122.8809676,37.68752471
-122.8826326,37.68770375
-122.884638,37.68791659
-122.8863037,37.68809131
-122.887993,37.68826676
-122.8899642,37.68846972
-122.8916539,37.68864254
-122.8936253,37.68884356
-122.8953267,37.68901738
-122.8972979,37.68922029
-122.8989871,37.68939642
-122.900676,37.68957525
-122.9026459,37.6897871
-122.904334,37.68997148
-122.9063148,37.69019118
-122.908002,37.6903812
-122.9096421,37.69056843
-122.9113754,37.69076903
-122.9133425,37.69100005
-122.9150281,37.69120086
-122.9167133,37.69140426
-122.918363,37.69160592
-122.920328,37.69184944
-122.9220118,37.69206097
-122.9236952,37.69227508
-122.9256586,37.69252814
-122.927341,37.69274784
-122.9290229,37.69297013
-122.930716,37.69319657
-122.9326771,37.6934622
-122.9343576,37.69369267
-122.9360375,37.69392573
-122.9377403,37.69416451
-122.939396,37.69439896
-122.9410863,37.69464055
-122.9427645,37.6948825
-122.9447219,37.69516699
-122.9463995,37.69541201
-122.9483566,37.69569842
-122.9500342,37.69594335
-122.951712,37.69618732
-122.9536813,37.69647257
-122.9553594,37.69647257
-122.9553594,37.69671464
-122.9569912,37.69694912
-122.9587163,37.69719606
-122.9603951,37.69743541
-122.9623538,37.69771351
-122.9640329,37.69795088
-122.9656772,37.69818238
-122.9673567,37.6984178
-122.9690364,37.69865223
-122.9709963,37.6989245
-122.9726764,37.69915681
-122.9743566,37.69938815
-122.9763289,37.6996584
-122.9780096,37.69988762
-122.9796904,37.69988762
-122.9796904,37.70011586
-122.9813715,37.70034312
-122.9830528,37.7005694
-122.9847342,37.7005694
-122.9847342,37.7007947
-122.9866962,37.7010563
-122.9883897,37.7010563
-122.9883897,37.70128102
-122.9900718,37.70150321
-122.9917073,37.70171829
-122.9937169,37.70198126
-122.9953529,37.70219427
-122.9970824,37.70241844
-122.9989992,37.70266564
-123.0007409,37.70288912
-123.0024243,37.70310411
-123.0041079,37.70331812
-123.0057682,37.7035282
-123.0077562,37.70377844
-123.0094404,37.70398933
-123.0111247,37.70419924
-123.0130665,37.70444
-123.0147395,37.70464636
-123.0164243,37.70485317
-123.0183901,37.70509322
-123.0200753,37.70529791
-123.0220415,37.70553547
-123.0237388,37.70573944
-123.0254245,37.70594101
-123.0273913,37.70617494
-123.0290774,37.70637439
-123.030787,37.70657561
-123.032731,37.70680317
-123.0344176,37.70699951
-123.036116,37.70719623
-123.0380841,37.70742292
-123.0397712,37.70761615
-123.0414584,37.70780853
-123.043145,37.70800395
-123.0451114,37.70824002
-123.0468066,37.70845456
-123.0484875,37.70868092
-123.0504444,37.70896522
-123.0521172,37.7092287
-123.053785,37.70951261
-123.0557234,37.70987196
-123.0576522,37.71026386
-123.0592626,37.71061923
-123.0611699,37.71107585
-123.0630743,37.71157297
-123.0646733,37.71202407
-123.0665688,37.7126009
-123.068117,37.71310739
-123.0696944,37.71365745
-123.0715021,37.71365745
-123.0715021,37.71433136
-123.0732873,37.71504415
-123.0747567,37.71566767
-123.0765383,37.71646973
-123.0780091,37.7171711
-123.0797103,37.7171711
-123.0797103,37.71802822
-123.0811379,37.71878682
-123.0825447,37.71957084
-123.0839301,37.72037984
-123.0855187,37.72135453
-123.0868559,37.72221592
-123.0883772,37.72324439
-123.0896806,37.72416905
-123.0909411,37.72510391
-123.0923792,37.72622269
-123.0935836,37.72720511
-123.0949549,37.72837776
-123.096101,37.72940489
-123.0973803,37.73060597
-123.0984671,37.73167439
-123.0995261,37.73276086
-123.1007264,37.73405026
-123.1017249,37.73517337
-123.1026951,37.73631243
-123.1036561,37.73749111
-123.104705,37.73884075
-123.1055894,37.74003522
-123.1064325,37.7412268
-123.1072522,37.74243974
-123.1081716,37.74387048
-123.1089282,37.74510951
-123.1097741,37.74510951
-123.1097741,37.74656907
-123.1104722,37.74784034
-123.1112444,37.74932578
-123.1118753,37.75060906
-123.1124777,37.75190103
-123.1130362,37.75316499
-123.1136854,37.7547279
-123.1142012,37.75605356
-123.1147625,37.75759817
-123.1152851,37.7591514
-123.1157025,37.76048907
-123.116154,37.76205645
-123.1165672,37.76363053
-123.116936,37.7651824
-123.1172279,37.7665411
-123.1174942,37.76791286
-123.1177299,37.76926889
-123.1179771,37.77089406
-123.1181524,37.77223669
-123.1183052,37.77360994
-123.1184512,37.77522378
-123.1185476,37.77660037
-123.1186281,37.77820766
-123.1186698,37.77958607
-123.1186866,37.78096484
-123.1186786,37.78236284
-123.118639,37.78396166
-123.1185663,37.78556932
-123.1184614,37.78713737
-123.1183353,37.78855069
-123.1181821,37.78992369
-123.1179972,37.79129407
-123.1177797,37.79266127
-123.1174814,37.79426093
-123.1171939,37.79560017
-123.1168045,37.79719665
-123.1164407,37.79852367
-123.1159583,37.80010354
-123.1154346,37.80165528
-123.114961,37.80295013
-123.114359,37.80448403
-123.1138134,37.80579135
-123.1131416,37.80579135
-123.1131416,37.80731724
-123.1125486,37.80860152
-123.1118212,37.81011149
-123.1111848,37.81138275
-123.110521,37.81266595
-123.1098445,37.81393467
-123.1091518,37.81519789
-123.108324,37.8166648
-123.1075981,37.81791628
-123.1067325,37.81936933
-123.1059798,37.81936933
-123.1059798,37.82060003
-123.1051964,37.82185064
-123.1044091,37.82307812
-123.103472,37.82450243
-123.1026531,37.82571646
-123.101679,37.82712456
-123.1008277,37.82832405
-123.099809,37.82972252
-123.0989238,37.83090585
-123.0978708,37.8322763
-123.0967957,37.83363553
-123.0958698,37.83477533
-123.0947403,37.83612855
-123.0937861,37.8372413
-123.0926286,37.83855543
-123.0914489,37.83985664
-123.0904202,37.8409614
-123.0891922,37.84224526
-123.0881359,37.84332074
-123.0868596,37.84458608
-123.085769,37.84563909
-123.0846549,37.84668872
-123.083525,37.84772737
-123.0821868,37.84892483
-123.0810224,37.84993846
-123.0796434,37.85110556
-123.0784352,37.85209896
-123.0770143,37.85323313
-123.0757784,37.85419042
-123.0745256,37.85419042
-123.0745256,37.85513344
-123.0730427,37.85513344
-123.0730427,37.85621499
-123.0717533,37.85712554
-123.070447,37.85712554
-123.070447,37.85802036
-123.0691148,37.85890513
-123.0677751,37.85976736
-123.0661916,37.86075224
-123.064817,37.8615781
-123.0631938,37.86252004
-123.0617861,37.86330887
-123.0601551,37.86419147
-123.0587163,37.86494284
-123.0570199,37.86579677
-123.055551,37.86650905
-123.0540687,37.86720314
-123.0523232,37.86720314
-123.0523232,37.86798972
-123.0505395,37.86875992
-123.0490259,37.86938736
-123.0474898,37.86999995
-123.045683,37.87068992
-123.0441223,37.87125992
-123.0422877,37.87125992
-123.0422877,37.87189961
-123.0407038,37.87242572
-123.0388208,37.87301975
-123.0372262,37.87349651
-123.0353862,37.87401714
-123.0337156,37.8744623
-123.0320813,37.87487245
-123.0304388,37.87525971
-123.0285129,37.87568223
-123.0268426,37.87602097
-123.025177,37.87602097
-123.025177,37.87633314
-123.023226,37.87666671
-123.0215592,37.87692454
-123.0198641,37.8771614
-123.0178943,37.87740439
-123.0162488,37.87758087
-123.0145413,37.87773875
-123.0125241,37.8778921
-123.0108349,37.87799259
-123.0091563,37.87806704
-123.0071692,37.87806704
-123.0071692,37.87812229
-123.005466,37.87812229
-123.005466,37.87814128
-123.0037514,37.87813377
-123.0017548,37.87809083
-123.0000675,37.87802561
-122.998371,37.8779333
-122.9963961,37.87779181
-122.9946962,37.8776402
-122.9930128,37.8776402
-122.9930128,37.87746265
-122.9910561,37.87722146
-122.9893857,37.87698586
-122.9874458,37.87667757
-122.9857913,37.87638491
-122.9838718,37.87601025
-122.9825084,37.87572092
-122.9805996,37.87528324
-122.9789844,37.87488266
-122.977114,37.87438347
-122.9755235,37.87392841
-122.9736835,37.87336606
-122.9721206,37.87285739
-122.9703465,37.87285739
-122.9703465,37.87224454
-122.9688136,37.87168382
-122.9670442,37.8709995
-122.9655443,37.87038733
-122.9638122,37.86964706
-122.9623413,37.86899289
-122.9608715,37.86831838
-122.959181,37.86752025
-122.9577309,37.86681977
-122.9563072,37.86612077
-122.9546804,37.86531165
-122.9532162,37.86457654
-122.9517942,37.86385822
-122.9503738,37.86385822
-122.9503738,37.86313789
-122.9489348,37.86240633
-122.9475256,37.8616894
-122.9458702,37.86084713
-122.944451,37.86012546
-122.9430315,37.85940435
-122.9416114,37.85868399
-122.9399435,37.85784022
-122.938521,37.85712297
-122.9370972,37.85640757
-122.9354338,37.85557583
-122.9340055,37.85486642
-122.9323357,37.85486642
-122.9323357,37.85404306
-122.9306621,37.8532249
-122.9292541,37.85254265
-122.9278125,37.85185062
-122.9263673,37.8511635
-122.9249179,37.85048187
-122.9232217,37.84969372
-122.9217631,37.8490246
-122.9202898,37.848357
-122.918577,37.84759142
-122.9171041,37.84759142
