long,lat
-122.3593412,37.61212943
-122.3595167,37.61220337
-122.3597262,37.61229158
-122.3599953,37.61240485
-122.3603895,37.61257069
-122.3607927,37.61274019
-122.361334,37.61296759
-122.3619723,37.61323549
-122.3625785,37.6134897
-122.3633606,37.61381728
-122.3640782,37.61411746
-122.3648676,37.61444732
-122.3657134,37.61480019
-122.3666144,37.61517554
-122.3677342,37.6156411
-122.3687734,37.61607221
-122.3700275,37.61659116
-122.3711417,37.61705088
-122.3725227,37.61761868
-122.3737695,37.61761868
-122.3737695,37.61812672
-122.3750484,37.61864124
-122.3763797,37.61917622
-122.3779872,37.61982566
-122.3793869,37.62039431
-122.3810437,37.6210713
-122.3827135,37.62175808
-122.3841467,37.62235117
-122.3858139,37.62304531
-122.3872248,37.6236363
-122.3886551,37.62423872
-122.3902876,37.62493023
-122.391675,37.62552125
-122.3930423,37.62610655
-122.3944215,37.62669958
-122.3960168,37.62738855
-122.3973842,37.62798122
-122.3989544,37.62865918
-122.4003491,37.62925555
-122.4017125,37.62983015
-122.4033362,37.63049972
-122.4047393,37.63106234
-122.4061841,37.63162381
-122.4078327,37.63223923
-122.4092783,37.6327553
-122.4107389,37.63325251
-122.4122353,37.63373594
-122.4137057,37.63418464
-122.4152116,37.63461692
-122.4167318,37.63502555
-122.4182764,37.63541227
-122.4198233,37.63577103
-122.4216437,37.63615719
-122.4231724,37.6364523
-122.4247992,37.6364523
-122.4247992,37.63673776
-122.4263915,37.63698984
-122.4282599,37.63725229
-122.4298807,37.63745239
-122.4314745,37.63762533
-122.4333902,37.63780361
-122.4349732,37.63792794
-122.4366514,37.63792794
-122.4366514,37.63803836
-122.4382883,37.63812597
-122.4398948,37.63819362
-122.4418129,37.63825206
-122.4434601,37.63828165
-122.4451219,37.63829392
-122.4470388,37.63828714
-122.448694,37.63826404
-122.450351,37.6382261
-122.4520214,37.63817388
-122.4536819,37.63810891
-122.4556445,37.63810891
-122.4556445,37.63801667
-122.4572856,37.63792761
-122.4589514,37.63782701
-122.4606421,37.63771491
-122.4622884,37.63759753
-122.4642622,37.63745135
-122.4659254,37.63732685
-122.4676031,37.63720172
-122.4692372,37.63708075
-122.4709681,37.63695547
-122.4729494,37.63681938
-122.47463,37.63671191
-122.4766216,37.63659825
-122.4783232,37.63651548
-122.4800293,37.63644904
-122.4817397,37.63640194
-122.4836928,37.63637511
-122.4857454,37.63638189
-122.4874421,37.63641657
-122.4894375,37.63648919
-122.4911679,37.63657926
-122.4931565,37.63657926
-122.4931565,37.63671184
-122.4948664,37.63684883
-122.4965715,37.63684883
-122.4965715,37.63700435
-122.498566,37.63720791
-122.5002599,37.63739714
-122.5019487,37.63759892
-122.5036329,37.63781143
-122.5055923,37.63807102
-122.5072675,37.63807102
-122.5072675,37.63830202
-122.5089392,37.63853961
-122.5106193,37.63853961
-122.5106193,37.63878444
-122.5125623,37.63907403
-122.514502,37.63936903
-122.5161622,37.6396256
-122.5180506,37.63992142
-122.5197067,37.64018402
-122.5214186,37.64018402
-122.5214186,37.64045833
-122.5233471,37.64077063
-122.5249989,37.64077063
-122.5249989,37.64104082
-122.5266039,37.64104082
-122.5266039,37.64130564
-122.5282999,37.64158782
-122.5302242,37.64158782
-122.5302242,37.6419108
-122.532148,37.64223645
-122.5337738,37.64251369
-122.535411,37.64279449
-122.5373344,37.64312627
-122.5392581,37.64345966
-122.5409301,37.64345966
-122.5409301,37.64375043
-122.5425566,37.64403366
-122.5445159,37.64403366
-122.5445159,37.64437493
-122.5461436,37.64465792
-122.5480817,37.64465792
-122.5480817,37.64499382
-122.5499981,37.64532354
-122.5516747,37.64560951
-122.5533067,37.64588485
-122.5552394,37.64620629
-122.557186,37.64652373
-122.5588468,37.64678876
-122.5605097,37.64704795
-122.5624528,37.64734196
-122.5641209,37.64758646
-122.5657915,37.6478238
-122.5677554,37.64809302
-122.5694316,37.64831421
-122.5711102,37.64852766
-122.5730482,37.64876451
-122.5747552,37.6489649
-122.5764409,37.64915568
-122.5780815,37.64915568
-122.5780815,37.64933501
-122.580064,37.64954393
-122.5817548,37.64971592
-122.5834469,37.64988278
-122.58514,37.6500449
-122.5871164,37.65022849
-122.5888113,37.65038149
-122.5905068,37.65053083
-122.592238,37.65067983
-122.5941934,37.65084482
-122.5958899,37.65098582
-122.5975863,37.65112567
-122.5992827,37.65126518
-122.6009789,37.65140514
-122.6029692,37.65157104
-122.6046646,37.65171397
-122.6066422,37.65188306
-122.6083367,37.65203017
-122.6099836,37.65217546
-122.6120063,37.65235721
-122.6136521,37.65250811
-122.615403,37.65267205
-122.6170945,37.65283395
-122.6187853,37.65283395
-122.6187853,37.65299953
-122.6204753,37.65299953
-122.6204753,37.65316901
-122.6224461,37.65337182
-122.6241346,37.65355029
-122.6258105,37.65373196
-122.627755,37.6539487
-122.6294408,37.65414188
-122.6311258,37.65414188
-122.6311258,37.65434
-122.6328099,37.65454307
-122.6347736,37.65478636
-122.6364558,37.65500034
-122.6384288,37.65500034
-122.6384288,37.65525778
-122.640109,37.65548243
-122.6417884,37.65571185
-122.6437465,37.65598538
-122.6454239,37.65622476
-122.6471004,37.65646857
-122.6490436,37.65675666
-122.6507416,37.65701308
-122.6524154,37.65727
-122.6540885,37.65753078
-122.6560393,37.65783976
-122.6579892,37.65815358
-122.6596597,37.65842629
-122.6616192,37.65875054
-122.6632881,37.65903024
-122.6649564,37.65931282
-122.6669019,37.65931282
-122.6669019,37.65964598
-122.6685689,37.65993423
-122.6702123,37.66022052
-122.6719016,37.66051637
-122.6738105,37.66085222
-122.6754764,37.66114596
-122.6771422,37.66143998
-122.6790859,37.66178234
-122.6807524,37.66207431
-122.6827205,37.66241613
-122.6843653,37.66269842
-122.6860458,37.66298279
-122.6877159,37.66326057
-122.6896658,37.66357863
-122.6913385,37.66357863
-122.6913385,37.66384569
-122.6932915,37.66415038
-122.6949669,37.6644053
-122.6966553,37.66465582
-122.6983334,37.66465582
-122.6983334,37.66489835
-122.7002695,37.66516985
-122.7019738,37.66540128
-122.7036561,37.6656228
-122.7056202,37.66587292
-122.707305,37.66608037
-122.7089556,37.66627751
-122.7106893,37.66647837
-122.712377,37.66666814
-122.7143469,37.66688289
-122.7160363,37.6670616
-122.718008,37.66726421
-122.7199452,37.66726421
-122.7199452,37.66745738
-122.7216365,37.66762148
-122.7233284,37.66778156
-122.7250206,37.66793774
-122.7269955,37.6681151
-122.7286887,37.66826304
-122.7306646,37.6684311
-122.7323703,37.66857228
-122.7340882,37.66871098
-122.7360417,37.66886462
-122.7377601,37.66886462
-122.7377601,37.66899657
-122.7397142,37.66914332
-122.7414095,37.66926837
-122.7431166,37.66926837
-122.7431166,37.66939263
-122.7450945,37.66953516
-122.7467899,37.66965659
-122.7484853,37.66977773
-122.750416,37.66991557
-122.7524407,37.67006082
-122.7541357,37.67018322
-122.7561248,37.67032827
-122.7578195,37.67045362
-122.7595139,37.67058109
-122.7614903,37.67073297
-122.7634664,37.67088876
-122.765442,37.6710492
-122.7670996,37.67118815
-122.768792,37.67133445
-122.7704839,37.67148555
-122.772457,37.6716683
-122.7741474,37.67183096
-122.7758372,37.67199954
-122.7775261,37.67217426
-122.7795071,37.67238761
-122.7811939,37.67257653
-122.7828798,37.67277212
-122.7845763,37.67297584
-122.7865288,37.67321903
-122.7882345,37.67343884
-122.789904,37.67366047
-122.7915841,37.67388966
-122.7932631,37.67412458
-122.7952206,37.67440548
-122.7968974,37.67465175
-122.7985848,37.67490452
-122.8005271,37.67490452
-122.8005271,37.67520127
-122.8021893,37.67545989
-122.8038854,37.67572804
-122.8055575,37.67599643
-122.8072287,37.6762686
-122.8091774,37.67659082
-122.8111249,37.67691806
-122.8127933,37.67720247
-122.8144261,37.67748431
-122.8160928,37.67777561
-122.8180362,37.67811982
-122.8197011,37.67841857
-122.8213651,37.67872061
-122.8230283,37.67902585
-122.8247021,37.67933635
-122.8263867,37.67965212
-122.8280244,37.67996202
-122.8299726,37.68033418
-122.8316204,37.68065171
-122.833279,37.68097366
-122.8349372,37.68129732
-122.8368827,37.68167905
-122.8385401,37.68200536
-122.8401974,37.68233217
-122.8418546,37.68233217
-122.8418546,37.68265905
-122.843512,37.68298555
-122.8451696,37.68298555
-122.8451696,37.68331125
-122.8468276,37.68363569
-122.8487741,37.68401389
-122.8504104,37.68432888
-122.8520938,37.68464898
-122.8537565,37.68495542
-122.8554211,37.68525361
-122.8573675,37.68558357
-122.8590395,37.68585122
-122.8606798,37.68609901
-122.8623582,37.68633688
-122.8640397,37.6865594
-122.8657241,37.68676653
-122.8676922,37.68676653
-122.8676922,37.68698977
-122.8693815,37.68716627
-122.8710843,37.68733146
-122.8730591,37.68750896
-122.874753,37.68765084
-122.8764478,37.68778468
-122.8784495,37.68793406
-122.8801457,37.68805459
-122.8821016,37.68818807
-122.8837633,37.6882977
-122.8837633,37.6882977
