long,lat
-122.359352,37.61213394
-122.3595072,37.61219851
-122.3597198,37.61228707
-122.3600475,37.61242351
-122.3603976,37.61256922
-122.3608054,37.61273887
-122.3612856,37.61293849
-122.3618137,37.6131579
-122.3625152,37.61344914
-122.3631816,37.61372556
-122.3639124,37.61402839
-122.3646964,37.61435294
-122.3655375,37.6147007
-122.3664346,37.61507113
-122.3675504,37.61553119
-122.3685652,37.61594876
-122.3696097,37.61637777
-122.3707594,37.61684884
-122.3719127,37.61732008
-122.3733411,37.61732008
-122.3733411,37.61789809
-122.3746386,37.61841509
-122.3759454,37.61893363
-122.3773271,37.61948462
-122.3789256,37.62012572
-122.3803737,37.62071
-122.3817755,37.62127883
-122.3832126,37.62186535
-122.384649,37.62245508
-122.3863278,37.62245508
-122.3863278,37.62314875
-122.3877389,37.62373542
-122.3893929,37.62442736
-122.3907904,37.62501543
-122.3921769,37.62560198
-122.3935531,37.62618719
-122.3949136,37.62676747
-122.3962945,37.62676747
-122.3962945,37.62735219
-122.3979116,37.62802432
-122.3992977,37.62858891
-122.400692,37.62914564
-122.4020949,37.62969355
-122.4035081,37.63022935
-122.4049334,37.63075107
-122.4063716,37.63125781
-122.4080768,37.63183133
-122.4095449,37.63230083
-122.4110063,37.63274528
-122.4125229,37.63274528
-122.4125229,37.6331818
-122.4140327,37.63359108
-122.4158111,37.63404168
-122.4173057,37.63404168
-122.4173057,37.6343955
-122.4191239,37.63479634
-122.4206955,37.6351158
-122.4222568,37.6354053
-122.42384,37.63567298
-122.425444,37.63591844
-122.4270344,37.63613713
-122.4289233,37.63636663
-122.4305399,37.63653837
-122.4321622,37.63668921
-122.4337895,37.63682013
-122.4356936,37.63682013
-122.4356936,37.63694883
-122.43733,37.6370394
-122.4392432,37.63712304
-122.440898,37.63717386
-122.4425446,37.63720639
-122.4441937,37.63722217
-122.4461204,37.63722078
-122.4477739,37.63720386
-122.4497053,37.63716723
-122.4513628,37.63712235
-122.4533102,37.63705514
-122.4549483,37.63698708
-122.4566344,37.63690694
-122.4585306,37.63680575
-122.4602439,37.63670544
-122.4619129,37.63660035
-122.4638279,37.63647324
-122.4655019,37.63635898
-122.4672019,37.63624195
-122.4691388,37.6361114
-122.4708345,37.6361114
-122.4708345,37.63600262
-122.4727924,37.63588737
-122.4744853,37.63580037
-122.4764778,37.63571698
-122.4784645,37.63565787
-122.480172,37.63562876
-122.4818832,37.63561946
-122.483597,37.63562976
-122.4853115,37.63565908
-122.4870374,37.63570703
-122.4887973,37.63577404
-122.4907442,37.63586825
-122.4924505,37.63596719
-122.4941534,37.63608038
-122.4958524,37.63620741
-122.4975473,37.63634741
-122.4992497,37.6365008
-122.5009361,37.6365008
-122.5009361,37.63666477
-122.5028984,37.63686985
-122.5045762,37.63705652
-122.5062506,37.63725222
-122.5079218,37.63725222
-122.5079218,37.63745611
-122.509868,37.63745611
-122.509868,37.6377033
-122.5114986,37.63791776
-122.5134384,37.63818084
-122.5150986,37.63841229
-122.5167566,37.63864882
-122.5187115,37.63893398
-122.5203426,37.63917673
-122.5220068,37.6394286
-122.5236583,37.63968249
-122.5255839,37.63998321
-122.5272337,37.63998321
-122.5272337,37.64024469
-122.5288829,37.64050948
-122.5305319,37.64077751
-122.5321807,37.64104868
-122.5340929,37.64136697
-122.5357647,37.64164845
-122.5374139,37.64164845
-122.5374139,37.64192888
-122.5390748,37.64221393
-122.5407132,37.64249754
-122.5426155,37.64282965
-122.5442892,37.64312412
-122.545952,37.64341858
-122.5476039,37.64371281
-122.549532,37.64405811
-122.5511855,37.64435559
-122.5531157,37.64470395
-122.5547713,37.64500343
-122.5563934,37.64529718
-122.5580512,37.64559748
-122.5597102,37.64559748
-122.5597102,37.64589784
-122.5613706,37.64619794
-122.5630323,37.64649752
-122.5649727,37.64684577
-122.5666374,37.64714284
-122.568315,37.6474402
-122.5702604,37.64778206
-122.5717438,37.64804019
-122.573878,37.6484071
-122.5755496,37.6486903
-122.5772109,37.64896762
-122.5788966,37.6492444
-122.5805836,37.64951629
-122.5822718,37.64978284
-122.5842177,37.65008262
-122.5858851,37.6503331
-122.587577,37.65058122
-122.5892582,37.65082178
-122.5909053,37.65105174
-122.5926351,37.65128722
-122.5945762,37.65154437
-122.5962843,37.65176466
-122.5979695,37.65197676
-122.5999363,37.65221801
-122.6016226,37.6524197
-122.6032742,37.65261282
-122.6049614,37.65280575
-122.6066489,37.65299449
-122.6085361,37.65320067
-122.6103065,37.65338951
-122.6119953,37.65356556
-122.6136843,37.65356556
-122.6136843,37.65373772
-122.6156671,37.65393511
-122.6173569,37.65409955
-122.6190471,37.65426075
-122.6207375,37.65441895
-122.6227101,37.65460005
-122.6244011,37.65475265
-122.6261041,37.65490413
-122.6280775,37.65490413
-122.6280775,37.65507753
-122.6297691,37.65522487
-122.6314138,37.65536743
-122.6331525,37.65551787
-122.6348442,37.65566442
-122.6368179,37.65583544
-122.6385214,37.65598301
-122.6402132,37.65612965
-122.642187,37.65630083
-122.6438789,37.65644776
-122.6455707,37.65644776
-122.6455707,37.6565949
-122.6472626,37.65674231
-122.6489075,37.65688588
-122.6506111,37.65703483
-122.652585,37.6572078
-122.6545588,37.6572078
-122.6545588,37.65738174
-122.6562507,37.65753147
-122.657966,37.65768386
-122.6596343,37.65783274
-122.6616432,37.65801325
-122.6633115,37.65816402
-122.6650031,37.65831779
-122.6666948,37.65847245
-122.6683863,37.65862808
-122.6706417,37.65883708
-122.6723332,37.65899499
-122.6743182,37.65918158
-122.6760213,37.6593428
-122.6777009,37.65950285
-122.6793921,37.65966515
-122.681365,37.65985588
-122.683056,37.66002067
-122.6847586,37.66018777
-122.6864493,37.66035492
-122.6884217,37.66035492
-122.6884217,37.66055145
-122.6901122,37.6607212
-122.6920842,37.66092076
-122.6937743,37.66109321
-122.6954643,37.66126701
-122.6972127,37.66144844
-122.69909,37.66164495
-122.7007793,37.66182331
-122.7027498,37.66203321
-122.7044387,37.66221473
