long,lat
-122.3593306,37.61212498
-122.3595736,37.61212498
-122.3595736,37.61222728
-122.3598501,37.61234369
-122.3601977,37.6124899
-122.3606822,37.61269356
-122.3611532,37.61269356
-122.3611532,37.6128914
-122.3616961,37.61311925
-122.3624073,37.61341744
-122.3630874,37.61370227
-122.3638226,37.61400979
-122.3646163,37.61400979
-122.3646163,37.61434134
-122.3654674,37.61469637
-122.3665316,37.61513946
-122.3675105,37.61554619
-122.3685296,37.6159687
-122.3698013,37.61649449
-122.3709413,37.61696427
-122.372132,37.61745329
-122.3733733,37.61795933
-122.3748841,37.61856815
-122.3762246,37.61910938
-122.3776088,37.61967086
-122.3790101,37.62024205
-122.3804099,37.62024205
-122.3804099,37.62081551
-122.3818594,37.62141243
-122.383282,37.62200143
-122.3849598,37.62270012
-122.3863823,37.62329584
-122.3877668,37.62387866
-122.3891717,37.62447294
-122.390827,37.62517691
-122.3921818,37.62575595
-122.3935605,37.62634753
-122.3951679,37.62703965
-122.3965652,37.62764347
-122.3979356,37.62823573
-122.3992816,37.62881369
-122.4007107,37.62942051
-122.4021085,37.63000421
-122.4035153,37.63057894
-122.404933,37.63114224
-122.4063826,37.63169997
-122.4078154,37.63223115
-122.4095158,37.63223115
-122.4095158,37.63283402
-122.4109885,37.63333071
-122.4127246,37.63388557
-122.4142272,37.63434016
-122.415996,37.63484526
-122.417793,37.63484526
-122.417793,37.63532298
-122.4193379,37.63570569
-122.4208948,37.6360658
-122.4224625,37.6360658
-122.4224625,37.63640238
-122.4242615,37.63675483
-122.4258962,37.63704549
-122.4274969,37.6372986
-122.4293433,37.63755552
-122.4309637,37.63775183
-122.4326138,37.6379252
-122.4342246,37.6379252
-122.4342246,37.63807019
-122.4361484,37.63821398
-122.4377812,37.63831243
-122.4394408,37.63839167
-122.4410926,37.63845088
-122.4430235,37.63849676
-122.4449582,37.63851911
-122.4466192,37.63852064
-122.4485597,37.63850309
-122.4502253,37.63847249
-122.4519042,37.63842805
-122.4535734,37.63837052
-122.4552443,37.63830045
-122.4571957,37.63820371
-122.4588701,37.63810891
-122.460546,37.63800365
-122.4622352,37.63788767
-122.4641946,37.637743
-122.465876,37.63761112
-122.4675593,37.63747275
-122.4695263,37.63730687
-122.4712153,37.63716456
-122.4728956,37.63702449
-122.4745676,37.63702449
-122.4745676,37.63688909
-122.4762671,37.63675844
-122.4780064,37.6366348
-122.4796792,37.63652862
-122.4817018,37.63642044
-122.4833953,37.63634943
-122.4851151,37.63629778
-122.4868604,37.63626746
-122.4885697,37.63625823
-122.4905759,37.63627255
-122.4922929,37.63630522
-122.4940066,37.6363559
-122.4960015,37.6364362
-122.4977188,37.63652298
-122.4994202,37.63662408
-122.5013998,37.63675983
-122.5033737,37.63691363
-122.5050613,37.63705907
-122.5067449,37.63721643
-122.5084246,37.63738524
-122.5101121,37.63756636
-122.5120625,37.63778945
-122.5137073,37.6379884
-122.5153953,37.63820201
-122.5166882,37.6383717
-122.5189935,37.63868618
-122.5206511,37.63892096
-122.5222727,37.639157
-122.523928,37.63940383
-122.5258584,37.63969861
-122.5275129,37.63995672
-122.5294431,37.64026379
-122.5310979,37.64053183
-122.5327644,37.64080607
-122.5344429,37.6410865
-122.5360758,37.6413633
-122.5377321,37.64164805
-122.5394118,37.64194088
-122.541322,37.64227889
-122.5429794,37.64257647
-122.5449248,37.64293088
-122.5465827,37.64323728
-122.5482409,37.64354773
-122.5501757,37.64391489
-122.5518345,37.6442338
-122.5534935,37.64455652
-122.5551529,37.64488297
-122.5571008,37.64527071
-122.5587608,37.64560488
-122.5604211,37.6459423
-122.5620817,37.6459423
-122.5620817,37.64628271
-122.5637425,37.64628271
-122.5637425,37.64662596
-122.5654033,37.64697181
-122.5670297,37.6473126
-122.5689675,37.64772096
-122.5706402,37.64807495
