long,lat
-122.3592498,37.61209096
-122.3594108,37.61215883
-122.3596332,37.61225251
-122.359973,37.61239553
-122.3603336,37.61254726
-122.360758,37.61272571
-122.3612455,37.61293059
-122.3618808,37.61319728
-122.3625055,37.6134593
-122.3631815,37.61374254
-122.3639268,37.6140544
-122.3648583,37.61444364
-122.3657232,37.61480449
-122.3666573,37.61519353
-122.3678091,37.6156722
-122.368834,37.61609717
-122.3701127,37.61662589
-122.3712809,37.61710732
-122.3726893,37.61768539
-122.3739329,37.61819181
-122.3754737,37.61881372
-122.3768302,37.61936304
-122.378453,37.62002341
-122.3798699,37.62060285
-122.3815316,37.62128595
-122.3829813,37.62188519
-122.3846706,37.62258728
-122.3861047,37.62318654
-122.3875315,37.62378564
-122.3891656,37.62447536
-122.3905924,37.62508061
-122.3922216,37.62508061
-122.3922216,37.6257751
-122.3938188,37.62645935
-122.3951889,37.62704876
-122.3965677,37.62764384
-122.3979474,37.62824063
-122.3993295,37.62883784
-122.4007148,37.62943455
-122.402104,37.63002956
-122.4037326,37.63071859
-122.4051473,37.63130639
-122.4065627,37.63188126
-122.4082493,37.63254523
-122.4096724,37.63308521
-122.4111298,37.63361691
-122.4128488,37.6342145
-122.4143491,37.63470861
-122.4158542,37.63517788
-122.4173744,37.63562437
-122.4191664,37.63611493
-122.4207179,37.63650803
-122.4228074,37.63699157
-122.424665,37.63737782
-122.4262601,37.63767769
-122.4278657,37.63795068
-122.4294806,37.63819698
-122.4311041,37.63841673
-122.4330078,37.63864019
-122.4346469,37.63880406
-122.4365322,37.63896132
-122.438183,37.63907284
-122.4401144,37.63917387
-122.4417739,37.6392369
-122.4434365,37.6392792
-122.445102,37.63930165
-122.4470481,37.63930425
-122.4487301,37.63928721
-122.4504256,37.63925309
-122.4523556,37.63919488
-122.4540431,37.63912816
-122.4557088,37.63904882
-122.4576792,37.6389389
-122.459348,37.63883318
-122.4610415,37.63871484
-122.4627364,37.63858554
-122.4646901,37.63842354
-122.4663762,37.638273
-122.4680636,37.6381131
-122.4697525,37.63794502
-122.4717368,37.63773919
-122.4734299,37.63755955
-122.4751258,37.63737933
-122.4771091,37.63717617
-122.4788144,37.6370147
-122.4807634,37.63685234
-122.4824807,37.63673445
-122.4845255,37.63663064
-122.4862264,37.63663064
-122.4862264,37.63657832
-122.4882394,37.6365599
-122.4899636,37.63658357
-122.4919722,37.63665209
-122.4936886,37.63674312
-122.4954107,37.6368614
-122.4971146,37.6370029
-122.499118,37.63719791
-122.5007845,37.63738229
-122.5030282,37.63766047
-122.5049827,37.63792895
-122.5068945,37.63821362
-122.5086027,37.63848527
-122.5108099,37.6388586
-122.5127335,37.63920274
-122.5146508,37.63920274
-122.5146508,37.63956162
-122.5162899,37.63988004
-122.5179368,37.64020983
-122.5195695,37.64054585
-122.5214711,37.64094799
-122.5230765,37.6412959
-122.5249965,37.6417214
-122.5266219,37.64208906
-122.5282467,37.6424628
-122.5301084,37.64289761
-122.5317336,37.64328161
-122.5333598,37.6436686
-122.5349875,37.6436686
-122.5349875,37.6440574
-122.5368889,37.64451176
-122.5385439,37.64490607
-122.540156,37.64528844
-122.542078,37.64574119
-122.5437188,37.64612406
-122.5453628,37.64612406
-122.5453628,37.64650333
-122.5472851,37.64694019
-122.5492239,37.6473722
-122.5508685,37.64773096
-122.5525401,37.64808781
-122.5544819,37.64849173
-122.5561507,37.64849173
-122.5561507,37.64882897
-122.5581027,37.6492112
-122.55978,37.6495286
-122.5617415,37.64988659
-122.5634382,37.65018483
-122.5654081,37.65051785
-122.5670997,37.6507924
-122.5693593,37.65114279
-122.5710331,37.65114279
-122.5710331,37.65139041
-122.5730396,37.6516741
-122.5750251,37.65194093
-122.5770008,37.65219336
-122.5789663,37.65243281
-122.5806724,37.65263198
-122.5823792,37.65282341
-122.5843714,37.6530373
-122.5860794,37.65321281
-122.5877998,37.65338254
-122.5900781,37.65359715
-122.591787,37.653751
-122.5937809,37.653751
-122.5937809,37.65392325
-122.5955138,37.65406696
-122.5974841,37.6542239
-122.5994901,37.65437693
-122.6014843,37.65452256
-122.6034786,37.65466188
-122.6051882,37.65477639
-122.6074678,37.65492214
-122.6094627,37.65504326
-122.6111847,37.65514305
-122.6131801,37.65525318
-122.6148906,37.65534294
-122.6166015,37.65542839
-122.6183126,37.65550955
-122.6203092,37.65550955
-122.6203092,37.6555988
-122.6220209,37.65567063
-122.6236972,37.6557368
-122.6256948,37.65581026
-122.6274073,37.65586932
-122.6291438,37.65592666
-122.6311184,37.65598951
-122.6328315,37.65604266
-122.6345567,37.65609548
-122.6365556,37.65615673
-122.6385547,37.65621944
-122.6402683,37.65627576
-122.6422675,37.65634603
-122.6442904,37.65642389
-122.6462656,37.65650826
-122.6479906,37.65659003
-122.6502267,37.65670858
-122.6522717,37.6568307
-122.6539831,37.65694369
-122.6562162,37.65710666
-122.6579731,37.65724768
-122.6602623,37.65744867
-122.6619689,37.65761135
-122.6639581,37.65761135
-122.6639581,37.65781479
-122.665898,37.65802743
-122.6679303,37.65802743
-122.6679303,37.65826509
-122.66963,37.65847528
-122.6715754,37.65872836
-122.6735537,37.65899917
-122.6752474,37.65924139
-122.6775029,37.65957825
-122.6791924,37.65984083
-122.6808802,37.65984083
-122.6808802,37.66011118
-122.6828589,37.66043755
-122.6848238,37.66077083
-122.6865065,37.66106287
-122.6881877,37.6613604
-122.6901476,37.66171395
-122.691826,37.66171395
-122.691826,37.66202222
-122.6935266,37.66233944
-122.6954701,37.66270787
-122.6974237,37.66308431
-122.6990969,37.66341152
-122.7007687,37.66374307
-122.7027176,37.66413555
-122.7046645,37.66453398
-122.7063435,37.66488252
-122.7082872,37.6652915
-122.7099518,37.6652915
-122.7099518,37.66564608
-122.7121698,37.66564608
-122.7121698,37.66612371
-122.7138323,37.66648458
-122.7157714,37.66690704
-122.7173988,37.66726154
-122.7187378,37.66755255
-122.7212785,37.66810084
-122.72322,37.66851481
-122.7248855,37.66886543
-122.7265524,37.66921138
-122.728789,37.66921138
-122.728789,37.66966643
-122.7307386,37.67005332
-122.732412,37.67037705
-122.7340875,37.67069266
-122.7357654,37.67099938
-122.7374458,37.67129681
-122.7394092,37.67163189
-122.7411063,37.67191047
-122.742794,37.67217716
-122.7447658,37.67247556
-122.7464582,37.67272033
-122.7481055,37.6729486
-122.7501319,37.67321602
-122.7518421,37.67321602
-122.7518421,37.67343053
-122.7535421,37.67363388
-122.7555274,37.67385937
-122.7572306,37.67404298
-122.7594797,37.67427237
-122.7617781,37.6744922
-122.7634378,37.67464218
-122.7657271,37.67483779
-122.768006,37.67502069
-122.7700128,37.67517288
-122.7722817,37.67533579
-122.7739928,37.67545272
-122.7760016,37.67558388
-122.7779991,37.67570806
-122.779997,37.67582628
-122.7817098,37.67592298
-122.7837085,37.67603047
-122.7857075,37.67613226
-122.7874331,37.67621552
-122.7891471,37.67629405
-122.7911469,37.67638074
-122.7928613,37.67645097
-122.7948615,37.67652872
-122.7965761,37.6765926
-122.7985765,37.67666489
-122.8003031,37.67672664
-122.8019701,37.67678683
-122.8037323,37.67685226
-122.8054466,37.67691884
-122.8071608,37.67698946
-122.8091603,37.67698946
-122.8091603,37.67707834
-122.8108739,37.67716093
-122.8125751,37.67724961
-122.8142639,37.67734504
-122.8159758,37.67745037
-122.8179719,37.67758606
-122.8196817,37.67771439
-122.8213903,37.67785435
-122.8231094,37.67800735
-122.8250993,37.67819987
-122.8268031,37.67837779
-122.8285052,37.67856729
-122.8302056,37.67876801
-122.8319277,37.67898249
-122.8338835,37.67898249
-122.8338835,37.67923912
-122.8355428,37.67946718
-122.8372827,37.67971598
-122.8389739,37.67996675
-122.8406634,37.68022555
-122.8426324,37.68053699
-122.8443185,37.68081157
-122.8459797,37.68108865
-122.8476979,37.68138161
-122.84966,37.68172349
-122.8513404,37.68202213
-122.8530197,37.68232562
-122.8549773,37.68268551
-122.856654,37.68299877
-122.8582948,37.68330964
-122.8599693,37.68363125
-122.8616428,37.68395696
-122.8633151,37.68428673
-122.8652648,37.68467655
-122.8669347,37.68501504
-122.8688815,37.68541465
-122.8705607,37.68576335
-122.8725052,37.68617113
-122.874171,37.68652334
-122.876114,37.68693613
-122.8777792,37.68729039
-122.8794447,37.68764386
-122.8814001,37.6880562
-122.8830673,37.68840412
-122.885292,37.68840412
-122.885292,37.68886181
-122.8872407,37.68925512
-122.8889129,37.68958602
-122.890866,37.68958602
-122.890866,37.68996371
-122.8925423,37.69027963
-122.8947921,37.69027963
-122.8947921,37.69069114
-122.8967534,37.6910378
-122.8984367,37.6913261
-122.900403,37.6916522
-122.9023718,37.69196729
-122.9040614,37.69196729
-122.9040614,37.69222784
-122.9060233,37.6925184
-122.9076936,37.69275525
-122.909672,37.69302301
-122.911936,37.69331333
-122.9136357,37.69352104
-122.915656,37.69375679
-122.9173349,37.69394389
-122.9196069,37.69418489
-122.9215964,37.69438498
-122.9233027,37.69454896
-122.9250099,37.69470644
-122.9270025,37.69488246
-122.9290079,37.69505163
-122.9307173,37.69518986
-122.9324272,37.69532287
-122.9343753,37.69546821
-122.936419,37.69561383
-122.9381305,37.6957305
-122.9398424,37.6958425
-122.9415666,37.69595063
-122.9432792,37.69605348
-122.9452776,37.69616785
-122.9469908,37.69626115
-122.9486805,37.69634896
-122.950418,37.69643508
-122.9524056,37.69652883
-122.9540959,37.69660518
-122.9560957,37.6966924
-122.9578099,37.6966924
-122.9578099,37.69676564
-122.9595241,37.69683873
-122.9612382,37.6969128
-122.9629759,37.69699007
-122.9649634,37.69708272
-122.9666769,37.69708272
-122.9666769,37.6971675
-122.9683901,37.6972577
-122.9701029,37.69735413
-122.9721005,37.69747573
-122.973812,37.69758926
-122.9755227,37.69771207
-122.9775291,37.69786879
-122.9792376,37.69801329
-122.980945,37.69816792
-122.9829353,37.698361
-122.9846399,37.69853718
-122.9863431,37.69872298
-122.9883402,37.69895297
-122.9900403,37.69915882
-122.9917389,37.69937343
-122.993436,37.69959649
-122.9954141,37.69986695
-122.997108,37.70010709
-122.9987888,37.70035276
-123.0004564,37.70060335
-123.0024277,37.70090783
-123.0041277,37.70117719
-123.005803,37.70144847
-123.0078048,37.70177985
-123.0094541,37.70205856
-123.011149,37.70235016
-123.0128311,37.70264458
-123.014512,37.70294371
-123.0164716,37.70329848
-123.0181732,37.70361178
-123.0198272,37.70392085
-123.0215032,37.70423861
-123.0231897,37.70456295
-123.0248634,37.70488925
-123.0265359,37.70521959
-123.0284975,37.70561187
-123.0301564,37.70594706
-123.032058,37.70633425
-123.0337737,37.70668518
-123.0360109,37.70714295
-123.0376806,37.70748312
-123.039908,37.7079327
-123.0418584,37.70832092
-123.0435316,37.7086488
-123.0452061,37.70897215
-123.046846,37.70928775
-123.0485203,37.70961154
-123.0501934,37.70993955
-123.0521427,37.71033133
-123.05381,37.71067828
-123.0554731,37.71103859
-123.0571308,37.71141492
-123.0590677,37.71188046
-123.0607095,37.71229989
-123.0623421,37.71274216
-123.0639644,37.71320873
-123.0658424,37.71378537
-123.067438,37.7143085
-123.0690305,37.71486306
-123.0705965,37.71544196
-123.0723601,37.71613553
-123.0739325,37.71613553
-123.0739325,37.71679256
-123.0756943,37.71757377
-123.077184,37.71827288
-123.0788973,37.71912229
-123.080354,37.71988401
-123.0817797,37.72066624
-123.0831842,37.72147362
-123.0847949,37.72244666
-123.0861512,37.72330677
-123.0874478,37.7241655
-123.088983,37.72523126
-123.0902647,37.72616392
-123.0917285,37.72727998
-123.0929556,37.72826001
-123.0941728,37.72927528
-123.0955235,37.73045539
-123.0966813,37.73151543
-123.0977876,37.73257313
-123.0988737,37.73365705
-123.1001052,37.7349444
-123.1011302,37.73606656
-123.1021271,37.73720517
-123.1032543,37.73855346
-123.1043489,37.73993056
-123.1052502,37.74111976
-123.1062411,37.74249119
-123.1071024,37.74374383
-123.10791,37.74497579
-123.1088139,37.74642881
-123.1095558,37.7476871
-123.1102725,37.74896537
-123.1109496,37.75023645
-123.1116062,37.75153528
-123.1123291,37.75305201
-123.1129162,37.75436162
-123.1134736,37.75567951
-123.1140866,37.75722678
-123.1145705,37.75853287
-123.1150359,37.75987331
-123.1154724,37.76121993
-123.1159451,37.76121993
-123.1159451,37.7627982
-123.1163197,37.76415663
-123.1167212,37.76574741
-123.1170869,37.76735349
-123.1174126,37.76895524
