long,lat
-122.3591195,37.6120361
-122.3591194,37.61203606
-122.3591196,37.61203613
-122.359124,37.61203802
-122.3591427,37.61204589
-122.3591928,37.61206701
-122.3592662,37.61209794
-122.3593739,37.61214331
-122.3595313,37.6122096
-122.3597789,37.61231384
-122.3600597,37.61243206
-122.3604683,37.61260394
-122.3608755,37.61260394
-122.3608755,37.61277519
-122.3614346,37.6130101
-122.3619798,37.61323898
-122.3625851,37.61349287
-122.3633709,37.61382214
-122.3641038,37.61412886
-122.3648939,37.61445911
-122.3657403,37.61481238
-122.3666419,37.61518813
-122.3677623,37.61565416
-122.3687803,37.61607667
-122.3700415,37.61659877
-122.3711716,37.61706523
-122.3725532,37.61763354
-122.3737917,37.61813844
-122.3750799,37.61865694
-122.3766372,37.6192833
-122.3779811,37.61982666
-122.3796161,37.62049141
-122.3810478,37.62107684
-122.3824699,37.62166155
-122.384144,37.62235411
-122.3855758,37.62295007
-122.3870008,37.62354646
-122.3886618,37.62424576
-122.3900663,37.6248405
-122.3914603,37.62543381
-122.3930734,37.62612405
-122.3944485,37.62671589
-122.3960552,37.62741964
-122.3974233,37.62802317
-122.3990019,37.62872096
-122.4003935,37.62933468
-122.4017702,37.62993786
-122.4031524,37.63053657
-122.4047843,37.63123046
-122.4061754,37.63180769
-122.4075971,37.63238142
-122.4092601,37.63302879
-122.4106899,37.63356301
-122.4121539,37.63408689
-122.4136224,37.63458767
-122.4153437,37.63514187
-122.4168544,37.63559828
-122.4185913,37.63608801
-122.4201222,37.63648852
-122.4216666,37.63686308
-122.4232237,37.63721115
-122.4247927,37.63753229
-122.426373,37.63782646
-122.4282405,37.6381374
-122.4298419,37.63837338
-122.4314515,37.63858297
-122.4330686,37.63876669
-122.4346925,37.63892507
-122.4365944,37.63892507
-122.4365944,37.63907868
-122.4385032,37.6391999
-122.4401554,37.63927953
-122.4418001,37.63933691
-122.4437228,37.63937788
-122.4453281,37.63939175
-122.4470275,37.63938743
-122.4489133,37.6393611
-122.4509052,37.63931028
-122.4528418,37.63923971
-122.4545034,37.63916367
-122.4561433,37.63907556
-122.4578307,37.63897217
-122.459751,37.63883963
-122.4614412,37.63871075
-122.4630748,37.63857595
-122.4647675,37.6384262
-122.4666936,37.63824368
-122.4680405,37.63824368
-122.4680405,37.63810885
-122.469888,37.6379149
-122.4725519,37.63761925
-122.4742411,37.63742632
-122.4759212,37.63742632
-122.4759212,37.63723298
-122.4778851,37.63723298
-122.4778851,37.63700802
-122.4798771,37.63678437
-122.4815448,37.63660332
-122.4835336,37.63639812
-122.4852189,37.63623595
-122.4874955,37.63603754
-122.4894777,37.63588682
-122.4914592,37.63588682
-122.4914592,37.63575782
-122.4931563,37.63566517
-122.4954042,37.63556873
-122.4971196,37.63551681
-122.4988088,37.63548461
-122.5004716,37.63547158
-122.5024582,37.63548061
-122.5044169,37.63551586
-122.5063708,37.63557715
-122.5083198,37.63566439
-122.5099516,37.63575749
-122.5116144,37.63587101
-122.5135614,37.63602755
-122.5152052,37.6361793
-122.5168572,37.63634962
-122.5185063,37.63653684
-122.5204612,37.63678002
-122.522082,37.63699833
-122.5240087,37.63727621
-122.5256373,37.63752555
-122.5272762,37.63778878
-122.5291873,37.63810976
-122.530825,37.63810976
-122.530825,37.63839568
-122.5324738,37.63869277
-122.5341114,37.63899616
-122.5360221,37.63935981
-122.5376602,37.63967921
-122.5395717,37.64006019
-122.5412106,37.64039346
-122.5428613,37.64073497
-122.5447743,37.64113776
-122.5464145,37.64148881
-122.5480324,37.64183996
-122.54997,37.64226641
-122.5518855,37.64269369
-122.5538018,37.64312624
-122.5554106,37.64349285
-122.557351,37.64393851
-122.5592464,37.64437663
-122.560914,37.64476369
-122.5630849,37.64526873
-122.5647308,37.64565177
-122.5663887,37.64603703
-122.5683102,37.64648207
-122.569958,37.64686173
-122.5716064,37.64723912
-122.5735305,37.64767575
-122.5751807,37.64804622
-122.5768319,37.64841258
-122.578771,37.64883653
-122.5804246,37.64919195
-122.5820909,37.64954382
-122.5837356,37.64988436
-122.5853933,37.65022021
-122.5873293,37.65060246
-122.5890019,37.6509236
-122.5909421,37.65128504
-122.5928845,37.65163486
-122.5945513,37.65192537
-122.596498,37.65225343
-122.5981683,37.6525254
-122.6001191,37.65283207
-122.6017579,37.65283207
-122.6017579,37.65308074
-122.6039917,37.65340693
-122.6056688,37.65364237
-122.607907,37.65364237
-122.607907,37.65394443
-122.6095872,37.65416241
-122.6115723,37.65441104
-122.6138045,37.65467894
-122.6154889,37.65487282
-122.6177363,37.65512096
-122.6194233,37.65529846
-122.6211232,37.65546921
-122.6230825,37.65565528
-122.6250667,37.65583356
-122.6267585,37.65597864
-122.6287331,37.65614117
-122.6307086,37.65629759
-122.6324026,37.65642759
-122.6343912,37.65657623
-122.6363685,37.65672063
-122.6380402,37.65684086
-122.6397593,37.65696337
-122.641455,37.65708373
-122.6434334,37.65722437
-122.6456944,37.65738658
-122.6473548,37.65750752
-122.6490504,37.65763328
-122.6510283,37.65778368
-122.6530057,37.65793897
-122.6544178,37.65793897
-122.6544178,37.65805344
-122.6563943,37.65821888
-122.6580878,37.65836578
-122.6598042,37.65851978
-122.6614848,37.65867583
-122.6634583,37.6588662
-122.6651489,37.65903578
-122.6668387,37.65903578
-122.6668387,37.65921141
-122.668809,37.65942406
-122.6705085,37.65961432
-122.6724763,37.65984246
-122.6741619,37.66004444
-122.6758465,37.66025217
-122.6778105,37.6605015
-122.6794928,37.66072092
-122.6814543,37.66098327
-122.6831461,37.66121497
-122.6848253,37.66121497
-122.6848253,37.66144972
-122.6867831,37.66172924
-122.6887396,37.66201468
-122.6906948,37.6623059
-122.6923697,37.66256003
-122.6942878,37.6628563
-122.6962394,37.66316348
-122.6981897,37.66347623
-122.6998604,37.66347623
-122.6998604,37.66374873
-122.7015417,37.66402725
-122.7034769,37.66435317
-122.7051677,37.66464234
-122.7068229,37.66492912
-122.7084889,37.66522107
-122.7104318,37.66556494
-122.712374,37.66591139
-122.7140385,37.66620966
-122.7157028,37.66650851
-122.7176677,37.66686121
-122.7195982,37.66720666
-122.7212631,37.66750355
-122.7229284,37.66779935
-122.7248253,37.66813466
-122.7268154,37.66848419
-122.7284936,37.6687769
-122.7301607,37.66906558
-122.7318285,37.66935207
-122.7337517,37.66967933
-122.735444,37.66996425
-122.7373689,37.67028459
-122.7390628,37.67056292
-122.740978,37.67087334
-122.7426504,37.67114043
-122.7446025,37.67144728
-122.7462768,37.671706
