long,lat
-122.3591251,37.61203838
-122.3591265,37.61203899
-122.3591374,37.6120436
-122.3591675,37.61205628
-122.3592364,37.61208524
-122.3593316,37.61212489
-122.3595127,37.61212489
-122.3595127,37.61219927
-122.3597277,37.61228657
-122.3600593,37.61242004
-122.3604089,37.61255873
-122.3608289,37.61272265
-122.3613111,37.61290784
-122.3619555,37.61315042
-122.3625594,37.61337307
-122.3632638,37.61362688
-122.3641465,37.61393263
-122.3649743,37.61420479
-122.365872,37.61447315
-122.3669941,37.6147683
-122.3680342,37.61499932
-122.3693405,37.61523908
-122.370552,37.61542496
-122.3719856,37.61560715
-122.3733005,37.61574057
-122.3746795,37.6158664
-122.3746795,37.6158664
