long,lat
-122.3591141,37.61203381
-122.359114,37.61203377
-122.3591144,37.61203396
-122.3591208,37.61203664
-122.3591431,37.61203664
-122.3591431,37.61204604
-122.3591988,37.61206949
-122.3592802,37.61210372
-122.3593979,37.61210372
-122.3593979,37.61215321
-122.3595614,37.61222199
-122.3597924,37.61231918
-122.3600782,37.61243933
-122.3604894,37.61261215
-122.3608964,37.61278311
-122.3613935,37.61299175
-122.3620322,37.61325958
-122.3626268,37.61350873
-122.3634339,37.61350873
-122.3634339,37.61384651
-122.3641734,37.61415562
-122.36497,37.6144882
-122.3659765,37.61490775
-122.366894,37.6152895
-122.3678516,37.61568725
-122.3688899,37.61611766
-122.3701508,37.616639
-122.3712787,37.61710399
-122.3724728,37.61759443
-122.3738946,37.61817067
-122.3752161,37.61869897
-122.3765255,37.61922259
-122.3778976,37.61977399
-122.3794544,37.6204032
-122.3809654,37.62101752
-122.3823882,37.62159943
-122.3840727,37.62229281
-122.3855045,37.62229281
-122.3855045,37.6228859
-122.3868894,37.62346289
-122.3885785,37.62417091
-122.3899813,37.62476246
-122.3913732,37.62535258
-122.392764,37.62594522
-122.3941184,37.62652559
-122.395504,37.62713018
-122.396863,37.62773903
-122.3984397,37.62846725
-122.3997787,37.62909764
-122.4011349,37.62974472
-122.4024552,37.63037613
-122.4040733,37.63114204
-122.4054005,37.63114204
-122.4054005,37.63175727
-122.406817,37.63239487
-122.4084458,37.63239487
-122.4084458,37.63309675
-122.4101,37.63376892
-122.4115399,37.63431664
-122.4129907,37.63483075
-122.414452,37.63530885
-122.4162069,37.63582935
-122.4177325,37.63623424
-122.4195356,37.63665613
-122.4211211,37.63697709
-122.4229534,37.63729071
-122.4245472,37.63751436
-122.426152,37.63769403
-122.4277656,37.63782922
-122.4296569,37.63793051
-122.4312834,37.6379698
-122.4331848,37.63796261
-122.4348273,37.63791318
-122.4367304,37.63781031
-122.438361,37.63781031
-122.438361,37.63768803
-122.4399902,37.63753753
-122.4418894,37.63733172
-122.4435055,37.63713788
-122.4454264,37.63689095
-122.4470316,37.63667508
-122.4486833,37.63644799
-122.4503147,37.63622275
-122.4522226,37.63596597
-122.453863,37.63575705
-122.4554637,37.63556931
-122.4574044,37.63536942
-122.459089,37.63522552
-122.4607342,37.63511538
-122.462409,37.63503721
-122.4643814,37.63499234
-122.466055,37.63499638
-122.4680376,37.63505077
-122.4697311,37.63513079
-122.4714266,37.63523778
-122.4731233,37.63536794
-122.475104,37.63536794
-122.475104,37.63554474
-122.4768025,37.63571473
-122.4785018,37.63590008
-122.4804493,37.63613056
-122.4821961,37.6363529
-122.4838947,37.63658191
-122.4858738,37.63686318
-122.4875668,37.63711496
-122.4895367,37.63741961
-122.4912322,37.63768964
-122.4929113,37.63796259
-122.4945857,37.63823884
-122.4962553,37.6385172
-122.4978396,37.63878305
-122.4998579,37.63912291
-122.5017901,37.63944811
-122.5034199,37.63972121
-122.5050587,37.63999368
-122.5069812,37.6403093
-122.5086272,37.64057487
-122.5105458,37.64087756
-122.5121894,37.6411298
-122.5138329,37.64137443
-122.5154994,37.64161381
-122.5174066,37.6418759
-122.5190754,37.64209406
-122.5209291,37.64232349
-122.5226251,37.64252096
-122.5242778,37.64270168
-122.5262211,37.64289903
-122.5278801,37.64305451
-122.5298196,37.64322109
-122.5314854,37.64335124
-122.5334327,37.64348846
-122.5351052,37.6435938
-122.5367339,37.64368559
-122.53875,37.64378497
-122.5404076,37.64385574
-122.5421142,37.64391919
-122.5437997,37.64397324
-122.5457688,37.64402655
-122.5474587,37.64406462
-122.5491153,37.64409565
-122.5510915,37.6441252
-122.5527872,37.64414452
-122.5547676,37.6441605
-122.5564667,37.64416884
-122.5587341,37.64417259
-122.5604476,37.64417004
-122.562434,37.64416143
-122.5641373,37.64416143
-122.5641373,37.64414931
-122.565841,37.64413286
-122.567829,37.64410826
-122.5695329,37.64408254
-122.5715326,37.64408254
-122.5715326,37.64404692
-122.57352,37.64400574
-122.5751995,37.64396701
-122.5769258,37.64392395
-122.578628,37.64392395
-122.578628,37.64387871
-122.5806132,37.64382315
-122.5823142,37.64377377
-122.5839674,37.64377377
-122.5839674,37.64372474
-122.5857263,37.64367207
-122.5874256,37.64362134
-122.5894075,37.64356322
-122.5911058,37.64351504
-122.5928037,37.64346905
-122.5947843,37.64341904
-122.5964463,37.64338081
-122.5984263,37.64334063
-122.6001234,37.64334063
-122.6001234,37.64331159
-122.6018205,37.64328825
-122.6038004,37.64326914
-122.6057804,37.64325981
-122.6077723,37.6432614
-122.6097525,37.64327495
-122.6117327,37.64330136
-122.61343,37.64333481
-122.6151508,37.64337935
-122.6168241,37.64343323
-122.6185208,37.64349874
-122.6205114,37.64358981
-122.622207,37.64367961
-122.623902,37.64378071
-122.6258784,37.64391297
-122.6275716,37.64403861
-122.6292637,37.64417534
-122.6312484,37.64434857
-122.6329385,37.64450645
-122.6346276,37.64467348
-122.6365969,37.64487908
-122.6382838,37.64506381
-122.6402507,37.64528821
-122.6419357,37.64548737
-122.6435848,37.64568784
-122.6455606,37.64568784
-122.6455606,37.64593447
-122.6472317,37.64614802
-122.6492176,37.64640678
-122.6511562,37.64666309
-122.6528377,37.64688712
-122.6548112,37.64715072
-122.6564927,37.64737512
-122.6581977,37.64760271
-122.659856,37.64782415
-122.661818,37.64808623
-122.6634998,37.64831083
-122.6651817,37.64853487
-122.6671325,37.64879341
-122.6688383,37.64901775
-122.6707549,37.64926723
-122.6724849,37.64948954
-122.6744027,37.6497321
-122.676134,37.64994697
-122.6778192,37.65015183
-122.6797978,37.65038624
-122.6814846,37.65058025
-122.6831723,37.65076841
-122.6851423,37.65097985
-122.6868318,37.65097985
-122.6868318,37.65115353
-122.6884753,37.6513152
-122.6904603,37.65150031
-122.6921761,37.65165094
-122.6938457,37.65178889
-122.6955397,37.65192001
-122.6972343,37.6520422
-122.6992122,37.65217358
-122.7012144,37.65229461
-122.7028991,37.65229461
-122.7028991,37.65238754
-122.704596,37.65247335
-122.7065762,37.65256433
-122.7082737,37.65263513
-122.7102544,37.65263513
-122.7102544,37.65271012
-122.7119523,37.65276848
-122.7136621,37.65282223
-122.7156433,37.65287878
-122.7173415,37.65292276
-122.7190517,37.65296314
-122.7210213,37.65300508
-122.7226962,37.65303707
-122.7244183,37.65306669
-122.7264117,37.65309735
-122.7281102,37.65312093
-122.7300683,37.65314629
-122.7317905,37.6531678
-122.7334891,37.6531891
-122.7354708,37.65321507
-122.7371341,37.65323862
-122.7391159,37.65326984
-122.7408146,37.65330021
-122.7427964,37.65330021
-122.7427964,37.65334092
-122.7447781,37.65338848
-122.7465002,37.65343634
-122.748175,37.65348954
-122.7501916,37.65356292
-122.751866,37.65363119
-122.7535637,37.6537072
-122.7552611,37.6537072
-122.7552611,37.65378993
-122.7572409,37.65389495
-122.7589375,37.65399293
-122.7606453,37.65409939
-122.7623406,37.65421314
-122.7640354,37.65433517
