long,lat
-122.3591212,37.61203678
-122.3591211,37.61203674
-122.3591225,37.61203732
-122.3591335,37.61204199
-122.3591701,37.6120574
-122.3592314,37.61208322
-122.3593324,37.61212578
-122.3595147,37.61220254
-122.3597334,37.6122946
-122.3600656,37.61243438
-122.3604229,37.61258468
-122.3609133,37.61279079
-122.3613971,37.61299398
-122.3619413,37.61322236
-122.3625541,37.61347931
-122.3633398,37.61380842
-122.3640612,37.6141102
-122.3648781,37.61445156
-122.3657065,37.61479724
-122.3667905,37.61524883
-122.3677707,37.6156565
-122.3687914,37.61608024
-122.3698803,37.61653139
-122.3711842,37.61707034
-122.3723776,37.61756229
-122.3736226,37.61807247
-122.3751416,37.61868601
-122.3765294,37.61923635
-122.3779292,37.61978489
-122.37932,37.62033075
-122.3811092,37.62103684
-122.3826285,37.62164001
-122.3844238,37.62235704
-122.3859722,37.62297942
-122.3877798,37.62371069
-122.3893241,37.62433942
-122.3908702,37.62497255
-122.3923949,37.62560043
-122.3939078,37.62622687
-122.3953878,37.62684293
-122.3968981,37.6274747
-122.3983815,37.62809796
-122.400108,37.62882669
-122.4015958,37.62945613
-122.4030736,37.63007978
-122.4048009,37.63080301
-122.4062892,37.63141289
-122.4080394,37.63210728
-122.4095439,37.63267958
-122.4110535,37.63322722
-122.4126017,37.63375833
-122.4144315,37.63434308
-122.4160428,37.6348176
-122.4176288,37.6348176
-122.4176288,37.63524668
-122.4192556,37.63564726
-122.4209232,37.63601626
-122.4228519,37.63639067
-122.4245317,37.63667138
-122.4262255,37.63691202
-122.4279317,37.63711179
-122.4296486,37.63727
-122.4316632,37.63740177
-122.4333979,37.6374703
-122.4351623,37.63749953
-122.4371856,37.63748634
-122.4388851,37.6374413
-122.4406839,37.63736395
-122.4424353,37.63726214
-122.4444796,37.63711339
-122.4462444,37.63696135
-122.447997,37.63679051
-122.4500415,37.63656847
-122.4517936,37.63636048
-122.4535334,37.63613989
-122.4555896,37.63586477
-122.4573427,37.63562285
-122.4590611,37.63538525
-122.4611127,37.63510832
-122.4628761,37.63488271
-122.4646452,37.63467343
-122.4667174,37.63445634
-122.4685012,37.63429832
-122.4706035,37.63429832
-122.4706035,37.63415138
-122.4724277,37.63405741
-122.4742081,37.63405741
-122.4742081,37.63399112
