long,lat
-122.3591166,37.6120348
-122.3591213,37.61203678
-122.3591252,37.61203843
-122.3591345,37.61203843
-122.3591345,37.61204235
-122.35916,37.61205311
-122.3592202,37.61207846
-122.3593046,37.61211402
-122.3594289,37.61216634
-122.3596054,37.61224067
-122.3598369,37.61233808
-122.3601288,37.61246087
-122.3604879,37.61261189
-122.360984,37.61282035
-122.3614773,37.61302745
-122.3620367,37.61326216
-122.3627626,37.61356644
-122.3634504,37.61385441
-122.364328,37.61422141
-122.3651319,37.61455716
-122.3660168,37.61492624
-122.36694,37.61531069
-122.3679111,37.61571443
-122.3691288,37.61621966
-122.3702385,37.6166791
-122.3713854,37.61715278
-122.3727982,37.61773447
-122.3740659,37.61825151
-122.3756218,37.6188749
-122.3770039,37.6188749
-122.3770039,37.61941949
-122.3786753,37.62007468
-122.3801598,37.62065971
-122.3816548,37.62125189
-122.3834397,37.62196313
-122.3849416,37.62256523
-122.386546,37.62321218
-122.388096,37.62384091
-122.3896408,37.62447112
-122.3913901,37.62518911
-122.3929579,37.62583639
-122.3944722,37.62646479
-122.3962332,37.62720268
-122.3976833,37.62781541
-122.3992139,37.62846227
-122.4009509,37.62919294
-122.4024443,37.6298097
-122.4041966,37.63051306
-122.4057106,37.63109792
-122.4074624,37.63174266
-122.4090299,37.63228679
-122.4105714,37.63278919
-122.4124178,37.63334587
-122.4140203,37.63378792
-122.4156634,37.63420097
-122.4175648,37.63462799
-122.4192221,37.63495623
-122.4208947,37.63495623
-122.4208947,37.63524715
-122.4225811,37.63550128
-122.4245637,37.63575265
-122.4262741,37.63575265
-122.4262741,37.63593181
-122.4279933,37.63607895
-122.4300329,37.63621593
-122.4317555,37.63630429
-122.4334953,37.63637105
-122.435531,37.63642375
-122.4372804,37.63644968
-122.4390458,37.63645969
-122.4407903,37.63645618
-122.4425625,37.63644202
-122.4446196,37.63641604
-122.4460913,37.63639352
-122.4481059,37.636357
-122.4499271,37.636357
-122.4499271,37.63631962
-122.4517019,37.63627993
-122.4537389,37.63623125
-122.4558289,37.63617877
-122.4573028,37.63614079
-122.4593869,37.63608658
-122.4611763,37.63608658
-122.4611763,37.63604031
-122.4629685,37.63599501
-122.4650631,37.63594405
-122.4668742,37.63590113
-122.4690014,37.63585353
-122.4707816,37.63581958
-122.4725902,37.63579289
-122.4744274,37.63577609
-122.4762177,37.6357717
-122.4780365,37.63578116
-122.4801752,37.63581258
-122.4820009,37.63585788
-122.483842,37.63592178
-122.4859655,37.63601898
-122.4877985,37.63612361
-122.4896325,37.63624775
-122.4917843,37.63641828
-122.4939208,37.63661374
-122.4957487,37.63680108
-122.498179,37.63707792
-122.5005999,37.63738383
-122.5024086,37.63763099
-122.5047731,37.63763099
-122.5047731,37.63797677
-122.5065668,37.63825537
-122.5086509,37.63859561
-122.510726,37.63859561
-122.510726,37.63895087
-122.5124977,37.63895087
-122.5124977,37.63926629
-122.5142629,37.63959065
-122.5163265,37.63998154
-122.5183698,37.64037979
-122.5201275,37.64073048
-122.5218564,37.64108213
-122.5238826,37.64150214
-122.5256158,37.64186779
-122.5279227,37.64236307
-122.5296627,37.64274284
-122.5313894,37.64312478
-122.5334029,37.64357636
-122.5351286,37.64396856
-122.5368664,37.64436824
-122.5385807,37.64476709
-122.5403078,37.64517345
-122.542336,37.6456564
-122.5440656,37.64607304
-122.5457965,37.64649433
-122.547529,37.6469202
-122.5498415,37.64749479
-122.5518675,37.64800343
-122.5538596,37.64850784
-122.5558903,37.64902562
-122.5579237,37.64954662
-122.55996,37.65006977
-122.56172,37.6505222
-122.5637502,37.6505222
-122.5637502,37.65104334
-122.5655157,37.65149505
-122.5675646,37.6520165
-122.5693237,37.65246096
-122.5710853,37.65290231
-122.5731684,37.65341831
-122.574911,37.65384427
-122.5769882,37.65434415
-122.5790565,37.65483233
-122.581128,37.65531071
-122.5832028,37.65577835
-122.5852808,37.6562345
-122.5873617,37.6562345
-122.5873617,37.65667859
-122.5891104,37.65704164
-122.590948,37.65741295
-122.5927379,37.6577645
-122.5942306,37.65805074
-122.5966208,37.65849697
-122.5990003,37.65892792
-122.6008078,37.65924617
-122.6031655,37.6596491
-122.6049631,37.6599469
-122.6070617,37.66028425
-122.6088617,37.66056492
-122.6106877,37.66056492
-122.6106877,37.66084171
-122.6127651,37.6611474
-122.6145932,37.66140882
-122.6163845,37.66165864
-122.6184898,37.66194483
-122.620295,37.66218429
-122.6221007,37.66241869
-122.623932,37.66265146
-122.6260149,37.66291045
-122.6278346,37.66291045
-122.6278346,37.66313222
-122.6296422,37.66334888
-122.6317513,37.66359843
-122.6334336,37.66379581
-122.6356682,37.66405676
-122.637476,37.66426647
-122.6395978,37.66451093
-122.6416821,37.66474932
-122.6435154,37.66495756
-122.6455746,37.66519146
-122.647734,37.66543802
-122.6495415,37.66564631
-122.6516497,37.66589233
-122.6534187,37.66610192
-122.6552247,37.66631954
-122.6573308,37.66657873
-122.6591352,37.666806
-122.6612392,37.66707778
-122.6630792,37.66732198
-122.6648554,37.66756399
-122.6666555,37.66781592
-122.668754,37.66811855
-122.6705512,37.66838565
-122.672347,37.66865999
-122.6744402,37.66898927
-122.6762327,37.66927932
-122.6780362,37.66957853
-122.6801238,37.66993382
-122.6819116,37.67024539
-122.683698,37.67056309
-122.6857929,37.67094322
-122.6878613,37.67132596
-122.689953,37.67171991
-122.6917341,37.67206045
-122.6934895,37.67240038
-122.6952935,37.67275392
-122.6970718,37.67310646
-122.699096,37.67351245
-122.7009218,37.67388285
-122.7026604,37.67423926
-122.7047309,37.67466834
-122.7065047,37.67503989
-122.7082776,37.67541478
-122.7103452,37.67541478
-122.7103452,37.67585596
-122.7121168,37.67623671
-122.7141956,37.67668563
-122.7159668,37.67706904
-122.7180335,37.67751632
-122.7198054,37.67789879
-122.721578,37.67827992
-122.7233511,37.67866013
-122.7251248,37.67903918
-122.7269117,37.6794187
-122.7292918,37.67991961
-122.7310563,37.68028807
-122.7328342,37.68065664
-122.7346135,37.68102098
-122.7366915,37.68143944
-122.7384748,37.68179149
-122.7402727,37.68213892
-122.7420605,37.68247607
-122.7438508,37.68280472
-122.7459427,37.68317649
-122.7477385,37.68348465
-122.7495119,37.68377868
-122.7513002,37.68406476
-122.7531033,37.68434267
-122.7552098,37.68434267
-122.7552098,37.68465429
-122.757319,37.68495287
-122.7591288,37.68519906
-122.7609402,37.68543688
-122.7630552,37.68570478
-122.7648819,37.68592863
-122.7669996,37.68592863
-122.7669996,37.6861805
-122.7688157,37.6861805
-122.7688157,37.68639079
-122.7706324,37.68639079
-122.7706324,37.68659654
-122.7727527,37.68683156
-122.7745706,37.68702916
-122.7764015,37.68722489
-122.7782201,37.68741638
-122.7803422,37.68763675
-122.7821613,37.68763675
-122.7821613,37.6878238
-122.7839805,37.68801002
-122.7857996,37.68819616
-122.7879216,37.68841427
-122.7897528,37.68860422
-122.7918739,37.68882741
-122.7936915,37.68902195
-122.7954834,37.68921634
-122.7973254,37.68941885
-122.7991417,37.68962123
-122.8012601,37.68986072
-122.8030374,37.69006627
-122.8051538,37.69006627
-122.8051538,37.69031811
-122.8069666,37.69054109
-122.8087781,37.69077146
-122.8108897,37.69105058
-122.812999,37.69134174
-122.8148174,37.69160349
-122.8166213,37.69187337
-122.818723,37.6922011
-122.820522,37.6922011
-122.820522,37.69249306
-122.8222687,37.69278654
-122.8244116,37.69315973
-122.826203,37.69348234
-122.8280046,37.69381594
-122.8300893,37.69421252
-122.8321713,37.69461874
-122.833954,37.69461874
-122.833954,37.69497366
-122.8357351,37.69533402
-122.8375148,37.69569913
-122.8393056,37.69607101
-122.8413792,37.69650651
-122.8434514,37.69694642
-122.8452267,37.6973266
-122.8470012,37.6977095
-122.8487749,37.698095
-122.8505481,37.69848211
-122.8525919,37.69892944
-122.8543526,37.69931488
-122.8561258,37.69970229
-122.8578996,37.70008823
-122.859674,37.70047193
-122.8614495,37.70085265
-122.8635346,37.70129461
-122.8653129,37.70166616
-122.8670928,37.70203258
-122.8691711,37.70245413
-122.870954,37.70281013
-122.8727635,37.70316509
-122.8748231,37.70356062
-122.8765745,37.70388918
-122.8784151,37.70388918
-122.8784151,37.70422622
-122.880507,37.70422622
-122.880507,37.70459848
-122.8823024,37.70490834
-122.8843997,37.70525862
-122.8862122,37.70555107
-122.8880017,37.7058305
-122.890119,37.70614968
-122.8919249,37.70641286
-122.8939835,37.70670344
-122.8958429,37.70695661
-122.8976536,37.70695661
-122.8976536,37.70719472
-122.8997678,37.70746264
-122.9015435,37.70768002
-122.903358,37.70789551
-122.9054763,37.7081392
-122.9072928,37.7081392
-122.9072928,37.70834197
-122.9091354,37.70854228
-122.9109282,37.70873283
-122.9130876,37.70895847
-122.9148812,37.70895847
-122.9148812,37.70914383
-122.9167001,37.70933097
-122.918519,37.7095182
-122.9203631,37.70970899
-122.9224595,37.70992815
-122.924303,37.71012376
-122.9261081,37.71031875
-122.9279252,37.71051927
-122.9300443,37.71075955
-122.9318597,37.71097132
-122.9339768,37.71122466
-122.9357905,37.71122466
-122.9357905,37.71144753
-122.9376031,37.71167645
-122.939729,37.71195342
-122.9415391,37.71219706
-122.9433477,37.71244815
-122.9451548,37.71270701
-122.947261,37.71301926
-122.9490644,37.71329584
-122.9508659,37.71358072
-122.9529279,37.71391728
-122.9547254,37.71421968
-122.95682,37.71458234
-122.9586134,37.71490122
-122.960405,37.71522706
-122.962493,37.71561531
-122.9642934,37.71595677
-122.9660799,37.71630116
-122.9678651,37.71665032
-122.9699462,37.71706314
-122.9717288,37.71706314
