long,lat
-122.3590793,37.6120198
-122.3590792,37.6120198
-122.3590792,37.61201975
-122.3590794,37.61201984
-122.3590845,37.61202197
-122.3591095,37.61203252
-122.359156,37.61205212
-122.3592324,37.61208431
-122.3593741,37.61214398
-122.3595504,37.61221823
-122.3598349,37.61233795
-122.3601424,37.61246734
-122.3605121,37.61262277
-122.3610219,37.61283698
-122.3616157,37.61308627
-122.3621907,37.61332748
-122.362826,37.61359372
-122.3635057,37.61359372
-122.3635057,37.61387827
-122.364258,37.61419282
-122.3652086,37.6145898
-122.366085,37.61495526
-122.3670307,37.615349
-122.3681747,37.6158244
-122.3692328,37.61626322
-122.370526,37.61679836
-122.3717076,37.61728603
-122.3730803,37.61785098
-122.3743915,37.61838611
-122.3757399,37.61892708
-122.3771023,37.6194653
-122.3787827,37.62012533
-122.3802151,37.62012533
-122.3802151,37.62069076
-122.3820145,37.62140514
-122.3835454,37.62201661
-122.3853473,37.62201661
-122.3853473,37.62274084
-122.3868963,37.62336743
-122.3887111,37.62410622
-122.3902494,37.62473647
-122.3920308,37.62547082
-122.393545,37.62609877
-122.395296,37.62682911
-122.3967736,37.62744886
-122.3982649,37.62807656
-122.3999598,37.62878903
-122.4014405,37.62940499
-122.4031742,37.63011222
-122.4046695,37.63070441
-122.4061767,37.63127951
-122.4079855,37.63193548
-122.4095054,37.63245425
-122.4110645,37.63295303
-122.4126423,37.63342154
-122.4145068,37.63392676
-122.4161248,37.63432215
-122.4177606,37.63468113
-122.4194133,37.63500257
-122.4213726,37.63533163
-122.4230571,37.63557135
-122.4250374,37.6358054
-122.4267456,37.63596864
-122.4287492,37.63611891
-122.4304744,37.6362162
-122.4322175,37.6362162
-122.4322175,37.6362887
-122.4342434,37.63634419
-122.4359847,37.63637066
-122.4377301,37.63637066
-122.4377301,37.63638407
-122.439479,37.63638778
-122.4415237,37.63638423
-122.4432798,37.63638299
-122.4452961,37.63639091
-122.4470596,37.63640438
-122.4491209,37.63642858
-122.4508909,37.63645718
-122.4526636,37.63649347
-122.4547349,37.636546
-122.4568096,37.63661001
-122.4588998,37.63661001
-122.4588998,37.63668645
-122.4606833,37.63668645
-122.4606833,37.63676141
-122.4627669,37.63686054
-122.4645552,37.63686054
-122.4645552,37.63695463
-122.4663458,37.63705659
-122.4681385,37.63716597
-122.469946,37.63728321
-122.4717434,37.63740627
-122.4735305,37.63753542
-122.4756452,37.63753542
-122.4756452,37.63769972
-122.4777501,37.6378769
-122.4795564,37.63804088
-122.4813142,37.63821153
-122.4834887,37.63843575
-122.485288,37.63863179
-122.4874162,37.63887662
-122.4895332,37.63913408
-122.4913475,37.63936582
-122.4934623,37.63964868
-122.4952345,37.63989609
