long,lat
-122.3591364,37.61204578
-122.3593064,37.61211741
-122.3595757,37.61223075
-122.3598135,37.61233084
-122.3602208,37.61250215
-122.3606516,37.61268319
-122.3612016,37.61268319
-122.3612016,37.61291418
-122.3618547,37.61318829
-122.3625903,37.61349806
-122.3632968,37.61349806
-122.3632968,37.61379539
-122.3641559,37.6141589
-122.3649546,37.61451759
-122.3660005,37.6149508
-122.3669381,37.61527764
-122.367958,37.61559953
-122.3693026,37.61601488
-122.3706527,37.61601488
-122.3706527,37.61643104
-122.3719136,37.61681901
-122.3731898,37.6172149
-122.3749799,37.61776708
-122.3763781,37.61818485
-122.3777881,37.61818485
-122.3777881,37.61859607
-122.379572,37.61911165
-122.3810767,37.61954644
-122.3829699,37.61954644
-122.3829699,37.62009207
-122.3845955,37.62055639
-122.386228,37.62101688
-122.3878709,37.62147209
-122.3895187,37.62191731
-122.3913963,37.62240762
-122.3930662,37.62282655
-122.3949606,37.62328005
-122.39661,37.62365651
-122.3982518,37.62402116
-122.4001278,37.62442489
-122.4017889,37.62477222
-122.4033937,37.62509949
-122.4050558,37.62543039
-122.4069233,37.62579302
-122.4088391,37.62615558
-122.4104749,37.62645798
-122.4123766,37.62645798
-122.4123766,37.62680164
-122.4143183,37.6271442
-122.4161979,37.62746807
-122.4178884,37.6277531
-122.4198273,37.62807296
-122.4214955,37.62834228
-122.423449,37.62865094
-122.4251183,37.62890906
-122.4273454,37.62890906
-122.4273454,37.62924556
-122.4293232,37.62953709
-122.431309,37.62982309
-122.4333025,37.63010368
-122.4350768,37.63010368
-122.4350768,37.63034811
-122.4367731,37.63057728
-122.4387143,37.63083432
-122.4405414,37.63083432
-122.4405414,37.63107164
-122.442277,37.6312935
-122.4443074,37.63154905
-122.4460521,37.63176594
-122.4477522,37.63197435
-122.449797,37.63222164
-122.4516024,37.63243784
-122.4532891,37.63263845
-122.4550399,37.63284574
-122.4568551,37.63284574
-122.4568551,37.63306006
-122.4589563,37.63330813
-122.4607165,37.63351658
-122.4628001,37.63376476
-122.4648502,37.63401117
-122.4666065,37.63422459
-122.4686874,37.63448089
-122.4704859,37.63448089
-122.4704859,37.63470601
-122.4723116,37.6349385
-122.4740897,37.6351693
-122.4761688,37.63544527
-122.4779263,37.63568424
-122.4800226,37.63597658
-122.481884,37.63624314
-122.4836346,37.63650004
-122.4857876,37.63682437
-122.4875794,37.63710137
-122.489699,37.63743732
-122.4918076,37.63778027
-122.4936152,37.63778027
-122.4936152,37.63808103
-122.4953842,37.63838125
-122.4975269,37.63875228
-122.4995775,37.63911461
-122.5013736,37.63911461
-122.5013736,37.63943754
-122.5037986,37.63988144
-122.5058064,37.6402556
-122.5078819,37.64064848
-122.509975,37.64105086
-122.5123674,37.64151815
-122.5141526,37.64187192
-122.5161882,37.64228062
-122.5179501,37.64263893
-122.5199489,37.64263893
-122.5199489,37.64305051
-122.5217245,37.64342068
-122.5233876,37.64377122
-122.5251194,37.64414023
-122.5268601,37.64414023
-122.5268601,37.64451519
-122.5294962,37.64509073
-122.5311955,37.64546663
-122.5329415,37.64585693
-122.5346629,37.64585693
-122.5346629,37.64624575
-122.5366835,37.64624575
-122.5366835,37.64670605
-122.5386813,37.64670605
-122.5386813,37.64716434
-122.5406093,37.64760895
-122.5423836,37.64802054
-122.5444484,37.6485023
-122.5461681,37.64890472
-122.5484458,37.64943812
-122.5504877,37.6499154
-122.5522198,37.65031859
-122.5542844,37.65079605
-122.5562818,37.65125363
-122.5581016,37.6516658
-122.5601594,37.65212536
-122.5621867,37.65257023
-122.5639858,37.65295757
-122.5657651,37.65333299
-122.567549,37.65370116
-122.5695861,37.65411123
-122.5714411,37.65447587
-122.5732248,37.65481892
-122.5750365,37.65481892
-122.5750365,37.65515956
-122.5771012,37.65553818
-122.5788931,37.65553818
