long,lat
-122.3590722,37.61202975
-122.359235,37.61209828
-122.3594553,37.61219102
-122.3597893,37.61233158
-122.3601458,37.61248151
-122.3606382,37.61248151
-122.3606382,37.61268843
-122.3611276,37.61289396
-122.3616746,37.61289396
-122.3616746,37.61312346
-122.3623983,37.61342698
-122.36308,37.61371285
-122.3638209,37.61402315
-122.3647415,37.61440811
-122.3656065,37.61440811
-122.3656065,37.61476919
-122.3666871,37.6152193
-122.3676875,37.61563505
-122.3689081,37.61614092
-122.3699967,37.61659078
-122.3711778,37.61707734
-122.3725937,37.61765856
-122.3738459,37.61816782
-122.3751782,37.61816782
-122.3751782,37.61870075
-122.376544,37.6192384
-122.3779773,37.61979832
-122.3796782,37.62046592
-122.3811904,37.62106279
-122.3827163,37.62166841
-122.3845153,37.62238687
-122.3860748,37.62238687
-122.3860748,37.6230137
-122.3876122,37.62363531
-122.3894113,37.62436734
-122.3909551,37.62499935
-122.3927308,37.62573068
-122.3942403,37.62635605
-122.3959869,37.62708373
-122.3974771,37.62770668
-122.3989648,37.62832847
-122.4004513,37.62894843
-122.4021549,37.6296556
-122.4036436,37.63026911
-122.4051572,37.63088518
-122.406889,37.63157068
-122.4084149,37.63215209
-122.4099341,37.63270577
-122.4117504,37.63333027
-122.4133172,37.63383327
-122.4149025,37.63430649
-122.4165064,37.6347475
-122.4184007,37.6352186
-122.4200665,37.63558805
-122.421703,37.63591062
-122.4233896,37.63620219
-122.4250785,37.63645419
-122.427064,37.63670213
-122.4287771,37.63687707
-122.4307864,37.63704002
-122.4324927,37.63714644
-122.4342531,37.63722982
-122.4362731,37.63729615
-122.4380438,37.63733139
-122.439794,37.63734757
-122.4415476,37.63734715
-122.4435974,37.63732812
-122.4453573,37.63729838
-122.4471199,37.63725901
-122.4491429,37.6372081
-122.4509113,37.63716179
-122.4529779,37.63710488
-122.4547522,37.63705462
-122.4565294,37.63700362
-122.4586062,37.63694408
-122.4604018,37.63689342
-122.4621879,37.63684451
-122.4642753,37.6367902
-122.4660678,37.6367902
-122.4660678,37.63674685
-122.4678884,37.63670679
-122.4699623,37.63666644
-122.4717146,37.63663632
-122.4735828,37.63660861
-122.4753916,37.63658975
-122.4775063,37.63658048
-122.4793225,37.63658588
-122.4814456,37.63661009
