long,lat
-122.3590983,37.61202752
-122.3590982,37.61202747
-122.3590981,37.61202743
-122.359098,37.6120274
-122.3590994,37.61202798
-122.3591101,37.61203248
-122.3591547,37.61205127
-122.3592182,37.61207805
-122.3593086,37.61211613
-122.3594543,37.61217751
-122.3596126,37.61224421
-122.3598379,37.6123391
-122.3600793,37.61244072
-122.3603617,37.61255953
-122.3607036,37.61270331
-122.3611046,37.61287187
-122.361649,37.6131005
-122.3622761,37.61336364
-122.3629675,37.61365347
-122.3636579,37.61394257
-122.3643946,37.61425073
-122.3651846,37.61458073
-122.3661785,37.61458073
-122.3661785,37.61499528
-122.3670914,37.61537537
-122.3682265,37.61584697
-122.3692511,37.61584697
-122.3692511,37.61627165
-122.3703518,37.61672671
-122.3714742,37.6171895
-122.372681,37.61768546
-122.3739226,37.61819397
-122.3754348,37.61881057
-122.3767847,37.61935794
-122.3781848,37.61991891
-122.3798445,37.61991891
-122.3798445,37.62058176
-122.3815839,37.62127972
-122.3831051,37.62189312
-122.3846446,37.62251683
-122.3861924,37.62314705
-122.3879971,37.62388593
-122.3895356,37.62451938
-122.391073,37.6251555
-122.3925857,37.62578449
-122.3943317,37.6265142
-122.3958122,37.62713599
-122.3975236,37.62785794
-122.3989796,37.62847481
-122.4004383,37.6290951
-122.4018819,37.6297112
-122.4035662,37.63043124
-122.4047728,37.63094652
-122.4064833,37.63166894
-122.4079463,37.63166894
-122.4079463,37.63227298
-122.4094379,37.63287107
-122.411217,37.63355449
-122.4127387,37.63410765
-122.4143312,37.63465008
-122.4162002,37.63523314
-122.4178335,37.63569109
-122.4194946,37.63610494
-122.4214295,37.63652033
-122.4234303,37.63687596
-122.4251662,37.63712588
-122.4272108,37.63735401
-122.4293083,37.63751825
-122.4313435,37.63761561
-122.4331632,37.63765665
-122.434925,37.63766001
-122.437038,37.63762411
-122.4388054,37.63756843
-122.4409105,37.63747918
-122.4426931,37.63738938
-122.4447887,37.63727244
-122.4465989,37.63716464
-122.4483982,37.63716464
-122.4483982,37.63705415
-122.4504998,37.63692526
-122.4523034,37.63682089
-122.4540967,37.63682089
-122.4540967,37.63672924
-122.456219,37.63664448
-122.458018,37.63659421
-122.4601599,37.63655938
-122.4619638,37.63655938
-122.4619638,37.63655206
-122.463794,37.63656506
-122.4658902,37.63660407
-122.4677343,37.63665817
-122.4695536,37.63672822
-122.4713354,37.63672822
-122.4713354,37.63681065
-122.4734594,37.63692404
-122.4752811,37.63703225
-122.4771039,37.63715179
-122.4792577,37.6373088
-122.4810585,37.63745401
-122.483191,37.63764345
-122.4850333,37.63782324
-122.4871695,37.63805134
-122.4890018,37.63826424
-122.4908351,37.63849339
-122.4926692,37.6387388
-122.4945293,37.63900386
-122.4966568,37.63932638
-122.4985027,37.63932638
-122.4985027,37.63962222
-122.5006253,37.63997973
-122.5024517,37.64030104
-122.5042739,37.64063314
-122.5060916,37.64063314
-122.5060916,37.64097476
-122.508206,37.64138374
-122.5100257,37.64174418
-122.5118279,37.64210773
-122.5139246,37.64253771
-122.5160155,37.64297285
-122.5178034,37.6433492
-122.5195877,37.64372818
-122.5216276,37.64416522
-122.5236995,37.64461293
-122.5254712,37.64499874
-122.5272393,37.64538635
-122.5293225,37.64584628
-122.5310594,37.64623239
-122.5328184,37.64662553
-122.5345874,37.64702283
-122.5363426,37.64741849
-122.5384132,37.64788651
-122.5401419,37.64788651
-122.5401419,37.64827778
-122.5422115,37.64874569
-122.5439406,37.64913545
-122.546012,37.64959984
-122.547756,37.64998787
-122.5498195,37.6504424
-122.551568,37.65082306
-122.5530369,37.65082306
-122.5530369,37.65114001
-122.5550964,37.65157994
-122.5568646,37.65157994
-122.5568646,37.65195355
-122.558648,37.65232579
-122.5606941,37.65274606
-122.5624977,37.65274606
-122.5624977,37.65310965
-122.5642807,37.65346195
-122.5666643,37.65392241
-122.5684567,37.65426088
-122.5702032,37.65458432
-122.5723166,37.65496679
-122.5741476,37.65528764
-122.5759329,37.65528764
-122.5759329,37.65559223
-122.5780505,37.65594308
-122.5801751,37.65594308
-122.5801751,37.65627789
-122.5823069,37.6565936
-122.5844586,37.65688992
-122.5862973,37.65712476
-122.5881404,37.65734313
-122.5903083,37.65757861
-122.592146,37.65776112
-122.593999,37.65793085
-122.5958665,37.65793085
-122.5958665,37.65808905
-122.5980317,37.65825889
-122.599888,37.65825889
-122.599888,37.65839559
-122.6017442,37.65852642
-122.6039089,37.65852642
-122.6039089,37.65867476
-122.6060721,37.65882161
-122.6079248,37.65894825
-122.6097889,37.65907706
-122.6116386,37.65920677
-122.6141026,37.6593828
-122.6159488,37.65951716
-122.6177936,37.6596534
-122.6199438,37.6596534
-122.6199438,37.65981721
-122.6217594,37.65996219
-122.6238922,37.65996219
-122.6238922,37.66014234
-122.6257292,37.6603077
-122.6281751,37.66054508
-122.6303116,37.66077071
-122.6321527,37.66098027
-122.6339653,37.6612015
-122.6357999,37.66144118
-122.6376182,37.6616949
-122.6397347,37.66201074
-122.6415444,37.66201074
-122.6415444,37.66229839
-122.6433498,37.66260124
-122.6454508,37.66297293
-122.647272,37.66331098
-122.6490518,37.66331098
-122.6490518,37.66365459
-122.6510883,37.66406243
-122.6529222,37.66444171
-122.6549998,37.66488326
-122.6567778,37.66526942
-122.6585534,37.66566139
-122.6606347,37.66612736
-122.6627016,37.66659553
-122.6644227,37.66698859
-122.6665358,37.6674743
-122.6683041,37.66788276
-122.6700716,37.66829257
-122.6720964,37.66876321
-122.6738633,37.66917411
-122.6759249,37.66917411
-122.6759249,37.66965285
-122.6776923,37.67006185
-122.6797553,37.6705365
-122.6815246,37.67094041
-122.6832952,37.67134087
-122.6853751,37.67180551
-122.687445,37.67226104
-122.689221,37.67264683
-122.6913196,37.6730967
-122.6930744,37.67346777
-122.6948557,37.67383877
-122.6966514,37.67383877
-122.6966514,37.67420624
-122.6987349,37.6746234
-122.7005234,37.67497278
-122.7026133,37.67536984
-122.7044076,37.6757003
-122.7062048,37.67602096
-122.7083176,37.67638423
-122.7101208,37.6766833
-122.7122277,37.67702014
-122.7143384,37.67734065
-122.7161507,37.67760164
-122.7182434,37.67788643
-122.7200868,37.6781229
-122.7221732,37.67837477
-122.7239964,37.67858186
-122.7261259,37.67880959
-122.7279785,37.67899669
-122.7300865,37.67919874
-122.7319164,37.67919874
-122.7319164,37.67936673
-122.734065,37.67955801
-122.7358964,37.67971802
-122.7377282,37.67987708
-122.7398656,37.68006327
-122.7416978,37.68022377
-122.7435301,37.68038555
-122.7456678,37.68057717
-122.7475126,37.68074589
-122.7496626,37.68074589
-122.7496626,37.68094753
-122.7514814,37.68112317
-122.7533123,37.68130565
-122.7554476,37.68152686
-122.7572768,37.68172469
-122.7591177,37.68193253
-122.7609445,37.68214849
-122.7627697,37.68237476
-122.7648716,37.6826493
-122.766718,37.68290346
-122.7685369,37.68316612
