long,lat
-122.3590594,37.61201079
-122.3591846,37.61206351
-122.3593413,37.61206351
-122.3593413,37.61212956
-122.3595644,37.61222351
-122.3597931,37.61231973
-122.3600631,37.61243368
-122.3603793,37.61256742
-122.3608224,37.61275497
-122.3614291,37.61301185
-122.3620495,37.61327422
-122.3626563,37.6135306
-122.3634269,37.61385574
-122.3641561,37.61385574
-122.3641561,37.61416296
-122.3649442,37.61449455
-122.3659371,37.61491155
-122.3668501,37.61529419
-122.3679932,37.6157721
-122.3690271,37.61620317
-122.3701154,37.6166555
-122.3712571,37.61712838
-122.3726555,37.61712838
-122.3726555,37.61770509
-122.3739101,37.61821997
-122.375438,37.61884348
-122.3767732,37.61938436
-122.3781863,37.61995031
-122.3798897,37.62063272
-122.3813882,37.62063272
-122.3813882,37.62123566
-122.38317,37.62195599
-122.3852328,37.62279469
-122.3868183,37.623443
-122.3886048,37.62417736
-122.390146,37.62481412
-122.3919306,37.62555514
-122.393447,37.6261879
-122.3949519,37.6268185
-122.3966942,37.62755176
-122.3984343,37.62755176
-122.3984343,37.62828734
-122.3999198,37.62891778
-122.4013836,37.62954091
-122.4028589,37.63017084
-122.4045846,37.63090865
-122.4063199,37.63164603
-122.4078203,37.63227151
-122.4093469,37.63289115
-122.4108816,37.633492
-122.4126991,37.63416816
-122.4142822,37.63472069
-122.4161599,37.63532702
-122.4180708,37.63588578
-122.4199783,37.63638322
-122.421666,37.63677327
-122.4233731,37.63712106
-122.4251095,37.63742816
-122.4271284,37.63742816
-122.4271284,37.63772822
-122.4289077,37.63794387
-122.4306617,37.63811385
-122.4324382,37.63824895
-122.4342228,37.6383529
-122.4360141,37.63842829
-122.4381112,37.63848642
-122.4399138,37.63851389
-122.4417205,37.63852323
-122.4438453,37.63851371
-122.4456593,37.63849003
-122.4480953,37.63844214
-122.4502075,37.63839378
-122.452336,37.63834814
-122.4541632,37.63831879
-122.4563106,37.63830368
-122.4581422,37.63831349
-122.4602805,37.63835801
-122.4624187,37.63844417
-122.46425,37.638555
-122.4663842,37.63872924
-122.4684666,37.63893647
-122.4706101,37.63918297
-122.4724595,37.63941911
-122.4745597,37.63971014
-122.4764052,37.63998355
-122.4781989,37.64026333
-122.4803451,37.64061436
-122.4824527,37.64097446
-122.4842699,37.64129591
-122.4863902,37.64168248
-122.4882082,37.64202287
-122.490027,37.64237086
-122.4921494,37.64278547
-122.4939684,37.64314669
-122.4964046,37.64363701
-122.4982201,37.64400595
-122.5003351,37.64443822
-122.502145,37.64443822
-122.502145,37.64480896
-122.5045534,37.64530156
-122.506356,37.64566852
-122.5081678,37.64603566
-122.5102635,37.64645439
-122.5123315,37.64685877
-122.5144469,37.64726085
-122.5165355,37.64764423
-122.5186226,37.64801225
-122.5209697,37.64840686
-122.5227579,37.64869328
-122.5245587,37.64869328
-122.5245587,37.64896912
-122.5269566,37.64931678
-122.528722,37.64955866
-122.5311113,37.6498688
-122.5335167,37.65016121
-122.5353267,37.65036936
-122.5377152,37.6506298
-122.5401216,37.65087731
-122.5422321,37.65108327
-122.5446755,37.65108327
-122.5446755,37.65130995
-122.5467845,37.65149624
-122.5486073,37.65165072
-122.5507393,37.65182411
-122.5528897,37.65199142
-122.5547266,37.65212857
-122.5565547,37.65225996
-122.5587202,37.65240921
-122.5605695,37.65253133
-122.5624222,37.65264982
-122.5648978,37.6528036
-122.5670682,37.6528036
-122.5670682,37.65293561
-122.5692422,37.65306661
-122.5713803,37.65319541
-122.5732481,37.65330761
-122.5757537,37.65345754
-122.5776112,37.65356829
-122.5794823,37.6536795
-122.5816652,37.65381137
-122.5835489,37.65392892
-122.5857303,37.65407138
