long,lat
-122.3590892,37.61202446
-122.3592473,37.61209107
-122.3594164,37.61209107
-122.3594164,37.6121623
-122.3596173,37.61224692
-122.3598566,37.6123477
-122.3601905,37.61248821
-122.3605441,37.61248821
-122.3605441,37.61263687
-122.3610255,37.61283924
-122.3615058,37.61304113
-122.3620468,37.61326832
-122.3626482,37.61352062
-122.3633092,37.6137978
-122.3641602,37.61415435
-122.3649485,37.61448417
-122.3657941,37.61483745
-122.3668519,37.61527859
-122.3678256,37.61568384
-122.3688401,37.61610514
-122.3699229,37.61610514
-122.3699229,37.6165537
-122.3712445,37.6170995
-122.3724336,37.61758888
-122.3738855,37.61818401
-122.3751845,37.61871403
-122.376533,37.61926154
-122.3779207,37.61982138
-122.379387,37.62040696
-122.3811271,37.6211028
-122.3826554,37.62171641
-122.3842093,37.62234279
-122.3857793,37.62297837
-122.3873448,37.62361494
-122.3891592,37.6243564
-122.3909837,37.62510592
-122.3925659,37.62575911
-122.394069,37.62638236
-122.395589,37.62701528
-122.3973442,37.62774923
-122.3988346,37.628375
-122.4003258,37.62900323
-122.4018001,37.62962638
-122.4032708,37.62962638
-122.4032708,37.63024993
-122.4049892,37.63098043
-122.4064683,37.63161071
-122.4082254,37.63235872
-122.4097151,37.6329907
-122.4112306,37.63362504
-122.4130234,37.63435683
-122.4145958,37.63497645
-122.4161718,37.63557123
-122.4180696,37.63557123
-122.4180696,37.63624496
-122.4197067,37.63678267
-122.4216792,37.63678267
-122.4216792,37.63737036
-122.4233917,37.63782325
-122.4254241,37.63782325
-122.4254241,37.63828814
-122.4271927,37.63862722
-122.4292815,37.63894978
-122.4310891,37.63916294
-122.4331738,37.63933693
-122.4353056,37.63944112
-122.4371366,37.63947642
-122.4392739,37.63946061
-122.4411054,37.63946061
-122.4411054,37.6394033
-122.4429367,37.63931238
-122.4450735,37.639176
-122.4472232,37.63901525
-122.4490557,37.63886639
-122.450902,37.63871062
-122.4530314,37.6385378
-122.4548962,37.63840257
-122.4570207,37.63827659
-122.4588801,37.63819825
-122.4607298,37.63815615
-122.4628905,37.63815978
-122.4647433,37.63821381
-122.466903,37.63834158
-122.46875,37.63850931
-122.4705907,37.63873173
-122.4724357,37.63901022
-122.4742578,37.63933902
-122.4763718,37.63978168
-122.4781768,37.64019884
-122.4799758,37.64064282
-122.4820705,37.64118327
-122.483866,37.64165674
-122.4859269,37.64220285
-122.4877309,37.64267715
-122.4895541,37.64314898
-122.4916629,37.64368207
-122.4935026,37.64413314
-122.4956319,37.64463727
-122.4975155,37.64506577
-122.4993428,37.64546518
-122.5015393,37.64592356
-122.5036914,37.64634962
-122.5055495,37.64669959
