long,lat
-122.3593799,37.61214577
-122.3595503,37.61221756
-122.3597637,37.61230747
-122.3599813,37.61239912
-122.3602834,37.6125263
-122.3605995,37.61265931
-122.3610375,37.6128435
-122.361548,37.6128435
-122.361548,37.61305805
-122.3621477,37.61330984
-122.3628309,37.61359644
-122.3634872,37.61387146
-122.3642978,37.61421069
-122.365105,37.61454812
-122.36609,37.61495919
-122.3669964,37.61533672
-122.3681249,37.61580583
-122.3691521,37.61623181
-122.3702336,37.61667919
-122.3713767,37.61715065
-122.3729722,37.6178062
-122.374229,37.61832032
-122.3755363,37.61885284
-122.3768938,37.61940241
-122.3785408,37.62006108
-122.3799994,37.62064471
-122.3817138,37.62133376
-122.3832386,37.62194954
-122.3847802,37.62257504
-122.3865872,37.62331218
-122.3881343,37.62394671
-122.3896737,37.62458126
-122.3912126,37.62521874
-122.392728,37.62584943
-122.3942295,37.62584943
-122.3942295,37.62647725
-122.3959634,37.6272057
-122.3974362,37.62782718
-122.3988587,37.62842976
-122.4003549,37.62906586
-122.4020566,37.6297932
-122.4035069,37.63041489
-122.4049631,37.6310358
-122.4066765,37.63175313
-122.4081624,37.63235846
-122.4099213,37.63304842
-122.4116802,37.63370248
-122.4135505,37.63435074
-122.4154158,37.63494177
-122.4170451,37.63540857
-122.4187016,37.63583365
-122.4203835,37.63621346
-122.422327,37.63658844
-122.424067,37.63686822
-122.4261044,37.63713196
-122.4278658,37.63730755
-122.4296504,37.63743956
-122.431419,37.63743956
-122.431419,37.63752818
-122.4332066,37.63757958
-122.4353113,37.63759765
-122.4371091,37.63758449
-122.43921,37.63754286
-122.4410131,37.63748993
-122.4428179,37.63742477
-122.4446242,37.6373499
-122.4464324,37.63726943
-122.4485571,37.63726943
-122.4485571,37.63717431
-122.4503697,37.63709833
-122.4521845,37.63703385
-122.4540014,37.63698675
-122.4558201,37.63696265
-122.4579433,37.63697114
-122.4597633,37.63701563
-122.4615947,37.63709959
-122.4634108,37.63722506
-122.4652226,37.6373947
-122.4673289,37.63764995
-122.4691283,37.63791478
-122.4709231,37.63821347
-122.4727123,37.63854194
-122.4747566,37.63894746
-122.4765374,37.63932129
-122.4789096,37.63984191
-122.4809846,37.63984191
-122.4809846,37.64031371
-122.4833572,37.6408663
-122.4851381,37.64128783
-122.4872305,37.64178884
-122.4893378,37.64178884
-122.4893378,37.64229969
-122.4911008,37.64272879
-122.4934901,37.64330557
-122.4952858,37.64373378
-122.497108,37.64416524
-122.4988933,37.64458415
-122.5006923,37.6449972
-122.5027926,37.64546411
-122.5045938,37.64584953
-122.506408,37.64622275
-122.5081973,37.64657586
-122.5103115,37.64657586
-122.5103115,37.64697426
-122.5121121,37.64729807
-122.5139118,37.64760812
-122.5157103,37.64790574
-122.5178064,37.64823888
-122.5196008,37.64823888
-122.5196008,37.64851366
-122.5213933,37.64877916
-122.5228981,37.64899502
-122.5252342,37.64931905
-122.5270222,37.64955861
-122.5291073,37.64982948
-122.5308943,37.65005486
-122.5329794,37.65031049
-122.5347676,37.65052373
-122.5365943,37.65073615
-122.5386595,37.65096995
-122.5404658,37.65116911
-122.5425495,37.65139286
-122.5443496,37.65139286
-122.5443496,37.65158115
-122.5464539,37.65179588
-122.5482742,37.65197734
-122.5500858,37.65215472
-122.5522043,37.65235868
-122.5540247,37.65253048
-122.5558493,37.65269987
-122.5576778,37.65286774
-122.5595102,37.65303481
-122.5616655,37.65323088
-122.5635057,37.65339882
-122.5653491,37.65356837
-122.5671956,37.65374029
-122.5690447,37.65391536
-122.5712049,37.65412459
-122.5730583,37.65412459
-122.5730583,37.65430908
-122.5748743,37.65449512
-122.577348,37.65475828
-122.579216,37.65496551
-122.5810577,37.65517682
-122.583233,37.65543499
-122.585689,37.65573821
-122.5878593,37.65573821
-122.5878593,37.65601708
-122.5897061,37.65626269
-122.5915503,37.65651578
-122.5943116,37.6569095
-122.5964545,37.6572282
-122.598288,37.65750942
-122.6007407,37.6578972
-122.6028711,37.6582452
-122.6049465,37.65859412
-122.6069297,37.65893637
-122.6098412,37.65945368
-122.6116652,37.65978607
-122.613474,37.66012158
-122.6155812,37.66051941
-122.6173848,37.66086554
-122.6191861,37.66121609
-122.6212849,37.66163032
-122.6236802,37.66211006
-122.6254371,37.66246604
-122.6272671,37.66246604
-122.6272671,37.66283986
-122.6293196,37.66326165
-122.6311097,37.66326165
-122.6311097,37.66363081
-122.6332221,37.66406689
-122.6352837,37.66449344
-122.6376794,37.66499038
-122.6394787,37.66536445
-122.6412525,37.665734
-122.643336,37.666169
-122.6451215,37.66654229
-122.6469072,37.66691457
-122.6486935,37.6672851
-122.6507909,37.66771672
-122.6525793,37.66808099
-122.654369,37.66844142
-122.656459,37.66885637
-122.6588505,37.6693222
-122.6606465,37.66966497
-122.6624446,37.67000136
-122.6642574,37.67000136
-122.6642574,37.67033316
-122.6663608,37.67070837
-122.6681663,37.67102185
-122.6699741,37.67132775
-122.6717842,37.67162628
-122.6738607,37.67195994
-122.6756751,37.67224435
-122.6774913,37.6725224
-122.6793094,37.67279346
-122.6811295,37.67305754
-122.6829514,37.67331462
-122.6850793,37.67360615
-122.6869176,37.67385086
-122.6890496,37.67385086
-122.6890496,37.67412688
-122.6911326,37.67412688
-122.6911326,37.67438911
-122.6930138,37.67462005
-122.6948454,37.67483989
-122.6966781,37.67505518
-122.6985247,37.67526757
-122.7006654,37.67526757
-122.7006654,37.67550836
-122.702514,37.67571236
-122.7043379,37.67591052
-122.7064305,37.67613472
-122.7083195,37.67633484
-122.710158,37.67652836
-122.7120095,37.67672282
-122.7138485,37.67691633
-122.715994,37.67714359
-122.7178329,37.67734055
