long,lat
-122.3588377,37.61191917
-122.3588377,37.61191916
-122.3588426,37.61192125
-122.3588617,37.61192931
-122.3589032,37.61194677
-122.3589858,37.61198158
-122.3590885,37.61198158
-122.3590885,37.61202489
-122.3592188,37.6120798
-122.3594494,37.61217694
-122.3597376,37.61229832
-122.3599988,37.61240837
-122.3603898,37.61257346
-122.3607814,37.61273865
-122.3614822,37.61303397
-122.3620134,37.61325756
-122.3626244,37.61351451
-122.3633938,37.61383762
-122.3641246,37.61414415
-122.3649136,37.61447461
-122.3659126,37.61489232
-122.3668316,37.61527582
-122.3679736,37.61575131
-122.3689913,37.61575131
-122.3689913,37.6161739
-122.370639,37.61685576
-122.3718032,37.61733559
-122.3732005,37.61790923
-122.3745106,37.61844461
-122.3758359,37.61898364
-122.3774455,37.61898364
-122.3774455,37.61963128
-122.379353,37.62039271
-122.3808457,37.62099128
-122.3826124,37.6217031
-122.3844166,37.62243407
-122.3862122,37.62316568
-122.38803,37.62316568
-122.38803,37.62391068
-122.3895518,37.6245377
-122.3911075,37.62518183
-122.3926305,37.62581546
-122.3943603,37.62653867
-122.3958571,37.62716746
-122.3973429,37.62779418
-122.3990541,37.62851912
-122.4007779,37.6292523
-122.4022471,37.62987681
-122.4037194,37.63050064
-122.4054575,37.63122531
-122.4069519,37.63183181
-122.4084622,37.63242412
-122.410248,37.63309156
-122.4118017,37.63363854
-122.4133779,37.63415791
-122.4152574,37.63415791
-122.4152574,37.634727
-122.4168725,37.63517055
-122.4188093,37.63564606
-122.4204352,37.63599792
-122.4221733,37.6363271
-122.4241197,37.63663963
-122.4259043,37.63663963
-122.4259043,37.63687548
-122.4276414,37.63706
-122.4296567,37.63722091
-122.4314393,37.63732119
-122.4332048,37.637388
-122.4352717,37.637429
-122.4370489,37.63743847
-122.4390902,37.63742457
-122.4408757,37.63739392
-122.4426646,37.63734843
-122.4447556,37.63727991
-122.4465516,37.63727991
-122.4465516,37.63721337
-122.4486511,37.63713329
-122.450454,37.63706924
-122.4522727,37.6370159
-122.4543835,37.63697556
-122.4562082,37.63696575
-122.4583118,37.63699019
-122.460139,37.63704733
-122.4619404,37.63713981
-122.4637648,37.63713981
-122.4637648,37.63727271
-122.4658743,37.63747819
-122.4676799,37.63769282
-122.4697829,37.63798087
-122.4715818,37.63825517
-122.4733653,37.63854807
-122.4754699,37.63891719
-122.4772485,37.63924742
-122.4793609,37.63965898
-122.4811242,37.6400166
-122.4829364,37.64039573
-122.4849966,37.6408389
-122.4868089,37.64123788
-122.4888828,37.6417033
-122.4909455,37.64217398
-122.4927601,37.64259297
-122.4945249,37.64300389
-122.496649,37.64350153
-122.4983986,37.64391296
-122.5001834,37.64433325
-122.5019781,37.64475568
-122.504054,37.64524288
-122.5058304,37.64565761
-122.5078996,37.64613715
-122.5096216,37.64653239
-122.5117346,37.64701132
-122.5134649,37.64739761
-122.5152794,37.64779604
-122.5173493,37.64824123
-122.5190995,37.64860913
-122.5208611,37.64897108
-122.522916,37.64938221
-122.5246776,37.64972493
-122.526746,37.65011569
-122.5285099,37.65043893
-122.5305699,37.65080483
-122.5326328,37.65115886
-122.5346745,37.65149734
-122.5364734,37.65178606
-122.538535,37.6521064
-122.5402916,37.65237086
-122.5420764,37.652632
-122.5438897,37.65288994
-122.545956,37.6531755
-122.54779,37.6534221
-122.5495528,37.65365348
-122.5513694,37.65388653
-122.5534789,37.6541507
-122.5552909,37.6543724
-122.5571065,37.65458989
-122.559229,37.65483849
-122.561356,37.65508166
-122.5631952,37.65528724
-122.5653301,37.65552046
-122.5671632,37.6557161
-122.5692798,37.6559367
-122.571451,37.6561571
-122.5732926,37.65633943
-122.5751361,37.65651784
-122.5769941,37.65669378
-122.5788406,37.65686503
-122.5806624,37.65703093
-122.5828442,37.65722627
-122.5846411,37.65738519
-122.5868486,37.65738519
-122.5868486,37.6575791
-122.5886578,37.65773779
-122.5905047,37.65790035
-122.5926584,37.65809161
-122.5945161,37.65825891
-122.5963469,37.65842667
-122.5985217,37.65863069
-122.6003367,37.65880573
-122.6025076,37.65902186
-122.6038727,37.65916207
-122.6061668,37.65940616
-122.6079999,37.65960968
-122.609831,37.65982133
-122.6116599,37.66004183
-122.6134866,37.660271
-122.6155772,37.66054382
-122.6177535,37.66054382
-122.6177535,37.66084017
-122.619573,37.66109784
-122.6216928,37.6614095
-122.6235072,37.66168596
-122.6256212,37.66201907
-122.6274432,37.66231547
-122.6292504,37.66261767
-122.631356,37.66297963
-122.6331584,37.66329744
-122.6349588,37.66362174
-122.6367573,37.66395202
-122.6388532,37.66395202
-122.6388532,37.66434423
-122.6406105,37.66467858
-122.6427024,37.66508248
-122.6444939,37.66543305
-122.6462841,37.6657873
-122.6483711,37.66620491
-122.6501586,37.66656626
-122.6519576,37.66693292
-122.6540408,37.66693292
-122.6540408,37.66736042
-122.6558506,37.66773329
-122.657908,37.66815772
-122.6596926,37.66815772
-122.6596926,37.66852543
-122.661775,37.66852543
-122.661775,37.66895279
-122.6635604,37.66931693
-122.665371,37.66968447
-122.6674424,37.67010298
-122.6692291,37.67046131
-122.6710171,37.67046131
-122.6710171,37.67081483
-122.6728061,37.67116494
