long,lat
-122.3588416,37.61191974
-122.358842,37.61191991
-122.3588507,37.61192359
-122.3588762,37.61193431
-122.3589367,37.61195983
-122.3590164,37.61199343
-122.3591758,37.6120606
-122.3593294,37.61212529
-122.3595139,37.61220304
-122.3597316,37.61229464
-122.3599847,37.61229464
-122.3599847,37.6124011
-122.3603394,37.61255022
-122.3606998,37.61270161
-122.3611241,37.61270161
-122.3611241,37.61287974
-122.3616919,37.61311789
-122.3623294,37.6133855
-122.3629503,37.61364586
-122.3636405,37.61393499
-122.3644983,37.61429439
-122.3653047,37.61463188
-122.366168,37.6149927
-122.367413,37.61551196
-122.3684064,37.61592533
-122.369454,37.61636025
-122.3707434,37.61689408
-122.3719054,37.61737356
-122.373119,37.61787258
-122.374617,37.61848592
-122.375931,37.61902126
-122.3775366,37.61967166
-122.3789257,37.62022861
-122.3804403,37.62083385
-122.3819412,37.62143581
-122.3837521,37.62216525
-122.3853275,37.62280278
-122.3874265,37.62365665
-122.3889992,37.62429989
-122.3905635,37.62494262
-122.3921151,37.62558313
-122.3939068,37.62632629
-122.3956462,37.62705132
-122.3971483,37.6276802
-122.3986379,37.6283061
-122.4001179,37.62893018
-122.401836,37.62965729
-122.4033052,37.6302811
-122.4050222,37.6302811
-122.4050222,37.63101214
-122.4067568,37.63175242
-122.4082334,37.63238165
-122.409993,37.63312692
-122.4117647,37.63386159
-122.4133052,37.63448177
-122.4148692,37.63508826
-122.4167376,37.63577505
-122.4183598,37.63633166
-122.4200107,37.63685499
-122.4216903,37.63733906
-122.4242616,37.63798015
-122.4260073,37.63834479
-122.4280835,37.63870455
-122.4298716,37.63895203
-122.4316231,37.63914117
-122.4334849,37.63928808
-122.4353034,37.63938163
-122.4371264,37.6394302
-122.439257,37.63943666
-122.4410472,37.63940597
-122.4431824,37.63933678
-122.445319,37.63924038
-122.4471512,37.63914192
-122.4492902,37.63901434
-122.4511251,37.63889847
-122.4532682,37.63876094
-122.4554524,37.63862516
-122.4572686,37.63852125
-122.4594457,37.63841692
-122.4612667,37.63835269
-122.4634494,37.63831125
-122.4652744,37.63831219
-122.4671387,37.63831219
-122.4671387,37.63835151
-122.4690027,37.63843343
-122.4711472,37.63858422
-122.4736062,37.63858422
-122.4736062,37.63883484
-122.4754439,37.63907735
-122.4772767,37.63936251
-122.4791058,37.63936251
-122.4791058,37.6396809
-122.4812467,37.64008983
-122.4830675,37.64008983
-122.4830675,37.64046118
-122.4846849,37.64080364
-122.4870102,37.64131118
-122.4891349,37.64178686
-122.4912113,37.64225986
-122.4930491,37.64268421
-122.4951805,37.64318212
-122.4973147,37.64368195
-122.4997557,37.64425182
-122.501587,37.64425182
-122.501587,37.64467626
-122.5037235,37.6451664
-122.505872,37.64565221
-122.5077016,37.6460591
-122.5095298,37.64645846
-122.5116612,37.64691392
-122.5137909,37.64735719
-122.515615,37.6477269
-122.517754,37.64814835
-122.5195753,37.64849672
-122.5213953,37.6488351
-122.5232139,37.64916358
-122.5250311,37.64948238
-122.5268471,37.64979179
-122.5289647,37.64979179
-122.5289647,37.65014145
-122.5307918,37.65043388
-122.5326062,37.6507162
-122.5344207,37.65099089
-122.5365385,37.65130239
-122.5383549,37.65156223
-122.5404758,37.65185774
-122.5425864,37.6521441
-122.5443833,37.65238232
-122.5462206,37.65262094
-122.5480352,37.65285202
-122.5498654,37.65308071
-122.5516987,37.65330559
-122.5538418,37.65356333
-122.5557083,37.65378337
-122.5578479,37.65403061
-122.5597226,37.65424286
-122.5615498,37.65444578
-122.5634065,37.65464799
-122.5655774,37.65487934
-122.5674423,37.65507371
-122.5693238,37.65526581
-122.571144,37.655448
-122.5736717,37.65569552
-122.575578,37.6558784
-122.5774611,37.6560563
-122.5793469,37.6560563
-122.5793469,37.65623232
-122.5815628,37.65643746
-122.5837417,37.65663853
-122.5859746,37.65684522
-122.5881821,37.65705141
-122.5900743,37.65723057
-122.5922812,37.65744346
-122.5941192,37.65762483
-122.5966508,37.65788211
-122.5991658,37.65814791
-122.6013631,37.65838989
-122.6035698,37.6586434
-122.6057467,37.65890444
-122.6079458,37.65917862
-122.6104396,37.65950207
-122.6126175,37.65979626
-122.6144811,37.66005688
-122.6166516,37.66037093
-122.6188182,37.6606958
-122.6209938,37.66103349
-122.6231526,37.66137994
-122.6256149,37.66178863
-122.6277652,37.66215689
-122.6299119,37.66215689
-122.6299119,37.66253452
-122.6317489,37.66286512
-122.6335961,37.66320392
-122.6357333,37.66360316
-122.6378672,37.66400892
-122.639694,37.66436143
-122.6418226,37.66477769
-122.6438981,37.66518885
-122.6460346,37.66561723
-122.6478533,37.66598583
-122.6496707,37.66635745
-122.6514869,37.66673185
-122.6533022,37.66710838
-122.6551169,37.66710838
-122.6551169,37.6674864
-122.6569313,37.66786519
-122.6587585,37.66824663
-122.660876,37.6686876
-122.6629945,37.66912639
-122.6648369,37.66950502
-122.6666302,37.66987022
-122.668703,37.67028876
-122.670575,37.67066352
-122.6727146,37.67108775
-122.6745397,37.67144443
-122.676367,37.67179585
-122.6781966,37.67214126
-122.6800287,37.67247988
-122.6821696,37.67286555
-122.6840203,37.67318965
-122.6858612,37.673503
-122.6880125,37.67385736
-122.6898082,37.67414318
-122.6920181,37.67448228
-122.6938712,37.67448228
-122.6938712,37.67475611
-122.6957269,37.67502099
-122.6978562,37.67531402
-122.6997428,37.67556457
-122.7018905,37.67584032
-122.7040665,37.67611061
-122.7059335,37.67611061
-122.7059335,37.67633608
-122.7078021,37.6765565
-122.7099968,37.67680951
-122.7118681,37.67702082
-122.7140527,37.67726293
-122.7159262,37.67746707
-122.7181129,37.67770183
-122.7199879,37.67790075
-122.7218633,37.67790075
-122.7218633,37.67809832
-122.7237518,37.67809832
-122.7237518,37.67829671
-122.7262655,37.67829671
-122.7262655,37.67856126
-122.7281276,37.67875863
-122.7303278,37.67899453
-122.7318764,37.67916299
-122.7337497,37.67937
-122.7359473,37.67961678
-122.7384426,37.6799021
-122.7403131,37.68011972
-122.7421823,37.68034262
-122.7440501,37.68034262
-122.7440501,37.6805719
-122.7462271,37.68084869
-122.7480911,37.68109483
-122.7499143,37.68134448
-122.751774,37.68160892
-122.7539406,37.68193026
-122.7561037,37.68226588
-122.7579547,37.68256495
-122.7598286,37.68256495
-122.7598286,37.68287881
-122.7616611,37.68319626
-122.7635036,37.68352551
-122.7656496,37.6839209
-122.7674863,37.68426864
-122.769626,37.68468348
-122.7714576,37.68504594
-122.7732872,37.68541385
-122.7754322,37.68585157
-122.7775116,37.68628154
-122.7793865,37.6866732
-122.7815133,37.6866732
-122.7815133,37.68712127
-122.7833351,37.68750773
-122.7851559,37.6878958
-122.7869887,37.68828759
-122.7891117,37.68874168
-122.7909311,37.6891302
-122.7927506,37.6891302
-122.7927506,37.6895173
-122.7945701,37.68990331
-122.7969959,37.69041647
-122.799384,37.69091886
-122.8012041,37.69129859
-122.803328,37.6917382
-122.805149,37.69211235
-122.8069704,37.69248403
-122.809096,37.69291454
-122.8112604,37.69291454
-122.8112604,37.69334884
-122.812755,37.69364399
-122.814885,37.69405631
-122.8170178,37.69445753
-122.8188486,37.69479155
-122.8210132,37.69517292
-122.822824,37.69548046
-122.8246756,37.69578466
-122.8265168,37.69607637
-122.8286684,37.6964
-122.8305158,37.69666241
-122.8323146,37.69690405
-122.834528,37.69718287
-122.8366933,37.69743657
-122.8385645,37.69764207
-122.8407348,37.69786619
-122.8425969,37.69804787
-122.8447709,37.69824953
-122.8466354,37.69841509
-122.8488119,37.69841509
-122.8488119,37.69860168
-122.8506393,37.69875444
-122.8525061,37.69890837
-122.8547233,37.69909038
-122.8565518,37.69924111
-122.8584192,37.69939669
-122.8605979,37.69958141
-122.8624652,37.69974341
-122.8643453,37.69974341
-122.8643453,37.69991047
-122.8662252,37.70008099
-122.8683901,37.70008099
-122.8683901,37.70028215
-122.8702564,37.70046095
-122.8721222,37.70064548
-122.8742981,37.70086926
-122.8771067,37.70117398
-122.8789689,37.70117398
-122.8789689,37.70138792
-122.88145,37.70138792
-122.88145,37.70168675
-122.8842385,37.70204104
-122.8860959,37.7022874
-122.8885705,37.7026277
-122.8907463,37.70293965
-122.8929067,37.70326253
-122.8947561,37.70355033
-122.8966035,37.70384752
-122.8987563,37.70420548
-122.9009062,37.70457606
-122.9027082,37.7048966
-122.9045463,37.70523249
-122.9066882,37.70563446
-122.908522,37.70598676
-122.9103541,37.70634554
-122.9124894,37.70677139
-122.9146353,37.70720674
-122.9164624,37.70758254
-122.9185925,37.708026
-122.920417,37.708026
-122.920417,37.70841003
-122.9225696,37.70841003
-122.9225696,37.70886769
-122.9243665,37.70925335
-122.9261877,37.70964751
-122.9280206,37.71004743
-122.9301429,37.71051433
-122.9319611,37.71091724
-122.934081,37.71139067
-122.935897,37.71179935
-122.937712,37.71221069
-122.9395386,37.71262749
-122.941352,37.71304303
-122.9431648,37.71304303
-122.9431648,37.71345946
-122.9449774,37.71387603
-122.94679,37.71429199
-122.9489051,37.71477549
-122.9507187,37.71518753
-122.9527976,37.71565591
-122.9546131,37.71606058
-122.9570353,37.71606058
-122.9570353,37.71659468
-122.9588529,37.71699124
-122.9606714,37.71738434
-122.9624908,37.71777384
-122.9646152,37.71822118
-122.9664509,37.71859966
-122.9682758,37.71896822
-122.970407,37.71938983
-122.9724902,37.71979014
-122.9746791,37.72019304
-122.9765152,37.72051529
-122.9783674,37.72082483
-122.9805175,37.72116381
-122.9826207,37.7214738
-122.984522,37.72173598
-122.9863746,37.72197569
-122.9882295,37.72220122
-122.9900348,37.72240803
-122.9922678,37.72264873
-122.994128,37.72283848
-122.9959893,37.72283848
-122.9959893,37.72302024
-122.9978515,37.72319544
-122.9999732,37.7233886
-123.0018886,37.72355838
-123.0040246,37.72355838
-123.0040246,37.72374405
-123.0058892,37.72374405
-123.0058892,37.72390421
-123.0080649,37.72409038
-123.00993,37.72424989
-123.0117954,37.7244092
-123.0137128,37.72457325
-123.0161486,37.72457325
-123.0161486,37.72478361
-123.0177292,37.72492202
-123.0198927,37.72511491
-123.0223797,37.72534296
-123.0242445,37.72551951
-123.0264195,37.72573182
-123.028594,37.7259504
-123.0310911,37.72621093
-123.0329533,37.72641345
-123.0351245,37.72666007
-123.0369841,37.72688134
-123.039126,37.72714891
-123.0410079,37.72739608
-123.0428749,37.72765314
-123.0450353,37.72796581
-123.0468845,37.72824652
-123.049039,37.72858859
-123.0511901,37.72894578
-123.0533379,37.72931741
-123.055138,37.72963973
-123.0569741,37.72997793
-123.0591136,37.73038298
-123.0609454,37.73073818
-123.0627754,37.73109983
-123.0646039,37.73146711
-123.066431,37.7318393
-123.0685739,37.73228154
-123.0703985,37.73266243
-123.0722223,37.73304667
-123.0743488,37.73349876
-123.0761708,37.73349876
-123.0761708,37.73388913
-123.0779414,37.7342709
-123.0798127,37.73467636
-123.081949,37.73514087
-123.0837691,37.73553713
-123.0855894,37.73593296
-123.0874098,37.73632835
-123.0892302,37.73672358
-123.0913542,37.73672358
-123.0913542,37.73718402
-123.0931878,37.73757978
-123.0953132,37.73803538
-123.0974397,37.73848668
-123.0992637,37.73886918
-123.1010889,37.739247
-123.1032199,37.73968242
-123.1050476,37.73968242
-123.1050476,37.74005105
-123.1068384,37.74040787
-123.1089735,37.74082748
-123.1108057,37.74117853
-123.1126403,37.74151968
-123.1145032,37.74185408
-123.1166249,37.74221908
-123.1184682,37.7425234
-123.1203269,37.74281721
-123.122176,37.74309212
-123.1243632,37.74309212
-123.1243632,37.74339352
-123.1261934,37.74362553
-123.1280522,37.74384253
-123.130224,37.74407298
-123.1321007,37.74425325
-123.1339662,37.74441675
-123.136144,37.74459299
-123.1380111,37.74473835
-123.1401891,37.74490872
-123.1420548,37.74506189
-123.1439186,37.74522798
-123.1457925,37.74541414
-123.1479585,37.74566057
-123.149809,37.74590361
-123.1519585,37.7462306
-123.153765,37.74654843
-123.1556098,37.74691869
-123.1576885,37.74739672
-123.1594604,37.74785898
-123.1612246,37.74837235
-123.1629667,37.74893315
-123.1649698,37.74964493
-123.1666608,37.75030148
-123.168328,37.75099754
-123.1699836,37.75173476
-123.1718744,37.75262956
-123.1737382,37.75356266
-123.1753162,37.75438921
-123.1768776,37.75523774
-123.1786798,37.75625299
-123.1802192,37.75625299
-123.1802192,37.75714974
-123.1817331,37.75714974
-123.1817331,37.75805862
-123.1832315,37.75898609
-123.1849583,37.76009254
-123.18666,37.7612267
-123.1880963,37.76222229
-123.1897429,37.76341275
-123.1911366,37.7644664
-123.192493,37.76553766
-123.1940198,37.76680403
-123.1953278,37.76794597
-123.1965839,37.769098
-123.198005,37.7704738
-123.1991594,37.7716543
-123.2003016,37.77288318
-123.201587,37.77434507
-123.2026487,37.77562064
-123.2036743,37.77691535
-123.2048267,37.77844784
-123.2057784,37.77977841
-123.206704,37.78113267
-123.2077373,37.78271817
-123.2085905,37.78409002
-123.2095493,37.78570419
-123.2103402,37.78709865
-123.2111029,37.7885026
-123.2118364,37.78991574
-123.2125498,37.79135764
-123.2133278,37.79301776
-123.2139479,37.79441808
-123.2145708,37.79590668
-123.2152204,37.79756585
-123.2157687,37.79907154
-123.2163499,37.80080011
-123.216807,37.80228023
-123.2172282,37.80376658
-123.2176131,37.80376658
-123.2176131,37.80525866
-123.2183228,37.80850837
-123.2185861,37.80997285
-123.2188231,37.81149291
-123.2190535,37.81325749
-123.219214,37.81477224
-123.2193589,37.81654135
-123.2194487,37.81807987
-123.2195048,37.81957673
-123.2195309,37.81957673
-123.2195309,37.82110529
-123.2195224,37.82287586
-123.2194913,37.82413995
-123.2194132,37.82590842
-123.219314,37.82743324
-123.2191877,37.82893531
-123.2190028,37.82893531
-123.2190028,37.8306973
-123.2188103,37.83221522
-123.218548,37.83397005
-123.2182891,37.8354704
-123.2179456,37.83721565
-123.2176123,37.83871687
-123.2172504,37.8401924
-123.2168501,37.84168312
-123.2163455,37.84340307
-123.2158791,37.84487082
-123.215382,37.84633229
-123.2148554,37.84778731
-123.2142051,37.84947654
-123.2136227,37.85090738
-123.2129146,37.85256017
-123.2122736,37.85398675
-123.2114958,37.85564274
-123.2108046,37.85705506
-123.2100814,37.85848026
-123.2093567,37.85848026
-123.2093567,37.85985981
-123.2086012,37.86125218
-123.2078199,37.86264743
-123.2068893,37.86425536
-123.20607,37.86562596
-123.2050886,37.86721572
-123.2042258,37.86857026
-123.2033369,37.86992635
-123.2024336,37.87126491
-123.2015097,37.87126491
-123.2015097,37.87259497
-123.2005651,37.87391618
-123.1994369,37.8754461
-123.1984476,37.87674735
-123.1974449,37.87803008
-123.1964074,37.87932069
-123.1951718,37.88081173
-123.1940968,37.88207081
-123.1928171,37.88352621
-123.1916988,37.88476187
-123.1905606,37.88598635
-123.1892161,37.88739201
-123.1880274,37.88859965
-123.1866511,37.88995911
-123.18543,37.89113256
-123.1841904,37.89229378
-123.1829329,37.89344262
-123.1816307,37.89460224
-123.180147,37.89588765
-123.178824,37.89700281
-123.1774926,37.89809659
-123.1761439,37.89917642
-123.1745485,37.9004181
-123.1731627,37.90146665
-123.1717602,37.90250053
-123.1701032,37.90368793
-123.1686555,37.90469631
-123.1669582,37.90584545
-123.1654868,37.90681393
-123.1640419,37.90774081
-123.1624993,37.90870482
-123.1607296,37.90977902
-123.1591867,37.91068888
-123.1573813,37.91172262
-123.1558188,37.91259105
-123.1539789,37.91358334
-123.1523873,37.91441544
-123.1507822,37.91523014
-123.1491641,37.91602721
-123.1475444,37.91680099
-123.1456484,37.91767663
-123.1439904,37.91841626
-123.14232,37.91913699
-123.1403561,37.91995358
-123.1386601,37.92063251
-123.1369528,37.92129188
-123.1352225,37.92193584
-123.1332042,37.9226567
-123.1314631,37.9232528
-123.129712,37.9238284
-123.1279511,37.9238284
-123.1279511,37.92438311
-123.1258847,37.9250033
-123.1240911,37.92551473
-123.1223009,37.92600039
-123.1201889,37.92600039
-123.1201889,37.92654143
-123.118393,37.92697434
-123.1163238,37.92744244
-123.1144484,37.92744244
-123.1144484,37.9278386
-123.1126166,37.92820006
-123.1107657,37.92853995
-123.1089216,37.9288535
-123.1067633,37.92918871
-123.1051144,37.92942185
-123.1030483,37.92968602
-123.1008736,37.92993049
-123.0990058,37.93011294
-123.0968621,37.93011294
-123.0968621,37.93029128
-123.0949887,37.9304201
-123.0931134,37.93052402
-123.0912367,37.9306031
-123.0890462,37.93066409
-123.0871684,37.93068932
-123.0855906,37.93068932
-123.0855906,37.93069115
-123.0830883,37.93065746
-123.0812132,37.93060253
-123.079028,37.93050633
-123.0771578,37.93039639
-123.0753425,37.93026508
-123.0731041,37.93006955
-123.0712457,37.9298788
-123.0693922,37.92966242
-123.0675443,37.92942022
-123.0657026,37.92915209
-123.0638678,37.92885777
-123.0617366,37.92885777
-123.0617366,37.92848128
-123.059906,37.92812774
-123.0580968,37.92775064
-123.0562968,37.92775064
-123.0562968,37.92734781
-123.0542589,37.92685785
-123.0524313,37.92638736
-123.0506644,37.92590409
-123.0486175,37.92530885
-123.0469122,37.92478345
-123.045183,37.92422284
-123.0434668,37.92363833
-123.0414814,37.92292668
-123.0397945,37.92229165
-123.0378445,37.92152203
-123.0359033,37.92071686
-123.0342691,37.92000287
-123.0323895,37.91913436
-123.0308048,37.91835703
-123.0292479,37.91754708
-123.0274714,37.91655823
-123.0259871,37.91567099
-123.0245322,37.91473933
-123.0231304,37.91377558
-123.0215526,37.91260307
-123.02004,37.91138032
-123.0187965,37.91029443
-123.017407,37.90898689
-123.0162589,37.90782657
-123.0151629,37.90782657
-123.0151629,37.90664842
-123.0139351,37.90524569
-123.0127556,37.9038174
-123.0117788,37.9038174
-123.0117788,37.90257584
-123.0108305,37.90132047
-123.0097549,37.89984112
-123.0088734,37.89858951
-123.0079751,37.8972752
-123.0069911,37.89578899
-123.0061458,37.8944855
-123.005169,37.89295972
-123.0043346,37.89164977
-123.0034909,37.89033127
-123.0025012,37.88880743
-123.0016424,37.88750461
-123.0007684,37.88620732
-122.9997225,37.8847042
-122.9987841,37.88341048
-122.9978389,37.88216693
-122.9966577,37.88070228
-122.9954372,37.88070228
-122.9954372,37.87929473
-122.994143,37.87791619
-122.9929769,37.87676922
-122.9917588,37.87565592
-122.9904957,37.87457308
-122.9891923,37.87457308
-122.9891923,37.87351884
-122.9876199,37.87231331
-122.9862513,37.87130903
-122.9848581,37.87032561
-122.9830088,37.869069
-122.9815316,37.8680994
-122.9800782,37.86717092
-122.9783956,37.86612303
-122.9769124,37.86522258
-122.9751625,37.86419147
-122.9736425,37.86332884
-122.9721014,37.86248956
-122.9705039,37.861661
-122.9686677,37.861661
-122.9686677,37.86076518
-122.9667721,37.85990813
-122.965116,37.8592183
-122.9631471,37.85847114
-122.9614289,37.85788378
-122.9596593,37.85734079
-122.9579147,37.85686227
-122.9561136,37.85641899
-122.9540044,37.85596448
-122.9521808,37.85596448
-122.9521808,37.85562242
-122.949732,37.85522561
-122.9478861,37.85496194
-122.9457255,37.85468107
-122.9438565,37.85445459
-122.9419982,37.85423814
-122.9398546,37.85399183
-122.937971,37.85376584
-122.9358599,37.85349059
-122.9339616,37.8532144
-122.9321237,37.85291362
-122.9300325,37.85252281
-122.9278871,37.85205763
-122.9261395,37.85162235
