long,lat
-122.3591601,37.61205321
-122.3593707,37.61214195
-122.359598,37.61223769
-122.3598295,37.61233514
-122.3601016,37.61244966
-122.360424,37.61258522
-122.3608746,37.61277457
-122.3613203,37.61296173
-122.3618376,37.61317873
-122.3627138,37.61354587
-122.3636103,37.61392095
-122.3643522,37.6142309
-122.3652919,37.6142309
-122.3652919,37.61462287
-122.3661598,37.61498432
-122.3675745,37.61498432
-122.3675745,37.61557221
-122.3685685,37.6159842
-122.3697976,37.61649231
-122.3713402,37.61712782
-122.3727394,37.61770204
-122.3739943,37.61821504
-122.375494,37.61882553
-122.3768568,37.61937562
-122.3785091,37.62003491
-122.3799706,37.62061932
-122.3814659,37.62121988
-122.3832424,37.62193694
-122.3847819,37.62256163
-122.3863379,37.62319625
-122.3878817,37.6238291
-122.3899291,37.62467341
-122.3917052,37.62541036
-122.3939623,37.62635286
-122.3954499,37.62697764
-122.39714,37.62769065
-122.3986454,37.6283285
-122.4003489,37.62905289
-122.4018108,37.62967421
-122.4032864,37.62967421
-122.4032864,37.6302995
-122.4047493,37.63091086
-122.4064933,37.63162098
-122.4079962,37.63221105
-122.4097734,37.63287626
-122.4113195,37.63342188
-122.4131514,37.63402415
-122.414724,37.63450025
-122.4166355,37.63502603
-122.4182554,37.63542549
-122.4199065,37.63578931
-122.4215877,37.63611539
-122.4233095,37.63640382
-122.4249988,37.63664337
-122.4270377,37.63687831
-122.4287645,37.63703413
-122.4308047,37.63717205
-122.4325617,37.6372548
-122.4346198,37.63731688
-122.4363896,37.6373444
-122.4387561,37.63734955
-122.4405355,37.63733282
-122.4426284,37.63729497
-122.4447134,37.63724205
-122.4468155,37.63718116
-122.4488969,37.63712041
-122.4506825,37.63707584
-122.4527962,37.63703967
-122.4545875,37.63702897
-122.4564183,37.63704187
-122.4582253,37.6370823
-122.4603335,37.63716895
-122.4621393,37.63728036
-122.4642444,37.63745428
-122.4660109,37.63762927
-122.4681136,37.63786795
-122.4699137,37.63809572
-122.4717117,37.63834336
-122.4738069,37.63865546
-122.4756008,37.63894156
-122.4773928,37.63894156
-122.4773928,37.6392438
-122.4791957,37.63956369
-122.4809848,37.63989559
-122.482773,37.64024024
-122.4848589,37.64065531
-122.4866474,37.64101908
-122.4884368,37.64138856
-122.4902269,37.64176248
-122.4920296,37.64214241
-122.4938192,37.64252233
-122.4956074,37.64290413
-122.4976911,37.64335103
-122.4997713,37.64379854
-122.5015513,37.64379854
-122.5015513,37.64418197
-122.5033408,37.64418197
-122.5033408,37.64456728
-122.5054102,37.64501217
-122.507475,37.64501217
-122.507475,37.64545581
-122.5095354,37.6458982
-122.5112979,37.64627657
-122.513058,37.64665139
-122.5151093,37.64708132
-122.5168295,37.64743471
-122.5185856,37.64778757
-122.5203416,37.64813155
-122.5223906,37.64852108
-122.5241478,37.64884476
-122.5259062,37.64915907
-122.5276662,37.64946419
-122.5294404,37.64976236
-122.5317933,37.65014384
-122.5335611,37.65042043
-122.535332,37.65042043
-122.535332,37.65068935
-122.5370569,37.65094386
-122.5391804,37.65124781
-122.5412717,37.65153785
-122.5430576,37.6517788
-122.5451455,37.65205321
-122.5472383,37.65232088
-122.5490359,37.65254521
-122.550837,37.65276503
-122.5529551,37.65301743
-122.5550399,37.6532596
-122.5571791,37.6532596
-122.5571791,37.65350181
-122.5592972,37.65373549
-122.5611157,37.65393132
-122.5628863,37.65411778
-122.5647606,37.65431074
-122.5665486,37.65449082
-122.5686817,37.65470123
-122.5705121,37.65470123
-122.5705121,37.65487857
-122.5726496,37.65508268
-122.5747887,37.65528484
-122.5766487,37.65545989
-122.5784709,37.65563155
-122.580612,37.65583449
-122.5824471,37.65601039
-122.5842819,37.65618889
-122.5864217,37.65640141
-122.5882549,37.65658809
-122.5900869,37.65677975
-122.5922354,37.65701203
-122.5937343,37.65717955
-122.5961962,37.65746408
-122.5980218,37.65746408
-122.5980218,37.65768239
-122.6001493,37.65794555
-122.6019708,37.65817871
-122.603803,37.65842078
-122.6059232,37.65871064
-122.6077383,37.65896729
-122.6095513,37.65923161
-122.6113622,37.65950361
-122.6131709,37.65978321
-122.6149525,37.66006623
-122.6167446,37.6603584
-122.6188474,37.66071043
-122.6206477,37.66101933
-122.6230453,37.66144073
-122.6248414,37.66176338
-122.6269348,37.66214634
-122.6290386,37.6625381
-122.6314263,37.66299046
-122.6332155,37.66333445
-122.6355992,37.66379903
-122.6373856,37.66415175
-122.6394682,37.66456776
-122.6415615,37.66499101
-122.643641,37.66541599
-122.6454226,37.66578296
-122.6475002,37.6662133
-122.649293,37.6665857
-122.6510609,37.66695306
-122.6531504,37.66738629
-122.6552282,37.66781481
-122.6570098,37.66817948
-122.6590896,37.66860088
-122.6614678,37.6690777
-122.6632524,37.66943204
-122.6655962,37.66989201
-122.6673832,37.67023796
-122.6697679,37.6706923
-122.6715581,37.67102709
-122.6733498,37.67135627
-122.6754422,37.67173268
-122.6772375,37.67204827
-122.6793718,37.67241408
-122.6811461,37.67271016
-122.6831974,37.67304326
-122.6850506,37.6733357
-122.6868554,37.67361292
-122.688963,37.67392751
-122.6907837,37.67419176
-122.6925933,37.67444789
-122.6947061,37.67473936
-122.6965183,37.67498335
-122.6983315,37.67522232
-122.7004482,37.6754952
-122.7022636,37.67572431
-122.7043447,37.67598169
-122.7062123,37.67620804
-122.7080303,37.67642427
-122.709849,37.67663662
-122.7119718,37.6768796
-122.7137921,37.67708408
-122.7156003,37.67728437
-122.7173963,37.67748134
-122.7195216,37.67771292
-122.7216471,37.67794411
-122.7240763,37.67820944
-122.7258981,37.6784103
-122.7277197,37.67861362
-122.7304639,37.67892641
-122.7323096,37.67914221
-122.7341043,37.67935592
-122.7362522,37.67961681
-122.7380456,37.6798398
-122.7398635,37.68007127
-122.7416931,37.6803103
-122.7438116,37.68059533
-122.7456262,37.68084696
-122.7477416,37.68114947
-122.7495533,37.68141655
