long,lat
-122.3591329,37.61204174
-122.3593037,37.61204174
-122.3593037,37.61211371
-122.3595318,37.61220977
-122.3598749,37.61235424
-122.3602366,37.61250645
-122.3606609,37.61268492
-122.3611476,37.61288949
-122.3617812,37.61315557
-122.3623996,37.61341501
-122.363197,37.61374916
-122.3639446,37.61406203
-122.3647505,37.6143988
-122.3657631,37.61482122
-122.3666988,37.61521075
-122.3678531,37.61569018
-122.3689089,37.61612757
-122.3700033,37.61657975
-122.3711576,37.61705539
-122.3725696,37.61763521
-122.3738361,37.61815078
-122.375165,37.6186831
-122.3764982,37.61920855
-122.3779576,37.61977834
-122.3796662,37.62044805
-122.3811664,37.62044805
-122.3811664,37.62103944
-122.3826489,37.62162704
-122.3842332,37.62225852
-122.386052,37.62298829
-122.3876021,37.62361428
-122.3891472,37.6242419
-122.3909383,37.62497414
-122.3924611,37.62560049
-122.3941806,37.62631189
-122.3956877,37.62693898
-122.3974237,37.62766472
-122.3991572,37.62839033
-122.4008799,37.62911074
-122.4026241,37.62983762
-122.4043613,37.63055686
-122.4058661,37.63117248
-122.4073701,37.63177301
-122.4088867,37.63235889
-122.4106752,37.63301881
-122.4122267,37.63356015
-122.4137964,37.63407552
-122.4153853,37.63456186
-122.4172746,37.635092
-122.4188936,37.63550376
-122.4205537,37.6358849
-122.4222196,37.63622581
-122.4241362,37.63656753
-122.4258817,37.63683356
-122.4275926,37.63705424
-122.4295659,37.63726313
-122.4313457,37.6374127
-122.4330849,37.6374127
-122.4330849,37.63752694
-122.4348303,37.63761449
-122.4368728,37.63768647
-122.4386281,37.6377251
-122.4403503,37.63774437
-122.4424061,37.63774595
-122.4441712,37.63773104
-122.4459389,37.63770387
-122.4480043,37.6376613
-122.4497772,37.63761992
-122.4515528,37.63757908
-122.4533435,37.63757908
-122.4533435,37.63754417
-122.4554224,37.63751907
-122.4572077,37.63751654
-122.4589838,37.63753619
-122.4607874,37.63758281
-122.4628794,37.6376752
-122.4646858,37.63779179
-122.4664808,37.63794109
-122.4685268,37.63814382
-122.4703732,37.63835341
-122.4721694,37.63857854
-122.4742397,37.63886098
-122.4760604,37.63912746
-122.4778685,37.63940709
-122.4799385,37.63974374
-122.4817592,37.64005311
-122.4835553,37.64036917
-122.4856514,37.64074962
-122.4874487,37.64108403
-122.4890966,37.64139585
-122.4913059,37.64182003
-122.4934015,37.64222717
-122.495196,37.64257841
-122.4969882,37.64293068
-122.4988272,37.64329267
-122.5011581,37.64375073
-122.5029519,37.64410151
-122.5047301,37.64444678
-122.5068007,37.6448444
-122.5088673,37.64523516
-122.5109304,37.64561778
-122.5129415,37.64598217
-122.51506,37.64635564
-122.5171152,37.64670683
-122.5188755,37.64699842
-122.5212217,37.64737329
-122.5229812,37.64737329
-122.5229812,37.64764374
-122.524741,37.64790493
-122.5265137,37.6481586
-122.5288626,37.64848044
-122.5306017,37.6487084
-122.5323918,37.6487084
-122.5323918,37.64893408
-122.5344548,37.64918321
-122.5365216,37.64942154
-122.5388519,37.64942154
-122.5388519,37.64967737
-122.5409284,37.64989459
-122.542737,37.6500762
-122.5447981,37.65027523
-122.5465902,37.65044193
-122.5489859,37.65065622
-122.5507872,37.65081133
-122.5532074,37.65101215
-122.5550174,37.65115695
-122.5568309,37.6512977
-122.5586477,37.65143411
-122.5604679,37.65156567
-122.5626208,37.65171415
-122.564435,37.6518332
-122.5662645,37.65194814
-122.5680964,37.65205849
-122.5699304,37.65216472
-122.5720721,37.65216472
-122.5720721,37.65228411
-122.5739091,37.65238316
-122.5757471,37.65247973
-122.5779048,37.65259058
-122.5795392,37.6526735
-122.5815822,37.6527767
-122.5837269,37.65288551
-122.5855647,37.65298002
-122.5877077,37.6530927
-122.5895054,37.65319012
-122.5913402,37.65329309
-122.593492,37.65341952
-122.5956164,37.6535518
-122.5977514,37.6535518
-122.5977514,37.65369334
-122.5995797,37.65382224
-122.6014062,37.65395885
-122.6035475,37.65413009
-122.6056734,37.65431329
-122.6077966,37.65450957
-122.6096144,37.6546882
-122.6117326,37.65490858
-122.61415,37.65517576
-122.6159733,37.65538798
-122.6180828,37.65564763
-122.6201882,37.65592464
-122.6219893,37.65617768
-122.6243973,37.65654164
-122.6261765,37.65654164
-122.6261765,37.65683087
-122.6282733,37.65719513
-122.6303506,37.65758187
-122.6324206,37.65758187
-122.6324206,37.65799316
-122.6344834,37.65842738
-122.6365391,37.65888285
-122.6382958,37.65928883
-122.6403028,37.65977027
-122.6423402,37.66027688
-122.6443718,37.66079878
-122.6463977,37.66133484
-122.6484184,37.66188407
-122.6504341,37.66188407
-122.6504341,37.66244563
-122.6521699,37.66293963
-122.6542007,37.66352902
-122.6561796,37.66411418
-122.657893,37.66462917
-122.6598884,37.66523825
-122.661881,37.66585371
-122.6641688,37.6665645
-122.6658765,37.66709331
-122.6681577,37.66778907
-122.6698751,37.66829596
-122.6715881,37.66878055
-122.6736248,37.66932162
-122.6753838,37.66975268
-122.6770929,37.67013549
-122.6789108,37.67050099
-122.6809874,37.67086453
-122.6828756,37.67115395
-122.6848709,37.67142392
-122.686972,37.67167651
-122.6893415,37.67192915
-122.6914514,37.67213147
-122.6935641,37.67231626
-122.6953768,37.67246294
-122.697191,37.67260031
-122.6993092,37.67275059
-122.7014415,37.67275059
-122.7014415,37.6728925
-122.7035625,37.67302564
-122.7056848,37.67315202
-122.7075047,37.67325568
-122.7093254,37.67335589
-122.7114504,37.67346921
-122.7129308,37.67354662
-122.7154116,37.6736747
-122.7172347,37.67376842
-122.7193623,37.67387835
-122.7211357,37.67397131
-122.7230108,37.67407178
-122.7251521,37.67419041
-122.7269769,37.67429571
-122.7287511,37.67440265
-122.7309308,37.67454121
-122.7327555,37.67454121
-122.7327555,37.67466407
-122.7348586,37.67466407
-122.7348586,37.67481455
-122.7367079,37.67495576
-122.739101,37.67515209
-122.7412268,37.67534103
-122.7430478,37.67551492
-122.7448673,37.67570019
-122.7466848,37.67589996
-122.7488018,37.67615383
-122.7509268,37.67643473
-122.7530336,37.67674168
-122.7548342,37.67702815
-122.7569281,37.67739046
-122.7587164,37.67772533
-122.7604983,37.67772533
-122.7604983,37.67808251
-122.7622735,37.67846153
-122.7640541,37.67886447
-122.7661085,37.67935644
-122.7678624,37.67979754
-122.7678624,37.67979754
