long,lat
-122.3592304,37.61208329
-122.3593313,37.61212584
-122.3595389,37.61221329
-122.3597506,37.61230245
-122.3600578,37.61243173
-122.3604598,37.61260077
-122.3608868,37.61278018
-122.3614038,37.61299723
-122.3620009,37.61324763
-122.3626804,37.61353234
-122.3633091,37.61379545
-122.3641582,37.61379545
-122.3641582,37.61415033
-122.3650678,37.61453001
-122.3662153,37.61500809
-122.3672782,37.61545001
-122.3684287,37.61592722
-122.3696306,37.61642441
-122.3713417,37.61712977
-122.3733466,37.61795238
-122.3750627,37.61795238
-122.3750627,37.61864926
-122.3766338,37.61927419
-122.3785127,37.62001029
-122.3802178,37.62067988
-122.3822207,37.62147161
-122.3839746,37.62216968
-122.3857771,37.62289192
-122.3873261,37.62351661
-122.3891296,37.62424864
-122.3909229,37.62498149
-122.3924494,37.62560914
-122.3942265,37.62634422
-122.3959768,37.62707273
-122.3977122,37.62779922
-122.3991935,37.62842221
-122.4009176,37.62915043
-122.4028846,37.62998487
-122.4046165,37.6307191
-122.4065886,37.63155005
-122.4083254,37.63226517
-122.4103301,37.63306017
-122.4121062,37.63372946
-122.4141757,37.63446034
-122.4162684,37.63513966
-122.4183961,37.63576447
-122.4202861,37.63626207
-122.4224772,37.63677064
-122.4244198,37.6371604
-122.4266309,37.63753511
-122.4289015,37.63753511
-122.4289015,37.63784608
-122.4309409,37.63806465
-122.4334998,37.63806465
-122.4334998,37.63826533
-122.4352393,37.63836333
-122.4372878,37.63836333
-122.4372878,37.63844168
-122.4399402,37.63849093
-122.4422715,37.63849306
-122.4443142,37.63846735
-122.4466668,37.63840993
-122.4490232,37.63832666
-122.4513463,37.63822501
-122.4534637,37.63812388
-122.4558315,37.63801391
-122.4582045,37.63792043
-122.4602858,37.63786215
-122.4626828,37.6378328
-122.4650729,37.63785289
-122.4671674,37.6379173
-122.4698618,37.63807154
-122.4719563,37.63825098
-122.4746228,37.63825098
-122.4746228,37.63855033
-122.4770006,37.6388717
-122.4793873,37.63924045
-122.4817711,37.63964665
-122.4841521,37.64008479
-122.4862585,37.64049569
-122.4886233,37.64097966
-122.4909975,37.64148663
-122.4933675,37.64201049
-122.4954362,37.64248077
-122.4977932,37.64302977
-122.5001291,37.6435853
-122.5024922,37.6441567
-122.5048215,37.64472715
-122.5071416,37.64530077
-122.5094531,37.64587594
-122.511433,37.6463703
-122.5137297,37.64694413
-122.5160431,37.64752072
-122.5183506,37.64809257
-122.5206303,37.64809257
-122.5206303,37.64865223
-122.522303,37.64905791
-122.5245806,37.6496014
-122.5265748,37.65006708
-122.5288571,37.65058596
-122.5308582,37.65102713
-122.5325773,37.65139506
-122.5348879,37.65187268
-122.5366295,37.65221944
-122.5386419,37.65260581
-122.5404073,37.65293212
-122.5424218,37.65329027
-122.5444686,37.65363898
-122.5465359,37.65397619
-122.5485994,37.65429835
-122.5503868,37.65456639
-122.5524526,37.65486419
-122.5545382,37.655153
-122.5563314,37.65539266
-122.5587298,37.65570183
-122.5604962,37.65592184
-122.5626564,37.65618264
-122.5647715,37.65642972
-122.5671943,37.6567032
-122.569622,37.65696754
-122.571724,37.65718892
-122.5741578,37.6574369
-122.5762763,37.65764588
-122.5784084,37.65785021
-122.5802362,37.65802118
-122.5820892,37.65819115
-122.5842083,37.65838213
-122.5863389,37.6585727
-122.588468,37.65876379
-122.5902912,37.65892956
-122.5923657,37.65912233
-122.5945385,37.65933105
-122.5966703,37.65954472
-122.598786,37.65976752
-122.6008981,37.6600023
-122.6033071,37.66028701
-122.6050604,37.66050653
-122.6074974,37.66083016
-122.6096171,37.66113012
-122.611707,37.66144345
-122.6140895,37.66182236
-122.6164657,37.66222232
-122.618836,37.66264128
-122.6209055,37.6630216
-122.6229343,37.66340626
-122.6249964,37.66380816
-122.6273492,37.66427864
-122.6291113,37.66463838
-122.6314579,37.66512606
-122.6335088,37.66555915
-122.63557,37.66599973
-122.6378612,37.66649447
-122.6402483,37.6670142
-122.6425857,37.6670142
-122.6425857,37.66752582
-122.6446306,37.66797441
-122.6469797,37.66848955
-122.6487323,37.66887406
-122.6510692,37.66938658
-122.6531157,37.66982976
-122.6551649,37.67026384
-122.6575115,37.67074492
-122.6601703,37.67126582
-122.6622338,37.67165116
-122.6643017,37.6720205
-122.6666701,37.6720205
-122.6666701,37.67242308
-122.6684497,37.67271168
-122.6704922,37.67302882
-122.6725751,37.67333749
-122.6749593,37.67367392
-122.6770856,37.67396039
-122.6791397,37.67422621
-122.6815325,37.6745236
-122.6842523,37.67484707
-122.6863378,37.67484707
-122.6863378,37.67508544
-122.6881624,37.67528754
-122.6902384,37.67551054
-122.6920404,37.67569834
-122.6944445,37.67594188
-122.6965619,37.67615105
-122.6989685,37.67638486
-122.701376,37.67661686
-122.703182,37.67679076
-122.7052893,37.67699518
-122.7073965,37.67720332
-122.709516,37.67741858
-122.7116222,37.67764053
-122.7137149,37.67787107
-122.7158313,37.67811627
-122.7176332,37.67833579
-122.7200332,37.67864509
-122.7218062,37.67888688
-122.7238887,37.67918617
-122.7259806,37.67950417
-122.728094,37.67984301
-122.7301545,37.68018954
-122.7322368,37.68055457
-122.7343286,37.68093474
-122.736109,37.68126791
-122.7384801,37.68172386
-122.7402567,37.68207368
-122.7423275,37.68248933
-122.7447045,37.68297545
-122.7467719,37.68340513
-122.748838,37.68384006
-122.7508784,37.68427416
-122.7529669,37.68472233
-122.7559142,37.68535943
-122.7579646,37.68580446
-122.7600516,37.68625783
-122.7624089,37.68676885
-122.7644722,37.68721378
-122.7662414,37.68759242
-122.7688971,37.68815383
-122.7709275,37.68857606
-122.7729968,37.68899885
-122.7729968,37.68899885
