long,lat
-122.3592298,37.61208253
-122.3594232,37.61216402
-122.3596556,37.61226193
-122.3600096,37.61241099
-122.3604491,37.61259594
-122.3609755,37.61281729
-122.3616823,37.61281729
-122.3616823,37.61311413
-122.362285,37.61336694
-122.3631689,37.61373717
-122.3640417,37.61410213
-122.3649949,37.61450004
-122.3660397,37.61493541
-122.3671365,37.61493541
-122.3671365,37.61539144
-122.3683221,37.61588313
-122.3693976,37.61632801
-122.3707285,37.61687683
-122.3725264,37.61761516
-122.3740296,37.61822891
-122.3753511,37.61876062
-122.3769684,37.61940193
-122.3789002,37.62016807
-122.3803825,37.62075946
-122.3821449,37.62146665
-122.3839298,37.62218754
-122.3856815,37.6228997
-122.387262,37.62354632
-122.3890597,37.62428644
-122.3907932,37.6250047
-122.3923465,37.62565201
-122.3940746,37.62637633
-122.395829,37.62711592
-122.3973074,37.62774212
-122.3989883,37.62845484
-122.4007198,37.62918796
-122.4024427,37.62991435
-122.4039228,37.63053389
-122.4056557,37.63125121
-122.4071511,37.63185494
-122.4089116,37.63254057
-122.4107037,37.63320429
-122.4125089,37.63383261
-122.4143616,37.63443119
-122.4159298,37.63489898
-122.4178207,37.63541409
-122.419441,37.63581232
-122.4213786,37.63623614
-122.4230478,37.6365557
-122.4250147,37.63687919
-122.427,37.63715002
-122.4290006,37.63736933
-122.4307255,37.63751872
-122.4327595,37.63765187
-122.4347901,37.63774385
-122.4365362,37.63779501
-122.4385782,37.63782618
-122.4406004,37.63783006
-122.4423821,37.63781389
-122.4444353,37.63777552
-122.4464547,37.63772034
-122.4485138,37.63765209
-122.4502815,37.63759092
-122.4523471,37.6375244
-122.454417,37.63747077
-122.4564916,37.63743877
-122.458286,37.63743469
-122.460369,37.63746336
-122.4624552,37.63753357
-122.4642695,37.63763226
-122.4666428,37.63781897
-122.4684198,37.63799931
-122.4705203,37.63824836
-122.472607,37.63852971
-122.4743946,37.63879383
-122.4767769,37.63917395
-122.4785637,37.63947445
-122.4809469,37.63989039
-122.4830453,37.64027012
-122.4851202,37.64065629
-122.4872228,37.64105034
-122.4893163,37.64143911
-122.4914131,37.64181919
-122.4932128,37.64213377
-122.4955777,37.64252518
-122.4976813,37.64284818
-122.4994848,37.64310387
-122.5015887,37.64337585
-122.5036905,37.64362397
-122.5061132,37.64388395
-122.5078959,37.64405597
-122.5102859,37.64426115
-122.5123732,37.64441606
-122.5144561,37.6445486
-122.516831,37.64467689
-122.5186084,37.64475778
-122.5209864,37.64484389
-122.5227581,37.64489089
-122.5239876,37.64491453
-122.5263467,37.64493876
-122.5286554,37.64493655
-122.5307183,37.64491314
-122.5327945,37.64487873
-122.5348604,37.64484143
-122.5372252,37.64480384
-122.5390019,37.64478481
-122.5413758,37.64477924
-122.5434578,37.6447995
-122.5455065,37.64484916
-122.5475955,37.64484916
-122.5475955,37.64493645
-122.5475955,37.64493645
