long,lat
-122.3589346,37.61195805
-122.3590842,37.61202095
-122.3593137,37.61211688
-122.3596772,37.61226721
-122.3600819,37.61243196
-122.3605695,37.6126268
-122.3612275,37.61288226
-122.3620942,37.61320467
-122.3628592,37.61347534
-122.3639627,37.61383548
-122.3649034,37.61410692
-122.3662065,37.61442091
-122.3674389,37.61467804
-122.3688762,37.61500755
-122.3700435,37.61527996
-122.3712307,37.61556896
-122.3722696,37.61583311
-122.3734764,37.61614726
-122.3747901,37.61649043
-122.3757255,37.61673781
-122.3768997,37.61706077
-122.3780393,37.61739561
-122.3792691,37.61778776
-122.3801817,37.61809755
-122.3809509,37.61836799
-122.3818425,37.61868784
-122.3825966,37.61896067
-122.3835995,37.61932321
-122.3843531,37.61959341
-122.3854889,37.61959341
-122.3854889,37.61999497
-122.3862502,37.62026066
-122.3874033,37.62065956
-122.3881718,37.62092446
-122.3891994,37.62127981
-122.3901005,37.62159383
-122.3908869,37.62186466
-122.3919984,37.62221529
-122.3930553,37.62249822
-122.3941866,37.62273724
-122.3955804,37.62292998
-122.3968899,37.62292998
-122.3968899,37.62301599
-122.3982827,37.62304711
-122.3995381,37.62305302
-122.4014901,37.62304767
-122.4033367,37.62302198
-122.4047694,37.62297411
-122.4067369,37.62286924
-122.4085077,37.62274362
-122.4101463,37.62260563
-122.411865,37.62245091
-122.413724,37.62225513
-122.413724,37.62225513
